band,rank_start,rank_end,rank_fraction_lo,rank_fraction_hi,expected_exact_energy_per_mode_under_exact_K,expected_vecchia_energy_per_mode_under_exact_K
1,1,160,0.0,0.05,1.0,1.0110525483448867
2,161,320,0.05,0.1,1.0,0.9784369471692351
3,321,480,0.1,0.15,1.0,0.9901608112106498
4,481,640,0.15,0.2,1.0,0.9952349066304331
5,641,800,0.2,0.25,1.0,0.996915159564211
6,801,960,0.25,0.3,1.0,0.9960933495827767
7,961,1120,0.3,0.35,1.0,0.995837531414054
8,1121,1280,0.35,0.4,1.0,0.9959096692454521
9,1281,1440,0.4,0.45,1.0,0.9975827963988803
10,1441,1600,0.45,0.5,1.0,0.9981405650083509
11,1601,1760,0.5,0.55,1.0,1.0018281572995895
12,1761,1920,0.55,0.6,1.0,1.0033151673234635
13,1921,2080,0.6,0.65,1.0,1.0031403853653038
14,2081,2240,0.65,0.7,1.0,1.0041823931117417
15,2241,2400,0.7,0.75,1.0,1.0039100500393419
16,2401,2560,0.75,0.8,1.0,1.0040307864979747
17,2561,2720,0.8,0.85,1.0,1.005245261202155
18,2721,2880,0.85,0.9,1.0,1.0066200996445005
19,2881,3040,0.9,0.95,1.0,1.009095453490178
20,3041,3200,0.95,1.0,1.0,1.031346199132178
