band,covariance_mode_fraction_lo,covariance_mode_fraction_hi,covariance_mode_fraction_mid,estimated_mode_count,standardized_energy,standardized_energy_per_mode
1,0.0,0.05,0.025,7017.599999999991,5693.21647770362,0.8112768578579039
2,0.05,0.1,0.07500000000000001,7017.599999999991,6067.4454539304525,0.8646040603526076
3,0.1,0.15000000000000002,0.125,7017.599999999994,7076.106633879421,1.0083371286307892
4,0.15000000000000002,0.2,0.17500000000000002,7017.599999999989,7153.181884712237,1.0193202640093832
5,0.2,0.25,0.225,7017.599999999989,7660.576824259876,1.0916234644693181
6,0.25,0.30000000000000004,0.275,7017.599999999998,7345.730724465104,1.0467582541702443
7,0.30000000000000004,0.35000000000000003,0.32500000000000007,7017.599999999989,7882.211759973445,1.1232061901466963
8,0.35000000000000003,0.4,0.375,7017.599999999989,7751.509540171018,1.104581272824189
9,0.4,0.45,0.42500000000000004,7017.599999999989,7943.814224997103,1.1319844711863194
10,0.45,0.5,0.475,7017.599999999989,6804.229048666663,0.9695948826759395
11,0.5,0.55,0.525,7017.599999999998,7722.692063632405,1.100474815269096
12,0.55,0.6000000000000001,0.5750000000000001,7017.599999999998,7490.541159371584,1.0673935760618427
13,0.6000000000000001,0.65,0.625,7017.599999999982,7296.550769812702,1.039750166696979
14,0.65,0.7000000000000001,0.675,7017.599999999998,7159.042003900825,1.0201553243132735
15,0.7000000000000001,0.75,0.7250000000000001,7017.599999999982,7295.835435054391,1.039648232309395
16,0.75,0.8,0.775,7017.599999999998,6908.317771459001,0.9844274070136518
17,0.8,0.8500000000000001,0.8250000000000001,7017.599999999998,6657.870488738605,0.9487389547336136
18,0.8500000000000001,0.9,0.875,7017.599999999982,6111.916298209354,0.8709411049659954
19,0.9,0.9500000000000001,0.925,7017.599999999998,6076.235142812298,0.8658565809981048
20,0.9500000000000001,1.0,0.9750000000000001,7017.599999999982,6255.441890665134,0.8913933382730778
