operator,reorthogonalization,lanczos_steps,n_bands,band_energy_per_mode_rmse,band_energy_per_mode_max_abs_error
exact_precision,full,64,20,0.29748063839261335,0.8117346713531681
exact_precision,full,128,20,0.13771111239675865,0.3729603973607012
exact_precision,full,256,20,0.045826782436545546,0.08585496001787218
exact_precision,full,512,20,0.042083709002206884,0.12615219321606974
exact_precision,none,64,20,0.2974806383926201,0.8117346713531881
exact_precision,none,128,20,0.13771111239675904,0.372960397360635
exact_precision,none,256,20,0.04525088745951855,0.08958122027167525
exact_precision,none,512,20,0.029407648643669678,0.061052549241350285
subset_vecchia_precision,full,64,20,0.2130921716247389,0.6847448268641882
subset_vecchia_precision,full,128,20,0.1101892094336438,0.2436967493698311
subset_vecchia_precision,full,256,20,0.045700300027612446,0.11174400556811537
subset_vecchia_precision,full,512,20,0.027650821026871934,0.04540230677494683
subset_vecchia_precision,none,64,20,0.21309217162473623,0.6847448268641672
subset_vecchia_precision,none,128,20,0.1101978071468532,0.24374014799013033
subset_vecchia_precision,none,256,20,0.048681129541297434,0.11557447716521574
subset_vecchia_precision,none,512,20,0.02431984790986736,0.05562008081968017
