operator,reorthogonalization,lanczos_steps,band,rank_start,rank_end,exact_mode_count,estimated_mode_count,exact_energy_per_mode,matrix_free_energy_per_mode,energy_per_mode_error
exact_precision,full,64,1,1,160,160,154.79128175779317,2.3437198272475195,2.370173339164766,0.02645351191724643
exact_precision,full,64,2,161,320,160,164.48376637403499,1.208799289528254,1.1654682755486094,-0.04333101397964456
exact_precision,full,64,3,321,480,160,154.0849163118707,1.0169148561697305,0.9863725341459394,-0.030542322023791146
exact_precision,full,64,4,481,640,160,179.20264687034233,0.8944547446405672,0.98104155233532,0.0865868076947528
exact_precision,full,64,5,641,800,160,176.9195550005071,0.8507717127712816,0.7411915739931496,-0.109580138778132
exact_precision,full,64,6,801,960,160,104.3793466532461,0.6482239284532085,1.23758206497024,0.5893581365170315
exact_precision,full,64,7,961,1120,160,219.79529874674017,0.6383480903034894,0.3236351000702562,-0.3147129902332332
exact_precision,full,64,8,1121,1280,160,117.01213468046512,0.6142461883754265,0.632629463007153,0.0183832746317264
exact_precision,full,64,9,1281,1440,160,144.8894160230377,0.5932018363977178,1.0797464482406762,0.4865446118429584
exact_precision,full,64,10,1441,1600,160,203.10898636472166,0.8608671712265362,0.4686756331690937,-0.3921915380574425
exact_precision,full,64,11,1601,1760,160,128.44876104650416,0.8110847998659765,0.7283767751711837,-0.08270802469479277
exact_precision,full,64,12,1761,1920,160,131.67199431322047,0.7807463675692603,1.5924810389224284,0.8117346713531681
exact_precision,full,64,13,1921,2080,160,218.82722128788168,0.9560841349551126,0.4905531431275818,-0.46553099182753077
exact_precision,full,64,14,2081,2240,160,186.07587491566164,0.9198206874633883,0.90459542870378,-0.01522525875960834
exact_precision,full,64,15,2241,2400,160,90.25888521355046,0.7928534580087074,0.8738848537104638,0.08103139570175633
exact_precision,full,64,16,2401,2560,160,168.6386319733906,0.9553786451631623,0.9489020733041321,-0.006476571859030167
exact_precision,full,64,17,2561,2720,160,150.33054650122222,0.8756663609983292,0.9136264034279883,0.03796004242965911
exact_precision,full,64,18,2721,2880,160,201.6523716610468,0.8326791166708034,0.9137088332127372,0.0810297165419338
exact_precision,full,64,19,2881,3040,160,150.45496339657984,1.0547110897396266,1.079978010594774,0.02526692085514748
exact_precision,full,64,20,3041,3200,160,154.9734009081826,0.9690712530176228,0.8611069031774364,-0.10796434984018632
exact_precision,full,128,1,1,160,160,154.62973196848054,2.3437198272475195,2.3961423980117518,0.05242257076423229
exact_precision,full,128,2,161,320,160,162.79599479373803,1.208799289528254,1.1975426380535665,-0.011256651474687462
exact_precision,full,128,3,321,480,160,153.5025982045958,1.0169148561697305,1.0027381841986127,-0.014176671971117827
exact_precision,full,128,4,481,640,160,158.03216643773504,0.8944547446405672,1.094785982834033,0.20033123819346577
exact_precision,full,128,5,641,800,160,155.08990320167754,0.8507717127712816,0.8335234637385573,-0.01724824903272426
exact_precision,full,128,6,801,960,160,177.1597917832736,0.6482239284532085,0.5495774982414823,-0.09864643021172625
exact_precision,full,128,7,961,1120,160,165.84846483292665,0.6383480903034894,0.6201938423894378,-0.018154247914051624
exact_precision,full,128,8,1121,1280,160,139.93567399535118,0.6142461883754265,0.5448856683367609,-0.06936052003866566
exact_precision,full,128,9,1281,1440,160,171.49389559819656,0.5932018363977178,0.6162637416102846,0.02306190521256679
exact_precision,full,128,10,1441,1600,160,177.03871939407782,0.8608671712265362,0.8167268391954426,-0.044140332031093577
exact_precision,full,128,11,1601,1760,160,128.5312501741157,0.8110847998659765,1.1840451972266777,0.3729603973607012
exact_precision,full,128,12,1761,1920,160,192.34296199516393,0.7807463675692603,0.5344191158539267,-0.24632725171533365
exact_precision,full,128,13,1921,2080,160,160.37080031556934,0.9560841349551126,0.966093049170507,0.010008914215394404
exact_precision,full,128,14,2081,2240,160,137.4158555992567,0.9198206874633883,0.9336332626976506,0.01381257523426227
exact_precision,full,128,15,2241,2400,160,182.05795480821507,0.7928534580087074,0.8245457243544846,0.031692266345777154
exact_precision,full,128,16,2401,2560,160,131.87877804622167,0.9553786451631623,1.165873159792294,0.2104945146291317
exact_precision,full,128,17,2561,2720,160,177.15165198768455,0.8756663609983292,0.7697806013111823,-0.10588575968714686
exact_precision,full,128,18,2721,2880,160,158.91141011247373,0.8326791166708034,0.9848222442698585,0.15214312759905513
exact_precision,full,128,19,2881,3040,160,153.55589244498378,1.0547110897396266,0.8614466422227176,-0.19326444751690897
exact_precision,full,128,20,3041,3200,160,162.25650430626365,0.9690712530176228,1.0056627581065685,0.03659150508894571
