residual_mode,space_cells,tau,contrast,empirical_mean,n_stencils,n_spatial_blocks
fitted_gls,1,1,D_lat,-0.0035820989764615966,91764,300
fitted_gls,1,1,D_lon,0.011638830918791919,91764,300
fitted_gls,1,1,D_time,0.02962961940640934,91764,300
fitted_gls,1,1,Q_lat,-0.0017061910612232473,91764,300
fitted_gls,1,1,Q_lon,0.00013770181523181682,91764,300
fitted_gls,1,1,Q_time,0.006606743030448213,91764,300
fitted_gls,1,2,D_lat,-0.0008448046386655334,60304,297
fitted_gls,1,2,D_lon,0.0062889074431601,60304,297
fitted_gls,1,2,D_time,0.0650483649612266,60304,297
fitted_gls,1,2,Q_lat,-0.0008257184566892822,60304,297
fitted_gls,1,2,Q_lon,0.0004547747242714092,60304,297
fitted_gls,1,2,Q_time,-0.01186831690308042,60304,297
fitted_gls,2,1,D_lat,-0.009041158313467289,87292,280
fitted_gls,2,1,D_lon,0.016563238418727474,87292,280
fitted_gls,2,1,D_time,0.03375030760864065,87292,280
fitted_gls,2,1,Q_lat,-0.0019398522845190179,87292,280
fitted_gls,2,1,Q_lon,-0.0011821735155030941,87292,280
fitted_gls,2,1,Q_time,0.003872303706109276,87292,280
fitted_gls,2,2,D_lat,-0.004095571184212749,57118,279
fitted_gls,2,2,D_lon,0.004316337550259663,57118,279
fitted_gls,2,2,D_time,0.08044944715511466,57118,279
fitted_gls,2,2,Q_lat,-0.0021733807975376014,57118,279
fitted_gls,2,2,Q_lon,0.0007883942812276942,57118,279
fitted_gls,2,2,Q_time,-0.016794681894697103,57118,279
fitted_gls,4,1,D_lat,-0.036053558189557994,80896,280
fitted_gls,4,1,D_lon,0.021785099848230828,80896,280
fitted_gls,4,1,D_time,0.03851737283655229,80896,280
fitted_gls,4,1,Q_lat,-0.006114374339756942,80896,280
fitted_gls,4,1,Q_lon,-0.002784586384159605,80896,280
fitted_gls,4,1,Q_time,-0.0005306634407580233,80896,280
fitted_gls,4,2,D_lat,-0.05206461886332769,52793,276
fitted_gls,4,2,D_lon,0.017558927022649728,52793,276
fitted_gls,4,2,D_time,0.10397709841804526,52793,276
fitted_gls,4,2,Q_lat,-0.002644490291767274,52793,276
fitted_gls,4,2,Q_lon,-0.0017603212940922857,52793,276
fitted_gls,4,2,Q_time,-0.02088251256857403,52793,276
truth_mean,1,1,D_lat,0.004150926752584023,91764,300
truth_mean,1,1,D_lon,0.011639780401359037,91764,300
truth_mean,1,1,D_time,-0.01596050469349364,91764,300
truth_mean,1,1,Q_lat,-0.001711237046489659,91764,300
truth_mean,1,1,Q_lon,0.00013731635348242775,91764,300
truth_mean,1,1,Q_time,0.010127822380570303,91764,300
truth_mean,1,2,D_lat,0.006885156973590041,60304,297
truth_mean,1,2,D_lon,0.006289532310187029,60304,297
truth_mean,1,2,D_time,-0.041610359911329976,60304,297
truth_mean,1,2,Q_lat,-0.0008312986097490947,60304,297
truth_mean,1,2,Q_lon,0.00045390308328679214,60304,297
truth_mean,1,2,Q_time,-0.060576780666295856,60304,297
truth_mean,2,1,D_lat,0.006434779087984038,87292,280
truth_mean,2,1,D_lon,0.016564507725618943,87292,280
truth_mean,2,1,D_time,-0.011585664511990635,87292,280
truth_mean,2,1,Q_lat,-0.0019456820927129148,87292,280
truth_mean,2,1,Q_lon,-0.0011821205427526935,87292,280
truth_mean,2,1,Q_time,0.007415907493772465,87292,280
truth_mean,2,2,D_lat,0.01137717515434661,57118,279
truth_mean,2,2,D_lon,0.0043172008920673854,57118,279
truth_mean,2,2,D_time,-0.026050225589068027,57118,279
truth_mean,2,2,Q_lat,-0.002179694621253628,57118,279
truth_mean,2,2,Q_lon,0.0007883560043258851,57118,279
truth_mean,2,2,Q_time,-0.06558887632674208,57118,279
truth_mean,4,1,D_lat,-0.0050931187698959384,80896,280
truth_mean,4,1,D_lon,0.021786041747729055,80896,280
truth_mean,4,1,D_time,-0.0064268776518713894,80896,280
truth_mean,4,1,Q_lat,-0.0061188101651972315,80896,280
truth_mean,4,1,Q_lon,-0.002784115522754126,80896,280
truth_mean,4,1,Q_time,0.0032099525372624106,80896,280
truth_mean,4,2,D_lat,-0.021109794345736493,52793,276
truth_mean,4,2,D_lon,0.017558847923252355,52793,276
truth_mean,4,2,D_time,-0.002339427717968355,52793,276
truth_mean,4,2,Q_lat,-0.0026478819366293482,52793,276
truth_mean,4,2,Q_lon,-0.0017594789261563889,52793,276
truth_mean,4,2,Q_time,-0.06961080134949155,52793,276
