iter,model,lag1_nbs,extra_current_nbs,limit_A,limit_B,total_conditioning,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,gim_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est
1,Realloc_B04_A12,4,4,12,4,17,1.403021,0.063691,0.078161,0.096465,0.013436,0.020044,0.834,38.821,0.0,39.655,4,9.617297,0.273795,0.361565,1.80707,0.079632,-0.128323,2.44989
1,Realloc_B05_A11,5,3,11,5,17,1.4162,0.08867,0.107988,0.112429,0.051796,0.045236,0.853,33.504,0.0,34.356,0,9.337541,0.263854,0.349279,1.775143,0.077498,-0.134346,2.386909
1,Realloc_B06_A10,6,2,10,6,17,1.395128,0.069807,0.076724,0.105364,0.044369,0.037592,0.898,38.019,0.0,38.917,4,9.580912,0.279623,0.357499,1.789273,0.076508,-0.131679,2.40602
1,Realloc_B07_A09,7,1,9,7,17,1.405492,0.08838,0.111579,0.116885,0.042525,0.007013,0.848,39.412,0.0,40.26,1,9.24422,0.266688,0.344419,1.766231,0.077652,-0.132614,2.482468
1,FullLag_B08_A08,8,0,8,8,17,1.405204,0.077161,0.0839,0.118524,0.054488,0.023928,0.843,38.608,0.0,39.451,1,9.488264,0.273032,0.359172,1.762952,0.07677,-0.13427,2.44018
2,Realloc_B04_A12,4,4,12,4,17,1.391474,0.064491,0.07829,0.070379,0.051793,0.020186,0.844,45.071,0.0,45.915,1,9.347476,0.26854,0.37761,1.859243,0.07609,-0.119127,2.449535
2,Realloc_B05_A11,5,3,11,5,17,1.393941,0.080666,0.070214,0.070293,0.112853,0.018622,0.843,46.321,0.0,47.163,1,9.547728,0.275279,0.369135,1.859414,0.070981,-0.111766,2.453446
2,Realloc_B06_A10,6,2,10,6,17,1.458066,0.058645,0.059401,0.04901,0.073672,0.015237,0.899,31.986,0.0,32.885,0,9.496444,0.279558,0.376653,1.901979,0.077065,-0.113713,2.461908
2,Realloc_B07_A09,7,1,9,7,17,1.398976,0.053092,0.059381,0.012904,0.067027,0.001219,0.86,47.346,0.0,48.206,1,9.492515,0.279163,0.377449,1.974192,0.075408,-0.116495,2.496951
2,FullLag_B08_A08,8,0,8,8,17,1.399077,0.053669,0.060905,0.057217,0.053666,0.000298,0.837,41.887,0.0,42.724,1,9.363903,0.282372,0.375903,1.885566,0.079152,-0.116531,2.500746
3,Realloc_B04_A12,4,4,12,4,17,1.397829,0.046682,0.04699,0.050255,0.054649,0.011489,0.851,47.203,0.0,48.054,1,9.662077,0.287791,0.375259,1.89949,0.083679,-0.133826,2.471278
3,Realloc_B05_A11,5,3,11,5,17,1.392372,0.05137,0.056273,0.063546,0.047313,0.021371,0.841,52.113,0.0,52.955,4,9.595842,0.281717,0.374224,1.872908,0.084855,-0.129551,2.446571
3,Realloc_B06_A10,6,2,10,6,17,1.396931,0.030395,0.030283,0.006009,0.042654,0.006417,0.895,40.434,0.0,41.329,1,9.806679,0.289798,0.386023,1.987982,0.083206,-0.131681,2.483957
3,Realloc_B07_A09,7,1,9,7,17,1.40015,0.036891,0.039641,0.059812,0.023939,0.009421,0.845,49.588,0.0,50.434,1,9.693684,0.287625,0.381782,1.880376,0.078875,-0.12988,2.476448
3,FullLag_B08_A08,8,0,8,8,17,1.401113,0.053523,0.053901,0.050613,0.061619,0.034366,0.841,40.683,0.0,41.523,1,9.749824,0.286258,0.369037,1.898774,0.086894,-0.124368,2.414085
4,Realloc_B04_A12,4,4,12,4,17,1.396889,0.021118,0.012844,0.01542,0.032698,0.015834,0.849,47.236,0.0,48.085,4,10.198183,0.301358,0.403615,2.03084,0.076739,-0.123248,2.460416
4,Realloc_B05_A11,5,3,11,5,17,1.394052,0.028974,0.030717,0.038317,0.02755,0.007719,0.844,39.324,0.0,40.169,4,10.170646,0.313489,0.4091,2.076635,0.076966,-0.127123,2.519297
4,Realloc_B06_A10,6,2,10,6,17,1.396051,0.032229,0.009617,0.00416,0.058004,0.015723,0.837,37.718,0.0,38.555,1,10.070658,0.296273,0.396578,2.00832,0.073503,-0.124549,2.460692
4,Realloc_B07_A09,7,1,9,7,17,1.403374,0.021282,0.008848,0.00592,0.036861,0.013528,0.834,37.461,0.0,38.295,1,9.914748,0.299593,0.394935,2.011841,0.077569,-0.131337,2.53382
4,FullLag_B08_A08,8,0,8,8,17,1.403379,0.049147,0.014263,0.018719,0.088938,0.011291,0.9,35.744,0.0,36.644,1,9.819545,0.294941,0.399783,2.037438,0.071227,-0.13376,2.528227
5,Realloc_B04_A12,4,4,12,4,17,1.398219,0.042654,0.035214,0.071131,0.044424,0.002958,0.843,38.145,0.0,38.988,1,10.377312,0.310933,0.412446,2.142262,0.075034,-0.124785,2.492606
5,Realloc_B05_A11,5,3,11,5,17,1.395003,0.045582,0.047778,0.053044,0.047692,0.018252,0.851,42.334,0.0,43.186,4,10.572445,0.312802,0.416735,2.106088,0.079507,-0.117537,2.454371
5,Realloc_B06_A10,6,2,10,6,17,1.399531,0.027451,0.024109,0.008348,0.041068,0.009391,0.841,36.609,0.0,37.45,1,10.344423,0.304606,0.407175,2.016696,0.076083,-0.122065,2.476522
5,Realloc_B07_A09,7,1,9,7,17,1.401697,0.018367,0.008824,0.019906,0.029116,0.006015,0.838,37.722,0.0,38.56,1,10.135632,0.30208,0.400497,2.039811,0.077201,-0.128736,2.484961
5,FullLag_B08_A08,8,0,8,8,17,1.404314,0.044993,0.021991,0.036165,0.071337,0.03513,0.827,38.901,0.0,39.728,1,10.326449,0.299141,0.392234,2.07233,0.072939,-0.132156,2.412176
6,Realloc_B04_A12,4,4,12,4,17,1.400137,0.074131,0.085528,0.094296,0.05151,0.048211,0.906,39.463,0.0,40.369,1,9.712194,0.27052,0.357178,1.811409,0.07984,-0.116825,2.379471
6,Realloc_B05_A11,5,3,11,5,17,1.39147,0.078349,0.094662,0.112239,0.013191,0.05605,0.844,44.055,0.0,44.899,1,9.512213,0.263386,0.360793,1.775522,0.079184,-0.124032,2.359875
6,Realloc_B06_A10,6,2,10,6,17,1.396982,0.055724,0.068861,0.042677,0.044188,0.042239,0.837,38.988,0.0,39.825,1,9.792439,0.272809,0.370121,1.914645,0.080842,-0.118239,2.394402
6,Realloc_B07_A09,7,1,9,7,17,1.39971,0.072039,0.086554,0.087695,0.0419,0.051483,0.836,37.465,0.0,38.3,1,9.623758,0.265713,0.364229,1.824609,0.080198,-0.11854,2.371292
6,FullLag_B08_A08,8,0,8,8,17,1.401961,0.07836,0.080077,0.07354,0.090405,0.044615,0.836,40.228,0.0,41.064,1,9.638533,0.273335,0.35994,1.852919,0.077081,-0.110561,2.388461
7,Realloc_B04_A12,4,4,12,4,17,1.39309,0.051322,0.064414,0.071906,0.014319,0.020243,0.846,38.003,0.0,38.85,1,10.206508,0.321642,0.433026,2.143812,0.078903,-0.127878,2.550607
7,Realloc_B05_A11,5,3,11,5,17,1.391581,0.066108,0.080162,0.103673,0.011761,0.017006,0.848,39.148,0.0,39.995,1,10.432334,0.327194,0.43835,2.207346,0.080205,-0.128071,2.542515
7,Realloc_B06_A10,6,2,10,6,17,1.390833,0.043023,0.049376,0.036366,0.046397,0.003934,0.838,38.028,0.0,38.865,1,10.158095,0.31685,0.425009,2.072732,0.075393,-0.129962,2.509836
7,Realloc_B07_A09,7,1,9,7,17,1.397532,0.08333,0.105161,0.088008,0.056162,0.037099,0.832,34.52,0.0,35.352,1,10.394111,0.336816,0.451479,2.176017,0.076747,-0.134596,2.592746
7,FullLag_B08_A08,8,0,8,8,17,1.403952,0.055792,0.053226,0.065463,0.065902,0.017841,0.902,35.756,0.0,36.658,1,10.293914,0.317261,0.426305,2.130926,0.079189,-0.137673,2.544604
8,Realloc_B04_A12,4,4,12,4,17,1.398608,0.054145,0.042312,0.060052,0.075857,0.005997,0.855,39.218,0.0,40.074,1,9.69767,0.286112,0.380759,1.879897,0.071418,-0.125928,2.485007
8,Realloc_B05_A11,5,3,11,5,17,1.396494,0.075099,0.043161,0.0561,0.123926,0.005348,0.847,35.1,0.0,35.947,1,9.640832,0.28507,0.382926,1.887801,0.066419,-0.131484,2.513371
8,Realloc_B06_A10,6,2,10,6,17,1.393816,0.045617,0.039332,0.047796,0.060815,0.015624,0.841,43.913,0.0,44.754,1,9.696191,0.284589,0.38686,1.904407,0.073288,-0.128383,2.460939
8,Realloc_B07_A09,7,1,9,7,17,1.399081,0.045349,0.024824,0.049854,0.070884,0.003573,0.834,34.582,0.0,35.416,1,9.750648,0.291506,0.391751,1.900291,0.072253,-0.122737,2.491067
8,FullLag_B08_A08,8,0,8,8,17,1.416324,0.047305,0.010977,0.023032,0.085839,0.00596,0.892,33.152,0.0,34.044,0,9.877539,0.299299,0.394258,1.953936,0.070449,-0.128771,2.485101
9,Realloc_B04_A12,4,4,12,4,17,1.395595,0.030493,0.023097,0.016235,0.047732,0.009375,0.85,41.292,0.0,42.142,1,9.819924,0.292501,0.389793,1.96753,0.074694,-0.124415,2.476562
9,Realloc_B05_A11,5,3,11,5,17,1.393754,0.047659,0.017769,0.000513,0.086286,0.007872,0.848,40.582,0.0,41.43,1,10.119057,0.30787,0.395668,1.998974,0.071086,-0.11973,2.480319
9,Realloc_B06_A10,6,2,10,6,17,1.391283,0.039837,0.014716,0.009019,0.071908,0.006016,0.839,46.206,0.0,47.046,4,9.820426,0.30088,0.39286,2.018037,0.072805,-0.120018,2.484959
9,Realloc_B07_A09,7,1,9,7,17,1.401068,0.058569,0.031312,0.007765,0.101582,0.019311,0.894,37.419,0.0,38.314,1,10.098099,0.314621,0.408671,2.015531,0.073775,-0.110784,2.548276
9,FullLag_B08_A08,8,0,8,8,17,1.401389,0.059773,0.015441,0.006872,0.109793,0.011747,0.835,37.06,0.0,37.895,1,10.139022,0.306834,0.3993,2.013745,0.069275,-0.116129,2.470633
10,Realloc_B04_A12,4,4,12,4,17,1.396634,0.065557,0.082687,0.09024,0.02477,0.014229,0.843,46.705,0.0,47.548,4,10.555493,0.324804,0.441163,2.180481,0.08173,-0.122528,2.535571
10,Realloc_B05_A11,5,3,11,5,17,1.395125,0.042993,0.0451,0.06704,0.034166,0.002826,0.844,38.203,0.0,39.046,1,10.383581,0.30912,0.424353,2.134081,0.076744,-0.12272,2.507064
10,Realloc_B06_A10,6,2,10,6,17,1.410645,0.05754,0.066144,0.033933,0.066589,0.005602,0.837,32.089,0.0,32.926,0,10.598996,0.316078,0.432656,2.067866,0.081081,-0.114257,2.514004
10,Realloc_B07_A09,7,1,9,7,17,1.403487,0.040915,0.032097,0.027437,0.061992,0.013739,0.834,37.539,0.0,38.372,1,10.223415,0.306076,0.418682,2.054874,0.073474,-0.121954,2.534347
10,FullLag_B08_A08,8,0,8,8,17,1.41727,0.068978,0.077817,0.072317,0.070329,0.004146,0.893,30.323,0.0,31.216,0,10.718997,0.316656,0.439829,2.144634,0.080909,-0.11355,2.510365
11,Realloc_B04_A12,4,4,12,4,17,1.400119,0.044706,0.040316,0.047845,0.055283,0.026692,0.851,53.083,0.0,53.934,1,10.60963,0.308033,0.408416,2.095691,0.074983,-0.120117,2.43327
11,Realloc_B05_A11,5,3,11,5,17,1.399925,0.049645,0.044907,0.073974,0.050697,0.024293,0.84,52.349,0.0,53.189,4,10.704271,0.30298,0.412593,2.147948,0.074326,-0.12732,2.439268
11,Realloc_B06_A10,6,2,10,6,17,1.473229,0.054317,0.043624,0.056274,0.076628,0.005745,0.823,27.46,0.0,28.283,0,10.578759,0.310803,0.413041,2.112548,0.071672,-0.122208,2.485638
11,Realloc_B07_A09,7,1,9,7,17,1.405889,0.049858,0.045927,0.095774,0.028913,0.015096,0.815,34.186,0.0,35.001,1,10.648425,0.305875,0.416684,2.191549,0.077869,-0.129909,2.462259
11,FullLag_B08_A08,8,0,8,8,17,1.411676,0.039922,0.035012,0.043256,0.050204,0.023811,0.879,39.61,0.0,40.489,1,10.58189,0.296181,0.404554,2.086513,0.074399,-0.12749,2.440473
12,Realloc_B04_A12,4,4,12,4,17,1.399169,0.059253,0.039987,0.08072,0.081128,0.010023,0.85,44.983,0.0,45.833,1,9.708302,0.287383,0.381335,1.83856,0.08659,-0.136062,2.474943
12,Realloc_B05_A11,5,3,11,5,17,1.397082,0.040096,0.028585,0.077484,0.037315,0.00371,0.844,39.429,0.0,40.274,1,9.805724,0.290425,0.387006,1.845032,0.083875,-0.12864,2.490724
12,Realloc_B06_A10,6,2,10,6,17,1.397432,0.045763,0.029215,0.063045,0.063582,0.006235,0.826,40.45,0.0,41.277,4,9.684395,0.290747,0.390095,1.87391,0.084341,-0.135035,2.515588
12,Realloc_B07_A09,7,1,9,7,17,1.403002,0.040746,0.036194,0.058981,0.045853,0.002752,0.898,43.228,0.0,44.126,1,9.707509,0.285897,0.388239,1.882037,0.084887,-0.128739,2.50688
12,FullLag_B08_A08,8,0,8,8,17,1.41091,0.035274,0.004475,0.040157,0.054721,0.032378,0.834,41.207,0.0,42.042,1,9.924785,0.300377,0.400554,1.919686,0.082356,-0.135017,2.580944
13,Realloc_B04_A12,4,4,12,4,17,1.397066,0.04887,0.040925,0.017047,0.062731,0.059434,0.835,42.452,0.0,43.287,1,9.315817,0.294915,0.402998,1.965906,0.081886,-0.136776,2.648585
13,Realloc_B05_A11,5,3,11,5,17,1.391426,0.048024,0.049759,0.043107,0.056885,0.019648,0.837,52.824,0.0,53.66,1,9.338604,0.287787,0.385055,1.913785,0.08543,-0.131442,2.54912
13,Realloc_B06_A10,6,2,10,6,17,1.391182,0.046164,0.03845,0.050609,0.0619,0.016075,0.898,38.854,0.0,39.752,1,9.407631,0.291984,0.394173,1.898783,0.079134,-0.136945,2.540188
13,Realloc_B07_A09,7,1,9,7,17,1.397494,0.045855,0.033119,0.021641,0.072136,0.023504,0.835,38.629,0.0,39.464,1,9.479946,0.292919,0.397848,1.956719,0.085297,-0.135779,2.55876
13,FullLag_B08_A08,8,0,8,8,17,1.475124,0.024215,0.023254,0.011139,0.033824,0.008371,0.834,28.714,0.0,29.548,0,9.776032,0.295708,0.387894,1.977721,0.080877,-0.131867,2.479073
14,Realloc_B04_A12,4,4,12,4,17,1.3994,0.028347,0.019145,0.0051,0.04742,0.001431,0.85,41.993,0.0,42.843,1,10.144473,0.30856,0.396498,2.0102,0.07993,-0.117551,2.496423
14,Realloc_B05_A11,5,3,11,5,17,1.39215,0.026323,0.022185,0.041083,0.028584,0.007211,0.841,36.975,0.0,37.816,1,10.144499,0.310637,0.401308,2.082166,0.083215,-0.125443,2.481973
14,Realloc_B06_A10,6,2,10,6,17,1.394981,0.028295,0.015713,0.024288,0.046225,2.5e-05,0.852,34.473,0.0,35.325,1,10.05887,0.307438,0.403824,2.048575,0.08096,-0.134097,2.499937
14,Realloc_B07_A09,7,1,9,7,17,1.420519,0.030256,0.013879,0.015331,0.05275,0.005457,0.827,32.792,0.0,33.619,0,10.093631,0.306545,0.398492,2.030662,0.08514,-0.121224,2.513643
14,FullLag_B08_A08,8,0,8,8,17,1.421248,0.063555,0.085098,0.080029,0.008098,0.003786,0.891,25.553,0.0,26.444,0,10.688936,0.332637,0.428687,2.160058,0.08054,-0.124834,2.509465
15,Realloc_B04_A12,4,4,12,4,17,1.398075,0.112968,0.12491,0.172746,0.076694,0.030327,0.833,39.821,0.0,40.654,1,10.853329,0.340768,0.458047,2.345492,0.087847,-0.120168,2.575817
15,Realloc_B05_A11,5,3,11,5,17,1.39572,0.117678,0.123984,0.195992,0.077858,0.016856,0.844,36.47,0.0,37.314,1,10.99912,0.338662,0.455893,2.391984,0.087761,-0.119439,2.54214
15,Realloc_B06_A10,6,2,10,6,17,1.39682,0.082336,0.091119,0.142144,0.032747,0.014019,0.834,35.729,0.0,36.563,1,10.690216,0.328712,0.441922,2.284287,0.082829,-0.122233,2.535047
15,Realloc_B07_A09,7,1,9,7,17,1.403622,0.115911,0.119445,0.204776,0.065906,0.025018,0.833,37.267,0.0,38.1,1,10.941786,0.33806,0.453422,2.409553,0.08597,-0.118964,2.562545
15,FullLag_B08_A08,8,0,8,8,17,1.402427,0.115725,0.125077,0.175082,0.088655,0.020989,0.894,37.001,0.0,37.895,1,10.84709,0.340653,0.458508,2.350164,0.089287,-0.120035,2.552472
16,Realloc_B04_A12,4,4,12,4,17,1.396328,0.046635,0.018732,0.019181,0.082682,0.011442,0.844,44.913,0.0,45.757,1,9.796098,0.305778,0.393476,1.961639,0.08653,-0.115451,2.528605
16,Realloc_B05_A11,5,3,11,5,17,1.39321,0.029279,0.025659,0.048027,0.027588,0.014032,0.849,40.852,0.0,41.701,1,9.626454,0.293711,0.395262,1.903945,0.082278,-0.12264,2.53508
16,Realloc_B06_A10,6,2,10,6,17,1.393071,0.037035,0.021327,0.011468,0.061461,0.023451,0.839,37.356,0.0,38.195,1,9.702949,0.303322,0.407584,1.977064,0.084266,-0.117351,2.558629
16,Realloc_B07_A09,7,1,9,7,17,1.440276,0.025247,0.026751,0.033261,0.024493,0.002948,0.84,31.573,0.0,32.412,0,9.647263,0.2989,0.388072,1.933477,0.081817,-0.122704,2.507371
16,FullLag_B08_A08,8,0,8,8,17,1.399081,0.036685,0.041626,0.039163,0.035905,0.0105,0.821,38.499,0.0,39.32,1,9.453366,0.292352,0.3842,1.921674,0.083752,-0.128451,2.52625
17,Realloc_B04_A12,4,4,12,4,17,1.398537,0.054411,0.008498,0.015727,0.100044,0.015558,0.9,40.645,0.0,41.545,4,9.882004,0.297363,0.400135,2.031453,0.068788,-0.128447,2.538895
17,Realloc_B05_A11,5,3,11,5,17,1.390122,0.041714,0.006576,0.033349,0.073786,0.00707,0.832,36.465,0.0,37.298,1,9.925616,0.301532,0.397219,2.066697,0.071821,-0.128631,2.482324
17,Realloc_B06_A10,6,2,10,6,17,1.407394,0.027145,0.021168,0.027548,0.030676,0.034247,0.84,33.657,0.0,34.497,0,9.866022,0.309911,0.403423,2.055097,0.07659,-0.124986,2.585617
17,Realloc_B07_A09,7,1,9,7,17,1.40178,0.046205,0.011217,0.063545,0.072376,0.007233,0.841,40.631,0.0,41.471,1,10.067581,0.305364,0.39861,2.12709,0.074256,-0.135191,2.518081
17,FullLag_B08_A08,8,0,8,8,17,1.401261,0.082289,0.029161,0.06968,0.139212,0.035133,0.887,42.462,0.0,43.349,1,9.839088,0.309189,0.414718,2.139359,0.065528,-0.135787,2.587832
18,Realloc_B04_A12,4,4,12,4,17,1.405846,0.037323,0.049636,0.030724,0.022886,0.019187,0.844,36.379,0.0,37.223,1,10.02665,0.284312,0.372725,1.938551,0.08249,-0.124884,2.452032
18,Realloc_B05_A11,5,3,11,5,17,1.401392,0.040209,0.052698,0.037965,0.022401,0.023257,0.85,34.629,0.0,35.479,1,10.014584,0.285869,0.368732,1.92407,0.079787,-0.122023,2.441857
18,Realloc_B06_A10,6,2,10,6,17,1.402958,0.018741,0.026443,0.010821,0.010855,0.002871,0.837,46.398,0.0,47.235,4,10.047011,0.293347,0.384082,1.978358,0.081052,-0.125003,2.492824
18,Realloc_B07_A09,7,1,9,7,17,1.404103,0.030474,0.02738,0.024136,0.042474,0.007817,0.844,43.571,0.0,44.415,1,9.96879,0.293396,0.383245,1.951728,0.077678,-0.119373,2.480458
18,FullLag_B08_A08,8,0,8,8,17,1.407286,0.031609,0.029547,0.005059,0.044601,0.019254,0.839,44.587,0.0,45.427,1,10.13559,0.296518,0.380814,1.989881,0.077756,-0.118882,2.451864
19,Realloc_B04_A12,4,4,12,4,17,1.403459,0.042159,0.043078,0.061082,0.03828,0.014594,0.841,36.626,0.0,37.467,1,9.907402,0.283343,0.380411,1.877837,0.081411,-0.132449,2.463516
19,Realloc_B05_A11,5,3,11,5,17,1.398342,0.041843,0.036665,0.073282,0.036238,0.015048,0.842,41.901,0.0,42.744,1,9.891807,0.288583,0.38013,1.853436,0.083928,-0.12785,2.46238
19,Realloc_B06_A10,6,2,10,6,17,1.401121,0.048725,0.035644,0.065863,0.064915,0.006443,0.844,41.633,0.0,42.476,1,9.754463,0.291734,0.380203,1.868274,0.084577,-0.135046,2.516108
19,Realloc_B07_A09,7,1,9,7,17,1.403849,0.045608,0.011854,0.007601,0.083883,0.002885,0.83,43.526,0.0,44.355,4,10.021568,0.294549,0.403726,2.015202,0.083139,-0.140106,2.507213
19,FullLag_B08_A08,8,0,8,8,17,1.408525,0.072506,0.075817,0.084535,0.077329,0.021214,0.89,37.247,0.0,38.137,1,9.647362,0.273445,0.363854,1.830931,0.081561,-0.139558,2.446965
20,Realloc_B04_A12,4,4,12,4,17,1.396051,0.023392,0.019296,0.042634,0.018958,0.013297,0.837,41.05,0.0,41.887,1,9.861951,0.296274,0.388885,1.914732,0.080305,-0.122656,2.466757
20,Realloc_B05_A11,5,3,11,5,17,1.391215,0.045745,0.035761,0.058679,0.060669,0.00263,0.84,40.877,0.0,41.716,1,10.134052,0.317257,0.407459,2.117359,0.08395,-0.134841,2.506574
20,Realloc_B06_A10,6,2,10,6,17,1.389325,0.02553,0.028989,0.003097,0.030465,0.013251,0.849,34.932,0.0,35.782,1,10.064334,0.31182,0.412181,1.993805,0.082948,-0.128814,2.466873
20,Realloc_B07_A09,7,1,9,7,17,1.399524,0.037309,0.035739,0.000565,0.054217,0.005716,0.829,40.71,0.0,41.539,1,10.154143,0.316457,0.409673,1.998869,0.079755,-0.135653,2.51429
