iter,model,lag1_nbs,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est
1,Lag1Nbs_00,0,1.58633,0.071442,0.079345,0.119316,0.026365,0.034856,0.136,4.036,4.172,2,9.846518,0.259926,0.38863,1.761369,0.082958,-0.126601,2.412859
1,Lag1Nbs_01,1,1.434838,0.115135,0.119426,0.032237,0.151621,0.054655,0.085,3.082,3.167,2,9.513156,0.243922,0.370401,1.935526,0.090749,-0.147055,2.363362
1,Lag1Nbs_02,2,1.431133,0.104038,0.088116,0.045675,0.152897,0.060267,0.085,3.299,3.384,1,10.029679,0.258337,0.374709,1.908651,0.097245,-0.12387,2.349332
1,Lag1Nbs_03,3,1.439605,0.06896,0.04233,0.121407,0.077464,0.034232,0.088,2.481,2.568,0,9.967694,0.281925,0.416661,2.242813,0.086881,-0.134548,2.58558
1,Lag1Nbs_04,4,1.404563,0.108455,0.0831,0.010389,0.17265,0.043552,0.089,4.183,4.271,1,9.739806,0.259725,0.382038,2.020779,0.094338,-0.146892,2.39112
1,Lag1Nbs_05,5,1.406216,0.043102,0.037625,0.047412,0.056586,0.010269,0.092,3.578,3.67,1,10.41971,0.290924,0.41585,2.094823,0.083984,-0.118107,2.474328
1,Lag1Nbs_06,6,1.407123,0.092121,0.09565,0.079408,0.106042,0.056235,0.097,4.934,5.031,1,9.804818,0.255566,0.371356,1.841184,0.09184,-0.12905,2.359413
1,Lag1Nbs_07,7,1.423077,0.07356,0.071083,0.017852,0.103774,0.029362,0.155,4.336,4.491,1,9.998126,0.263087,0.401751,2.035704,0.090876,-0.132967,2.573404
1,Lag1Nbs_08,8,1.416762,0.089828,0.096724,0.053003,0.112952,0.009546,0.098,4.459,4.558,1,9.682486,0.253173,0.379237,1.893993,0.091031,-0.13616,2.476134
2,Lag1Nbs_00,0,1.586559,0.109286,0.126339,0.033969,0.131332,0.008318,0.083,4.153,4.236,2,10.914154,0.325424,0.47194,2.067938,0.082828,-0.103025,2.479206
2,Lag1Nbs_01,1,1.4286,0.149877,0.161495,0.15409,0.165993,0.012193,0.085,3.505,3.591,1,11.158412,0.338441,0.488003,2.30818,0.08679,-0.098422,2.469519
2,Lag1Nbs_02,2,1.423013,0.152201,0.138513,0.052597,0.225229,0.019375,0.086,3.562,3.648,1,10.810291,0.334096,0.47805,2.105194,0.087805,-0.087795,2.548437
