iter,model,lag1_nbs,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,gim_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est
1,Lag1Nbs_03,3,1.402159,0.187481,0.248423,0.21393,0.083316,0.035408,0.174,5.809,0.0,5.983,1,8.140553,0.227618,0.278442,1.57214,0.070766,-0.12302,2.411479
1,Lag1Nbs_05,5,1.384109,0.157254,0.214202,0.171703,0.051537,0.025703,0.1,6.345,0.0,6.445,4,8.17228,0.237869,0.300925,1.656594,0.082155,-0.117467,2.435743
1,Lag1Nbs_07,7,1.385704,0.189977,0.266373,0.181652,0.054131,0.030266,0.104,8.094,0.0,8.197,1,7.745599,0.222621,0.27638,1.636695,0.076901,-0.13432,2.424336
1,Lag1Nbs_09,9,1.392302,0.206152,0.266074,0.213316,0.130363,0.074904,0.11,9.614,0.0,9.725,1,8.09779,0.218816,0.271644,1.573368,0.094723,-0.12738,2.31274
1,Lag1Nbs_11,11,1.391528,0.18125,0.245529,0.200648,0.050026,0.061998,0.113,10.42,0.0,10.533,4,8.245068,0.224102,0.282663,1.598705,0.078216,-0.11754,2.345006
1,Lag1Nbs_13,13,1.392554,0.211184,0.282078,0.222411,0.091618,0.085054,0.172,13.21,0.0,13.382,2,8.060143,0.206836,0.270612,1.555178,0.083437,-0.141402,2.287364
1,Lag1Nbs_15,15,1.393183,0.19406,0.238347,0.25998,0.112037,0.022226,0.12,11.021,0.0,11.141,1,8.075199,0.234411,0.282984,1.480039,0.069481,-0.11486,2.444436
2,Lag1Nbs_03,3,1.401686,0.248799,0.343247,0.277755,0.036409,0.007223,0.097,5.216,0.0,5.313,1,12.766702,0.412619,0.547506,2.555509,0.078674,-0.132142,2.518058
2,Lag1Nbs_05,5,1.393354,0.110333,0.126918,0.120329,0.105704,0.007921,0.1,6.161,0.0,6.261,1,11.02922,0.334261,0.462851,2.240658,0.088911,-0.113439,2.519801
2,Lag1Nbs_07,7,1.405304,0.191864,0.262459,0.199013,0.075327,0.008643,0.106,8.917,0.0,9.023,4,12.565,0.36873,0.518911,2.398026,0.078122,-0.139093,2.478392
2,Lag1Nbs_09,9,1.432789,0.198175,0.271239,0.177487,0.10302,0.038412,0.109,7.298,0.0,7.407,0,12.002819,0.391819,0.517932,2.354974,0.083644,-0.143437,2.59603
2,Lag1Nbs_11,11,1.428618,0.230885,0.296819,0.290493,0.109074,0.025876,0.113,7.532,0.0,7.645,0,12.293549,0.400846,0.525667,2.580986,0.090092,-0.137185,2.56469
2,Lag1Nbs_13,13,1.379785,0.183543,0.233373,0.219313,0.109473,0.019002,0.117,12.438,0.0,12.555,4,11.191284,0.36894,0.524187,2.438626,0.084191,-0.107644,2.547506
