iter,model,lag2_nbs,limit_A,limit_B,limit_C,extra_current_nbs,lag1_ratio,lag2_ratio,is_quarter_baseline,is_half_baseline,total_conditioning,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,gim_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est
1,Realloc_C00_A14,0,14,6,0,6,0.75,0.0,False,False,22,1.548527,0.077613,0.097336,0.096304,0.047176,0.004285,1.149,70.072,0.0,71.221,1,9.25739,0.278856,0.346423,1.807392,0.082212,-0.13365,2.510712
1,Realloc_C01_A13,1,13,6,1,5,0.75,0.125,False,False,22,1.43064,0.092651,0.088153,0.100991,0.114989,0.01152,1.144,74.307,0.0,75.451,4,9.379017,0.271945,0.358601,1.798018,0.079322,-0.146462,2.471201
1,Realloc_C02_A12_QuarterBase,2,12,6,2,4,0.75,0.25,True,False,22,1.423788,0.078384,0.092379,0.113918,0.046766,0.0074,1.133,66.402,0.0,67.534,4,9.318266,0.280134,0.348512,1.772164,0.080636,-0.134273,2.518501
1,Realloc_C03_A11,3,11,6,3,3,0.75,0.375,False,False,22,1.410911,0.079078,0.079993,0.085075,0.092683,0.012602,1.195,67.227,0.0,68.422,4,9.345492,0.27708,0.361894,1.829849,0.07898,-0.142437,2.531505
1,Realloc_C04_A10_HalfBase,4,10,6,4,2,0.75,0.5,False,True,22,1.428309,0.063449,0.074817,0.102789,0.020017,0.004558,1.129,52.788,0.0,53.916,0,9.515107,0.275924,0.364221,1.794423,0.081571,-0.128569,2.488605
1,Realloc_C05_A09,5,9,6,5,1,0.75,0.625,False,False,22,1.397254,0.099015,0.122549,0.139235,0.038584,0.034779,1.143,59.101,0.0,60.245,1,9.155845,0.26072,0.342332,1.72153,0.079418,-0.132814,2.413051
1,Realloc_C06_A08,6,8,6,6,0,0.75,0.75,False,False,22,1.39746,0.083358,0.094594,0.131956,0.03782,0.039027,1.159,54.753,0.0,55.912,1,9.408137,0.272476,0.351135,1.736087,0.077232,-0.131139,2.402433
2,Realloc_C00_A14,0,14,6,0,6,0.75,0.0,False,False,22,1.539714,0.047167,0.067976,0.031911,0.018326,0.004574,1.161,79.684,0.0,80.845,1,9.415659,0.274316,0.377665,1.936179,0.078953,-0.123181,2.511436
2,Realloc_C01_A13,1,13,6,1,5,0.75,0.125,False,False,22,1.422948,0.080567,0.082107,0.070295,0.09862,0.028628,1.145,65.697,0.0,66.841,1,9.435053,0.270593,0.365534,1.85941,0.072644,-0.112786,2.428431
2,Realloc_C02_A12_QuarterBase,2,12,6,2,4,0.75,0.25,True,False,22,1.415149,0.050248,0.03963,0.015087,0.079248,0.013199,1.192,58.205,0.0,59.396,1,9.506445,0.288479,0.38868,1.969826,0.073089,-0.117003,2.532999
