method,hour_slot,key,n_fit,success,converged_grad,message,start_id,n_iter,n_eval,fit_s,loss,sigmasq,range_lat,range_lon,nugget,phi1,phi2,phi3,cluster_n_clusters,cluster_block_shape_lat,cluster_block_shape_lon,cluster_n_neighbor_blocks,cluster_max_points_per_cluster,cluster_n_target_blocks,cluster_n_target_points,cluster_n_batches,cluster_max_cond_points,cluster_median_cond_points,cluster_median_target_size,cluster_max_target_size,cluster_target_chunk_size,truth_sigmasq,abs_error_sigmasq,rel_error_sigmasq,truth_range_lat,abs_error_range_lat,rel_error_range_lat,truth_range_lon,abs_error_range_lon,rel_error_range_lon,truth_nugget,abs_error_nugget,rel_error_nugget,smooth_truth,n_fit_config
scipy_full_aniso_phi,0,y24m07day01_hm00:53,800,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,19,220.0,19.552128076553345,-3.540710015899886,8.164875442529075,0.10165336572640489,0.16501465662908057,9.999999999999982e-09,49.47969840571227,6.060067756573871,2.6351267810901504,,,,,,,,,,,,,,10.0,1.835124557470925,0.1835124557470925,0.2,0.09834663427359512,0.49173317136797556,0.3,0.13498534337091941,0.4499511445697314,1.0,0.99999999,0.99999999,0.5,800
torch_vecchia_aniso_micro_cluster_b2,0,y24m07day01_hm00:53,800,True,True,finite_loss_grad_converged,0,1,,67.00333499908447,0.5250491693385568,8.104558809063315,0.10230335306130565,0.16330095781388337,2.5283981899887293e-13,49.629585261221834,6.1236627965141235,2.5479900490582685,93.0,4.0,4.0,2.0,475.0,93.0,800.0,6.0,950.0,950.0,3.5,475.0,128.0,10.0,1.895441190936685,0.1895441190936685,0.2,0.09769664693869436,0.48848323469347177,0.3,0.13669904218611661,0.4556634739537221,1.0,0.9999999999997472,0.9999999999997472,0.5,800
scipy_full_aniso_phi,1,y24m07day01_hm01:53,800,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4,16,185.0,17.446653842926025,-4.071430148416173,11.91231243034177,0.13008091001358138,0.2073662409147539,9.999999999999982e-09,57.4457654138544,4.8223857248349775,2.5412592763947703,,,,,,,,,,,,,,10.0,1.9123124303417693,0.19123124303417693,0.2,0.06991908998641863,0.3495954499320931,0.3,0.0926337590852461,0.30877919695082034,1.0,0.99999999,0.99999999,0.5,800
torch_vecchia_aniso_micro_cluster_b2,1,y24m07day01_hm01:53,800,True,True,finite_loss_grad_converged,0,1,,42.49397110939026,0.4774858822563131,12.160077502054937,0.13620116710106023,0.21437352861654707,1.0712593190998414e-15,56.72378292473712,4.6647550490653815,2.477311707179842,79.0,4.0,4.0,2.0,528.0,79.0,800.0,6.0,1056.0,1056.0,3.5,528.0,128.0,10.0,2.1600775020549374,0.21600775020549373,0.2,0.06379883289893978,0.3189941644946989,0.3,0.08562647138345292,0.2854215712781764,1.0,0.9999999999999989,0.9999999999999989,0.5,800
scipy_full_aniso_phi,2,y24m07day01_hm02:53,800,False,False,ABNORMAL: ,0,13,275.0,35.29263615608215,-4.4995541148420894,10.766268780214412,0.16065210824340678,0.19136265162133465,9.999999999999982e-09,56.2610764900903,5.225680097591791,1.418866392143968,,,,,,,,,,,,,,10.0,0.7662687802144124,0.07662687802144123,0.2,0.03934789175659323,0.19673945878296614,0.3,0.10863734837866534,0.3621244945955512,1.0,0.99999999,0.99999999,0.5,800
torch_vecchia_aniso_micro_cluster_b2,2,y24m07day01_hm02:53,800,True,True,finite_loss_grad_converged,0,1,,36.687317848205566,0.3913990187940533,10.78325661979457,0.16175262546974625,0.19026926230287347,9.054411544732093e-14,56.67366598935786,5.255709660597648,1.3836765843683185,66.0,4.0,4.0,2.0,575.0,66.0,800.0,7.0,1150.0,1150.0,4.0,575.0,128.0,10.0,0.7832566197945692,0.07832566197945692,0.2,0.03824737453025376,0.1912368726512688,0.3,0.10973073769712652,0.3657691256570884,1.0,0.9999999999999094,0.9999999999999094,0.5,800
scipy_full_aniso_phi,3,y24m07day01_hm03:53,800,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,20,240.0,26.11669611930847,-4.257353578403096,14.419583413983377,0.11403802694539521,0.19873828790830964,9.999999999999982e-09,72.5556387032781,5.0317430552756015,3.037132218880201,,,,,,,,,,,,,,10.0,4.419583413983377,0.4419583413983377,0.2,0.0859619730546048,0.429809865273024,0.3,0.10126171209169035,0.33753904030563453,1.0,0.99999999,0.99999999,0.5,800
torch_vecchia_aniso_micro_cluster_b2,3,y24m07day01_hm03:53,800,True,True,finite_loss_grad_converged,0,1,,62.61461114883423,0.4896135052295794,14.261420688061325,0.10957660922038287,0.20153203489216492,1.455686515534539e-12,70.76503095744692,4.961990288715522,3.38261418227,77.0,4.0,4.0,2.0,553.0,77.0,800.0,5.0,1106.0,1106.0,3.0,553.0,128.0,10.0,4.261420688061325,0.4261420688061325,0.2,0.09042339077961714,0.4521169538980857,0.3,0.09846796510783506,0.32822655035945025,1.0,0.9999999999985443,0.9999999999985443,0.5,800
scipy_full_aniso_phi,4,y24m07day01_hm04:48,800,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4,13,155.0,25.784029245376587,-4.041764851240149,10.883101513259245,0.11330553411253858,0.2507711059632127,9.999999999999982e-09,43.39854654090714,3.98770024225477,4.898383075429385,,,,,,,,,,,,,,10.0,0.8831015132592448,0.08831015132592449,0.2,0.08669446588746144,0.4334723294373072,0.3,0.04922889403678726,0.16409631345595754,1.0,0.99999999,0.99999999,0.5,800
torch_vecchia_aniso_micro_cluster_b2,4,y24m07day01_hm04:48,800,True,True,finite_loss_grad_converged,0,1,,32.432502031326294,0.46420605524548664,10.85678135745173,0.11642426193887814,0.24999699658867702,3.8860138909611917e-16,43.42764715415569,4.000048055158485,4.610867002731133,72.0,4.0,4.0,2.0,530.0,72.0,800.0,8.0,1060.0,1060.0,5.0,530.0,128.0,10.0,0.8567813574517302,0.08567813574517302,0.2,0.08357573806112187,0.4178786903056093,0.3,0.050003003411322966,0.16667667803774322,1.0,0.9999999999999996,0.9999999999999996,0.5,800
