date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,gc_alpha,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_range_lat,est_range_lon,est_nugget,est_phi1,est_phi2,est_phi3,est_gc_alpha,est_gc_beta,n_clusters,block_shape_lat,block_shape_lon,n_neighbor_blocks,max_points_per_cluster,n_target_blocks,n_target_points,n_batches,max_cond_points,median_cond_points,median_target_size,max_target_size,target_chunk_size,cluster_block_shape,cluster_neighbor_blocks,total_conditioning_nominal
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta3.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta3.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.6665,1,2,0.0010,0.0617,0.0627,80,80,1.0000,15.0869,18.4562,25.0017,18.4562,0.0000,0.8174,0.0542,0.5449,0.6000,3.5000,6,4,4,2,16,6,80,2,32,32.0000,12.0000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta3p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta3.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta3.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.5729,1,2,0.0010,0.0562,0.0572,300,300,1.0000,12.9599,12.1718,10.7826,12.1718,0.0000,1.0647,0.0822,1.2743,0.6000,3.5000,20,4,4,2,16,20,300,2,32,32.0000,14.0000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta3p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta3.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta3.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.3310,1,2,0.0025,0.1069,0.1094,1160,1160,1.0000,17.0997,37.4168,28.8395,37.4168,0.0000,0.4570,0.0267,1.6833,0.6000,3.5000,80,4,4,2,16,80,1160,2,32,32.0000,10.0000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_beta3p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta3.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta3.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.1143,1,2,0.0068,0.5843,0.5912,4503,4503,1.0000,109.8942,1103.7977,824.7469,1103.7977,0.0000,0.0996,0.0009,1.7912,0.6000,3.5000,300,4,4,2,16,300,4503,4,32,32.0000,8.0000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_beta3p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta3.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta3.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.6966,1,2,0.0008,0.0718,0.0727,80,78,0.9750,19.2955,50.5533,40.4725,50.5533,0.0000,0.3817,0.0198,1.5602,0.6000,3.5000,6,4,4,2,16,6,78,3,32,32.0000,14.0000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,4,x4,cauchy_beta3p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta3.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta3.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.6076,1,2,0.0011,0.1193,0.1204,300,294,0.9800,15.6144,17.7924,15.5605,17.7924,0.0000,0.8776,0.0562,1.3074,0.6000,3.5000,20,4,4,2,16,20,294,5,32,32.0000,14.0000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,2,x2,cauchy_beta3p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta3.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta3.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.4347,1,2,0.0024,0.1635,0.1659,1160,1140,0.9828,18.5046,26.6267,23.6201,26.6267,0.0000,0.6950,0.0376,1.2708,0.6000,3.5000,80,4,4,2,16,80,1140,8,32,32.0000,12.5000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,1,x1,cauchy_beta3p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta3.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta3.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.1636,1,2,0.0070,0.5850,0.5920,4503,4442,0.9865,141.4481,1422.0657,1079.3592,1422.0657,0.0000,0.0995,0.0007,1.7358,0.6000,3.5000,300,4,4,2,16,300,4442,10,32,32.0000,10.5000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:53,8,x8,cauchy_beta3p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta3.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta3.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.6890,1,2,0.0010,0.0878,0.0887,80,74,0.9250,13.0668,20.0151,10.1685,20.0151,0.0000,0.6528,0.0500,3.8743,0.6000,3.5000,6,4,4,2,16,6,74,5,32,32.0000,14.0000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:53,4,x4,cauchy_beta3p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta3.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta3.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.6625,1,2,0.0011,0.1061,0.1072,300,284,0.9467,16.4948,14.4235,13.1150,14.4235,0.0000,1.1436,0.0693,1.2095,0.6000,3.5000,20,4,4,2,16,20,284,7,32,32.0000,13.0000,16,128,4x4,2,32
