date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_nugget,n_clusters,block_shape_lat,block_shape_lon,n_neighbor_blocks,max_points_per_cluster,n_target_blocks,n_target_points,n_batches,max_cond_points,median_cond_points,median_target_size,max_target_size,target_chunk_size,cluster_block_shape,cluster_neighbor_blocks,total_conditioning_nominal
20240703,2,0,2024_07_y24m07day03_hm00:56,8,x8,nugget_free,0.3000,lat,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.7474,0,1,0.0042,0.2420,0.2461,1160,1069,0.9216,10.6766,1.2053,4.1224,80,4,4,2,16,80,1069,8,32,32.0000,12.5000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:56,4,x4,nugget_free,0.3000,lat,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5961,0,1,0.0077,0.3235,0.3312,4560,4207,0.9226,12.7224,1.1930,2.3475,300,4,4,2,16,300,4207,14,32,32.0000,9.5000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:56,2,x2,nugget_free,0.3000,lat,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.4420,0,1,0.0581,1.6129,1.6709,18126,16770,0.9252,12.7738,0.8486,1.3191,1160,4,4,2,16,1158,16770,16,32,32.0000,8.5000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:56,1,x1,nugget_free,0.3000,lat,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.3008,7,8,0.3092,6.0639,6.3731,72504,67066,0.9250,15.9947,0.9371,1.6446,4560,4,4,2,16,4528,67066,16,32,32.0000,8.5000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:56,8,x8,nugget_free,0.3000,lat,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.7648,0,1,0.0025,0.1343,0.1368,1160,1070,0.9224,13.1112,1.7485,3.9150,80,4,4,2,16,80,1070,9,32,32.0000,12.0000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:56,4,x4,nugget_free,0.3000,lat,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6409,0,1,0.0075,0.2676,0.2751,4560,4217,0.9248,14.3594,1.0994,2.5511,300,4,4,2,16,300,4217,14,32,32.0000,9.5000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:56,2,x2,nugget_free,0.3000,lat,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.4817,0,1,0.0798,1.2256,1.3055,18126,16774,0.9254,14.9144,0.7115,1.0742,1160,4,4,2,16,1157,16774,16,32,32.0000,8.5000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:56,1,x1,nugget_free,0.3000,lat,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.2493,1,2,0.2752,6.4272,6.7025,72504,66961,0.9235,16.2636,0.4869,0.0592,4560,4,4,2,16,4495,66961,16,32,32.0000,8.5000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:56,8,x8,nugget_free,0.3000,lat,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.7940,0,1,0.0025,0.1551,0.1576,1160,1069,0.9216,12.7565,1.1504,3.9153,80,4,4,2,16,80,1069,9,32,32.0000,12.0000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:56,4,x4,nugget_free,0.3000,lat,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6205,7,8,0.0071,0.4270,0.4342,4560,4213,0.9239,15.3089,0.9915,2.6419,300,4,4,2,16,300,4213,14,32,32.0000,9.5000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:56,2,x2,nugget_free,0.3000,lat,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5217,0,1,0.0547,1.2785,1.3332,18126,16732,0.9231,16.5886,0.6629,1.1267,1160,4,4,2,16,1148,16732,16,32,32.0000,8.5000,16,128,4x4,2,32
