date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,parameter,estimate,loss,n_grid,n_valid
20240706,0,2024_07_y24m07day06_hm00:56,8,x8,nugget_free,0.5000,sigmasq,13.2549,1.7914,1160,1090
20240706,0,2024_07_y24m07day06_hm00:56,8,x8,nugget_free,0.5000,range,1.3665,1.7914,1160,1090
20240706,0,2024_07_y24m07day06_hm00:56,8,x8,nugget_free,0.5000,nugget,4.3781,1.7914,1160,1090
20240706,0,2024_07_y24m07day06_hm00:56,4,x4,nugget_free,0.5000,sigmasq,14.1154,1.6406,4560,4295
20240706,0,2024_07_y24m07day06_hm00:56,4,x4,nugget_free,0.5000,range,1.2463,1.6406,4560,4295
20240706,0,2024_07_y24m07day06_hm00:56,4,x4,nugget_free,0.5000,nugget,4.6182,1.6406,4560,4295
20240706,0,2024_07_y24m07day06_hm00:56,2,x2,nugget_free,0.5000,sigmasq,15.0341,1.6875,18126,17066
20240706,0,2024_07_y24m07day06_hm00:56,2,x2,nugget_free,0.5000,range,1.2327,1.6875,18126,17066
20240706,0,2024_07_y24m07day06_hm00:56,2,x2,nugget_free,0.5000,nugget,7.0231,1.6875,18126,17066
20240706,0,2024_07_y24m07day06_hm00:56,1,x1,nugget_free,0.5000,sigmasq,14.4397,1.4192,72504,68157
20240706,0,2024_07_y24m07day06_hm00:56,1,x1,nugget_free,0.5000,range,0.7077,1.4192,72504,68157
20240706,0,2024_07_y24m07day06_hm00:56,1,x1,nugget_free,0.5000,nugget,4.1490,1.4192,72504,68157
20240706,1,2024_07_y24m07day06_hm01:56,8,x8,nugget_free,0.5000,sigmasq,14.2813,1.8509,1160,1101
20240706,1,2024_07_y24m07day06_hm01:56,8,x8,nugget_free,0.5000,range,2.6016,1.8509,1160,1101
20240706,1,2024_07_y24m07day06_hm01:56,8,x8,nugget_free,0.5000,nugget,6.7853,1.8509,1160,1101
20240706,1,2024_07_y24m07day06_hm01:56,4,x4,nugget_free,0.5000,sigmasq,15.8761,1.6871,4560,4343
20240706,1,2024_07_y24m07day06_hm01:56,4,x4,nugget_free,0.5000,range,1.6202,1.6871,4560,4343
20240706,1,2024_07_y24m07day06_hm01:56,4,x4,nugget_free,0.5000,nugget,5.6875,1.6871,4560,4343
20240706,1,2024_07_y24m07day06_hm01:56,2,x2,nugget_free,0.5000,sigmasq,15.9710,1.5483,18126,17265
20240706,1,2024_07_y24m07day06_hm01:56,2,x2,nugget_free,0.5000,range,0.9099,1.5483,18126,17265
20240706,1,2024_07_y24m07day06_hm01:56,2,x2,nugget_free,0.5000,nugget,4.5386,1.5483,18126,17265
20240706,1,2024_07_y24m07day06_hm01:56,1,x1,nugget_free,0.5000,sigmasq,16.4949,1.4223,72504,68961
20240706,1,2024_07_y24m07day06_hm01:56,1,x1,nugget_free,0.5000,range,0.5370,1.4223,72504,68961
20240706,1,2024_07_y24m07day06_hm01:56,1,x1,nugget_free,0.5000,nugget,3.4799,1.4223,72504,68961
20240706,2,2024_07_y24m07day06_hm02:56,8,x8,nugget_free,0.5000,sigmasq,15.1858,1.9389,1160,1111
20240706,2,2024_07_y24m07day06_hm02:56,8,x8,nugget_free,0.5000,range,1.6596,1.9389,1160,1111
20240706,2,2024_07_y24m07day06_hm02:56,8,x8,nugget_free,0.5000,nugget,7.6727,1.9389,1160,1111
20240706,2,2024_07_y24m07day06_hm02:56,4,x4,nugget_free,0.5000,sigmasq,17.0711,1.7123,4560,4356
20240706,2,2024_07_y24m07day06_hm02:56,4,x4,nugget_free,0.5000,range,1.4407,1.7123,4560,4356
20240706,2,2024_07_y24m07day06_hm02:56,4,x4,nugget_free,0.5000,nugget,5.6781,1.7123,4560,4356
20240706,2,2024_07_y24m07day06_hm02:56,2,x2,nugget_free,0.5000,sigmasq,18.2986,1.6245,18126,17333
20240706,2,2024_07_y24m07day06_hm02:56,2,x2,nugget_free,0.5000,range,0.8485,1.6245,18126,17333
20240706,2,2024_07_y24m07day06_hm02:56,2,x2,nugget_free,0.5000,nugget,5.2219,1.6245,18126,17333
20240706,2,2024_07_y24m07day06_hm02:56,1,x1,nugget_free,0.5000,sigmasq,19.1794,1.4155,72504,69193
20240706,2,2024_07_y24m07day06_hm02:56,1,x1,nugget_free,0.5000,range,0.3955,1.4155,72504,69193
20240706,2,2024_07_y24m07day06_hm02:56,1,x1,nugget_free,0.5000,nugget,2.5187,1.4155,72504,69193
20240706,3,2024_07_y24m07day06_hm03:56,8,x8,nugget_free,0.5000,sigmasq,15.0030,1.9854,1160,1108
20240706,3,2024_07_y24m07day06_hm03:56,8,x8,nugget_free,0.5000,range,1.9410,1.9854,1160,1108
20240706,3,2024_07_y24m07day06_hm03:56,8,x8,nugget_free,0.5000,nugget,9.8458,1.9854,1160,1108
20240706,3,2024_07_y24m07day06_hm03:56,4,x4,nugget_free,0.5000,sigmasq,17.5012,1.7764,4560,4375
20240706,3,2024_07_y24m07day06_hm03:56,4,x4,nugget_free,0.5000,range,1.3143,1.7764,4560,4375
20240706,3,2024_07_y24m07day06_hm03:56,4,x4,nugget_free,0.5000,nugget,6.8455,1.7764,4560,4375
20240706,3,2024_07_y24m07day06_hm03:56,2,x2,nugget_free,0.5000,sigmasq,18.2630,1.6102,18126,17372
20240706,3,2024_07_y24m07day06_hm03:56,2,x2,nugget_free,0.5000,range,0.7096,1.6102,18126,17372
20240706,3,2024_07_y24m07day06_hm03:56,2,x2,nugget_free,0.5000,nugget,4.6178,1.6102,18126,17372
20240706,3,2024_07_y24m07day06_hm03:56,1,x1,nugget_free,0.5000,sigmasq,19.8568,1.4235,72504,69427
20240706,3,2024_07_y24m07day06_hm03:56,1,x1,nugget_free,0.5000,range,0.3377,1.4235,72504,69427
20240706,3,2024_07_y24m07day06_hm03:56,1,x1,nugget_free,0.5000,nugget,2.1098,1.4235,72504,69427
20240706,4,2024_07_y24m07day06_hm04:52,8,x8,nugget_free,0.5000,sigmasq,16.4241,1.8922,1160,1109
20240706,4,2024_07_y24m07day06_hm04:52,8,x8,nugget_free,0.5000,range,1.8001,1.8922,1160,1109
20240706,4,2024_07_y24m07day06_hm04:52,8,x8,nugget_free,0.5000,nugget,9.7718,1.8922,1160,1109
20240706,4,2024_07_y24m07day06_hm04:52,4,x4,nugget_free,0.5000,sigmasq,17.9254,1.8056,4560,4362
20240706,4,2024_07_y24m07day06_hm04:52,4,x4,nugget_free,0.5000,range,1.2049,1.8056,4560,4362
20240706,4,2024_07_y24m07day06_hm04:52,4,x4,nugget_free,0.5000,nugget,7.1650,1.8056,4560,4362
20240706,4,2024_07_y24m07day06_hm04:52,2,x2,nugget_free,0.5000,sigmasq,19.8638,1.6697,18126,17370
20240706,4,2024_07_y24m07day06_hm04:52,2,x2,nugget_free,0.5000,range,0.6539,1.6697,18126,17370
20240706,4,2024_07_y24m07day06_hm04:52,2,x2,nugget_free,0.5000,nugget,5.0112,1.6697,18126,17370
20240706,4,2024_07_y24m07day06_hm04:52,1,x1,nugget_free,0.5000,sigmasq,21.3222,1.4624,72504,69444
20240706,4,2024_07_y24m07day06_hm04:52,1,x1,nugget_free,0.5000,range,0.3474,1.4624,72504,69444
20240706,4,2024_07_y24m07day06_hm04:52,1,x1,nugget_free,0.5000,nugget,2.3640,1.4624,72504,69444
20240706,5,2024_07_y24m07day06_hm05:52,8,x8,nugget_free,0.5000,sigmasq,14.5087,1.8539,1160,1099
20240706,5,2024_07_y24m07day06_hm05:52,8,x8,nugget_free,0.5000,range,1.2308,1.8539,1160,1099
20240706,5,2024_07_y24m07day06_hm05:52,8,x8,nugget_free,0.5000,nugget,7.8981,1.8539,1160,1099
20240706,5,2024_07_y24m07day06_hm05:52,4,x4,nugget_free,0.5000,sigmasq,16.6028,1.8115,4560,4351
20240706,5,2024_07_y24m07day06_hm05:52,4,x4,nugget_free,0.5000,range,0.9755,1.8115,4560,4351
20240706,5,2024_07_y24m07day06_hm05:52,4,x4,nugget_free,0.5000,nugget,7.0780,1.8115,4560,4351
20240706,5,2024_07_y24m07day06_hm05:52,2,x2,nugget_free,0.5000,sigmasq,18.0588,1.6776,18126,17339
20240706,5,2024_07_y24m07day06_hm05:52,2,x2,nugget_free,0.5000,range,0.5925,1.6776,18126,17339
20240706,5,2024_07_y24m07day06_hm05:52,2,x2,nugget_free,0.5000,nugget,5.1771,1.6776,18126,17339
20240706,5,2024_07_y24m07day06_hm05:52,1,x1,nugget_free,0.5000,sigmasq,19.6855,1.4954,72504,69400
20240706,5,2024_07_y24m07day06_hm05:52,1,x1,nugget_free,0.5000,range,0.3189,1.4954,72504,69400
20240706,5,2024_07_y24m07day06_hm05:52,1,x1,nugget_free,0.5000,nugget,2.7096,1.4954,72504,69400
20240706,6,2024_07_y24m07day06_hm06:52,8,x8,nugget_free,0.5000,sigmasq,14.0830,1.9457,1160,1101
20240706,6,2024_07_y24m07day06_hm06:52,8,x8,nugget_free,0.5000,range,0.8694,1.9457,1160,1101
20240706,6,2024_07_y24m07day06_hm06:52,8,x8,nugget_free,0.5000,nugget,7.6059,1.9457,1160,1101
20240706,6,2024_07_y24m07day06_hm06:52,4,x4,nugget_free,0.5000,sigmasq,14.7579,1.8328,4560,4345
20240706,6,2024_07_y24m07day06_hm06:52,4,x4,nugget_free,0.5000,range,0.7459,1.8328,4560,4345
20240706,6,2024_07_y24m07day06_hm06:52,4,x4,nugget_free,0.5000,nugget,7.3586,1.8328,4560,4345
20240706,6,2024_07_y24m07day06_hm06:52,2,x2,nugget_free,0.5000,sigmasq,16.8667,1.6752,18126,17319
20240706,6,2024_07_y24m07day06_hm06:52,2,x2,nugget_free,0.5000,range,0.5257,1.6752,18126,17319
20240706,6,2024_07_y24m07day06_hm06:52,2,x2,nugget_free,0.5000,nugget,5.0585,1.6752,18126,17319
20240706,6,2024_07_y24m07day06_hm06:52,1,x1,nugget_free,0.5000,sigmasq,18.3463,1.5303,72504,69393
20240706,6,2024_07_y24m07day06_hm06:52,1,x1,nugget_free,0.5000,range,0.2985,1.5303,72504,69393
20240706,6,2024_07_y24m07day06_hm06:52,1,x1,nugget_free,0.5000,nugget,3.1013,1.5303,72504,69393
20240706,7,2024_07_y24m07day06_hm07:52,8,x8,nugget_free,0.5000,sigmasq,12.7510,1.8295,1160,1109
20240706,7,2024_07_y24m07day06_hm07:52,8,x8,nugget_free,0.5000,range,0.8139,1.8295,1160,1109
20240706,7,2024_07_y24m07day06_hm07:52,8,x8,nugget_free,0.5000,nugget,5.1136,1.8295,1160,1109
20240706,7,2024_07_y24m07day06_hm07:52,4,x4,nugget_free,0.5000,sigmasq,14.1201,1.7635,4560,4355
20240706,7,2024_07_y24m07day06_hm07:52,4,x4,nugget_free,0.5000,range,0.7389,1.7635,4560,4355
20240706,7,2024_07_y24m07day06_hm07:52,4,x4,nugget_free,0.5000,nugget,6.0925,1.7635,4560,4355
20240706,7,2024_07_y24m07day06_hm07:52,2,x2,nugget_free,0.5000,sigmasq,14.1790,1.6623,18126,17385
20240706,7,2024_07_y24m07day06_hm07:52,2,x2,nugget_free,0.5000,range,0.5808,1.6623,18126,17385
20240706,7,2024_07_y24m07day06_hm07:52,2,x2,nugget_free,0.5000,nugget,5.6328,1.6623,18126,17385
20240706,7,2024_07_y24m07day06_hm07:52,1,x1,nugget_free,0.5000,sigmasq,15.2800,1.5022,72504,69655
20240706,7,2024_07_y24m07day06_hm07:52,1,x1,nugget_free,0.5000,range,0.3092,1.5022,72504,69655
20240706,7,2024_07_y24m07day06_hm07:52,1,x1,nugget_free,0.5000,nugget,3.4255,1.5022,72504,69655
20240706,0,2024_07_y24m07day06_hm00:56,8,x8,nugget0,0.5000,sigmasq,17.2650,1.7708,1160,1090
20240706,0,2024_07_y24m07day06_hm00:56,8,x8,nugget0,0.5000,range,0.6569,1.7708,1160,1090
20240706,0,2024_07_y24m07day06_hm00:56,8,x8,nugget0,0.5000,nugget,0.0000,1.7708,1160,1090
20240706,0,2024_07_y24m07day06_hm00:56,4,x4,nugget0,0.5000,sigmasq,17.4460,1.6193,4560,4295
20240706,0,2024_07_y24m07day06_hm00:56,4,x4,nugget0,0.5000,range,0.3953,1.6193,4560,4295
20240706,0,2024_07_y24m07day06_hm00:56,4,x4,nugget0,0.5000,nugget,0.0000,1.6193,4560,4295
20240706,0,2024_07_y24m07day06_hm00:56,2,x2,nugget0,0.5000,sigmasq,19.6842,1.8804,18126,17066
20240706,0,2024_07_y24m07day06_hm00:56,2,x2,nugget0,0.5000,range,0.1716,1.8804,18126,17066
20240706,0,2024_07_y24m07day06_hm00:56,2,x2,nugget0,0.5000,nugget,0.0000,1.8804,18126,17066
20240706,0,2024_07_y24m07day06_hm00:56,1,x1,nugget0,0.5000,sigmasq,16.5638,1.7603,72504,68157
20240706,0,2024_07_y24m07day06_hm00:56,1,x1,nugget0,0.5000,range,0.1230,1.7603,72504,68157
20240706,0,2024_07_y24m07day06_hm00:56,1,x1,nugget0,0.5000,nugget,0.0000,1.7603,72504,68157
20240706,1,2024_07_y24m07day06_hm01:56,8,x8,nugget0,0.5000,sigmasq,19.2722,1.8418,1160,1101
20240706,1,2024_07_y24m07day06_hm01:56,8,x8,nugget0,0.5000,range,0.6259,1.8418,1160,1101
