date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_nugget,n_clusters,block_shape_lat,block_shape_lon,n_neighbor_blocks,max_points_per_cluster,n_target_blocks,n_target_points,n_batches,max_cond_points,median_cond_points,median_target_size,max_target_size,target_chunk_size,cluster_block_shape,cluster_neighbor_blocks,total_conditioning_nominal,profile_type,fixed_sigmasq,fixed_range,fixed_nugget
20240706,5,0,2024_07_y24m07day06_hm00:56,8,x8,nugget_free,0.5000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6521,0,1,0.0031,0.0286,0.0317,1160,1090,0.9397,13.2549,1.3665,4.3781,80,4,4,2,16,80,1090,9,32,32.0000,12.0000,16,128,4x4,2,32,sigma_only,,1.3665,4.3781
20240706,5,0,2024_07_y24m07day06_hm00:56,8,x8,nugget_free,0.5000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6521,0,1,0.0031,0.0132,0.0162,1160,1090,0.9397,13.2549,1.3665,4.3781,80,4,4,2,16,80,1090,9,32,32.0000,12.0000,16,128,4x4,2,32,range_only,13.2549,,4.3781
20240706,5,0,2024_07_y24m07day06_hm00:56,4,x4,nugget_free,0.5000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5717,0,1,0.0097,0.0279,0.0376,4560,4295,0.9419,14.1154,1.2463,4.6182,300,4,4,2,16,300,4295,13,32,32.0000,10.0000,16,128,4x4,2,32,sigma_only,,1.2463,4.6182
20240706,5,0,2024_07_y24m07day06_hm00:56,4,x4,nugget_free,0.5000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5717,0,1,0.0097,0.0228,0.0325,4560,4295,0.9419,14.1154,1.2463,4.6182,300,4,4,2,16,300,4295,13,32,32.0000,10.0000,16,128,4x4,2,32,range_only,14.1154,,4.6182
20240706,5,0,2024_07_y24m07day06_hm00:56,2,x2,nugget_free,0.5000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6426,0,1,0.0663,0.2890,0.3553,18126,17066,0.9415,15.0341,1.2327,7.0231,1160,4,4,2,16,1158,17066,16,32,32.0000,8.5000,16,128,4x4,2,32,sigma_only,,1.2327,7.0231
20240706,5,0,2024_07_y24m07day06_hm00:56,2,x2,nugget_free,0.5000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6426,0,1,0.0663,0.0669,0.1332,18126,17066,0.9415,15.0341,1.2327,7.0231,1160,4,4,2,16,1158,17066,16,32,32.0000,8.5000,16,128,4x4,2,32,range_only,15.0341,,7.0231
20240706,5,0,2024_07_y24m07day06_hm00:56,1,x1,nugget_free,0.5000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.4192,0,1,0.2419,0.4049,0.6468,72504,68157,0.9400,14.4397,0.7077,4.1490,4560,4,4,2,16,4532,68157,16,32,32.0000,8.5000,16,128,4x4,2,32,sigma_only,,0.7077,4.1490
20240706,5,0,2024_07_y24m07day06_hm00:56,1,x1,nugget_free,0.5000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.4192,0,1,0.2419,0.1925,0.4344,72504,68157,0.9400,14.4397,0.7077,4.1490,4560,4,4,2,16,4532,68157,16,32,32.0000,8.5000,16,128,4x4,2,32,range_only,14.4397,,4.1490
20240706,5,1,2024_07_y24m07day06_hm01:56,8,x8,nugget_free,0.5000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6981,0,1,0.0027,0.0091,0.0118,1160,1101,0.9491,14.2813,2.6016,6.7853,80,4,4,2,16,80,1101,8,32,32.0000,12.5000,16,128,4x4,2,32,sigma_only,,2.6016,6.7853
20240706,5,1,2024_07_y24m07day06_hm01:56,8,x8,nugget_free,0.5000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6981,0,1,0.0027,0.0064,0.0091,1160,1101,0.9491,14.2813,2.6016,6.7853,80,4,4,2,16,80,1101,8,32,32.0000,12.5000,16,128,4x4,2,32,range_only,14.2813,,6.7853
20240706,5,1,2024_07_y24m07day06_hm01:56,4,x4,nugget_free,0.5000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6208,0,1,0.0072,0.0236,0.0309,4560,4343,0.9524,15.8761,1.6202,5.6875,300,4,4,2,16,300,4343,11,32,32.0000,11.0000,16,128,4x4,2,32,sigma_only,,1.6202,5.6875
20240706,5,1,2024_07_y24m07day06_hm01:56,4,x4,nugget_free,0.5000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6208,0,1,0.0072,0.0174,0.0246,4560,4343,0.9524,15.8761,1.6202,5.6875,300,4,4,2,16,300,4343,11,32,32.0000,11.0000,16,128,4x4,2,32,range_only,15.8761,,5.6875
20240706,5,1,2024_07_y24m07day06_hm01:56,2,x2,nugget_free,0.5000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5259,0,1,0.0713,0.2643,0.3356,18126,17265,0.9525,15.9710,0.9099,4.5386,1160,4,4,2,16,1159,17265,15,32,32.0000,9.0000,16,128,4x4,2,32,sigma_only,,0.9099,4.5386
20240706,5,1,2024_07_y24m07day06_hm01:56,2,x2,nugget_free,0.5000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5259,0,1,0.0713,0.0445,0.1158,18126,17265,0.9525,15.9710,0.9099,4.5386,1160,4,4,2,16,1159,17265,15,32,32.0000,9.0000,16,128,4x4,2,32,range_only,15.9710,,4.5386
20240706,5,1,2024_07_y24m07day06_hm01:56,1,x1,nugget_free,0.5000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.4156,0,1,0.2738,0.3560,0.6298,72504,68961,0.9511,16.4949,0.5370,3.4799,4560,4,4,2,16,4535,68961,16,32,32.0000,8.5000,16,128,4x4,2,32,sigma_only,,0.5370,3.4799
20240706,5,1,2024_07_y24m07day06_hm01:56,1,x1,nugget_free,0.5000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.4156,0,1,0.2738,0.1742,0.4481,72504,68961,0.9511,16.4949,0.5370,3.4799,4560,4,4,2,16,4535,68961,16,32,32.0000,8.5000,16,128,4x4,2,32,range_only,16.4949,,3.4799
20240706,5,2,2024_07_y24m07day06_hm02:56,8,x8,nugget_free,0.5000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.8099,0,1,0.0028,0.0117,0.0145,1160,1111,0.9578,15.1858,1.6596,7.6727,80,4,4,2,16,80,1111,8,32,32.0000,12.5000,16,128,4x4,2,32,sigma_only,,1.6596,7.6727
