hour_idx,resolution_label,loss_nug0,loss_nug2,loss_delta_nug2_minus_nug0,short_fraction_nug0,short_fraction_nug2,short_fraction_delta,range_short_nug0,range_short_nug2,range_long_nug0,range_long_nug2
0,x1,1.4098,1.4119,0.0021,0.2603,0.1912,-0.0691,0.0150,0.0350,0.2500,0.7000
0,x2,1.5408,1.5347,-0.0061,0.2595,0.2596,0.0001,0.0150,0.0350,0.1500,0.4000
0,x4,1.4882,1.4876,-0.0006,0.2773,0.2557,-0.0216,0.0150,0.0700,0.4000,0.7000
0,x8,1.6034,1.5997,-0.0037,0.3211,0.2925,-0.0286,0.0150,0.0500,0.4000,0.7000
1,x1,1.3541,1.3558,0.0017,0.4129,0.2231,-0.1898,0.0500,0.0700,0.7000,0.7000
1,x2,1.4109,1.4145,0.0036,0.2307,0.1877,-0.0430,0.0350,0.0700,0.2500,0.7000
1,x4,1.5194,1.5179,-0.0015,0.1953,0.0000,-0.1953,0.0700,0.0150,0.2500,0.2500
1,x8,1.6479,1.6447,-0.0032,0.2879,0.2015,-0.0864,0.0150,0.0700,0.7000,0.4000
2,x1,1.3575,1.3600,0.0025,0.1612,0.0000,-0.1612,0.0350,0.0700,0.7000,0.2500
2,x2,1.4610,1.4618,0.0008,0.1797,0.0104,-0.1693,0.0350,0.0500,0.2500,0.2500
2,x4,1.6101,1.6053,-0.0048,0.1675,0.2132,0.0457,0.0150,0.0700,0.2500,0.4000
2,x8,1.7108,1.6991,-0.0117,0.1518,0.2099,0.0581,0.0250,0.0700,0.2500,0.4000
3,x1,1.3873,1.3896,0.0023,0.1592,0.0000,-0.1592,0.0350,0.0150,0.2500,0.2500
3,x2,1.4846,1.4829,-0.0017,0.1343,0.0000,-0.1343,0.0350,0.0350,0.2500,0.2500
3,x4,1.6470,1.6381,-0.0089,0.1433,0.1083,-0.0350,0.0150,0.0350,0.2500,0.4000
3,x8,1.7542,1.7396,-0.0146,0.1261,0.0051,-0.1210,0.0150,0.0700,0.2500,0.2500
4,x1,1.4239,1.4274,0.0035,0.0809,0.0000,-0.0809,0.0250,0.0350,0.1500,0.2500
4,x2,1.5306,1.5345,0.0039,0.3454,0.0002,-0.3452,0.0700,0.0350,0.7000,0.2500
4,x4,1.7036,1.6992,-0.0044,0.0139,0.1189,0.1050,0.0250,0.0700,0.1500,0.2500
4,x8,1.7785,1.7871,0.0086,0.2805,0.1940,-0.0865,0.0150,0.0150,0.4000,0.4000
5,x1,1.4237,1.4279,0.0042,0.1411,0.0042,-0.1369,0.0350,0.0350,0.1500,0.2500
5,x2,1.5226,1.5195,-0.0031,0.1089,0.0630,-0.0459,0.0350,0.0500,0.1500,0.2500
5,x4,1.6540,1.6558,0.0018,0.2383,0.1055,-0.1328,0.0250,0.0700,0.4000,0.2500
5,x8,1.7656,1.7542,-0.0114,0.0079,0.1011,0.0932,0.0350,0.0350,0.1500,0.2500
6,x1,1.3815,1.3876,0.0061,0.2189,0.0000,-0.2189,0.0350,0.0150,0.2500,0.2500
6,x2,1.4922,1.4927,0.0005,0.2097,0.2454,0.0357,0.0250,0.0700,0.2500,0.4000
6,x4,1.6173,1.6179,0.0006,0.2834,0.1969,-0.0865,0.0150,0.0350,0.4000,0.4000
6,x8,1.6959,1.6914,-0.0045,0.2325,0.2480,0.0155,0.0150,0.0500,0.2500,0.4000
7,x1,1.3974,1.4033,0.0059,0.4196,0.2555,-0.1641,0.0500,0.0700,0.7000,0.4000
7,x2,1.4765,1.4796,0.0031,0.2031,0.2494,0.0463,0.0250,0.0700,0.2500,0.4000
7,x4,1.6064,1.6043,-0.0021,0.2625,0.2414,-0.0211,0.0150,0.0500,0.2500,0.4000
7,x8,1.7339,1.7231,-0.0108,0.3087,0.2889,-0.0198,0.0150,0.0150,0.2500,0.4000
