smooth,resolution_stride,resolution_label,loss_mean,loss_sd,sigmasq_mean,sigmasq_sd,range_mean,range_sd,microergodic_mean,microergodic_sd,n_hours,n_valid_mean
0.3000,8,x8,1.8343,0.0883,16.0862,2.4884,0.3564,0.0688,30.3388,5.4268,8,289.5000
0.3000,8,x4,,,,,,,,,0,
0.3000,8,x2,,,,,,,,,0,
0.3000,8,x1,,,,,,,,,0,
0.3000,4,x8,,,,,,,,,0,
0.3000,4,x4,1.7192,0.0866,16.3043,2.2128,0.3339,0.0374,31.7175,5.2177,8,1121.8750
0.3000,4,x2,,,,,,,,,0,
0.3000,4,x1,,,,,,,,,0,
0.3000,2,x8,,,,,,,,,0,
0.3000,2,x4,,,,,,,,,0,
0.3000,2,x2,1.6089,0.0854,16.4471,1.7800,0.2747,0.0608,36.4476,5.9172,8,4404.5000
0.3000,2,x1,,,,,,,,,0,
0.3000,1,x8,,,,,,,,,0,
0.3000,1,x4,,,,,,,,,0,
0.3000,1,x2,,,,,,,,,0,
0.3000,1,x1,1.3934,0.0307,17.0766,2.7730,0.3065,0.0864,35.1622,2.0535,8,17544.0000
0.5000,8,x8,1.8283,0.0792,15.9828,2.4546,0.2961,0.0440,55.0618,11.3070,8,289.5000
0.5000,8,x4,,,,,,,,,0,
0.5000,8,x2,,,,,,,,,0,
0.5000,8,x1,,,,,,,,,0,
0.5000,4,x8,,,,,,,,,0,
0.5000,4,x4,1.7384,0.0973,15.8680,2.1894,0.2336,0.0177,68.4042,11.7011,8,1121.8750
0.5000,4,x2,,,,,,,,,0,
0.5000,4,x1,,,,,,,,,0,
0.5000,2,x8,,,,,,,,,0,
0.5000,2,x4,,,,,,,,,0,
0.5000,2,x2,1.7114,0.1324,15.4019,1.6249,0.1577,0.0242,99.7939,19.8952,8,4404.5000
0.5000,2,x1,,,,,,,,,0,
0.5000,1,x8,,,,,,,,,0,
0.5000,1,x4,,,,,,,,,0,
0.5000,1,x2,,,,,,,,,0,
0.5000,1,x1,1.5853,0.0604,14.5472,1.8253,0.1250,0.0193,117.0849,8.3488,8,17544.0000
1.5000,8,x8,2.1048,0.2142,15.8647,2.4038,0.1386,0.0144,6355.9876,2364.2194,8,289.5000
1.5000,8,x4,,,,,,,,,0,
1.5000,8,x2,,,,,,,,,0,
1.5000,8,x1,,,,,,,,,0,
1.5000,4,x8,,,,,,,,,0,
1.5000,4,x4,3.1840,1.2236,15.4211,2.1524,0.0912,0.0040,20593.8425,4316.6739,8,1121.8750
1.5000,4,x2,,,,,,,,,0,
1.5000,4,x1,,,,,,,,,0,
1.5000,2,x8,,,,,,,,,0,
1.5000,2,x4,,,,,,,,,0,
1.5000,2,x2,11.9605,8.5862,14.6219,1.4841,0.0526,0.0047,105466.2837,38839.8766,8,4404.5000
1.5000,2,x1,,,,,,,,,0,
1.5000,1,x8,,,,,,,,,0,
1.5000,1,x4,,,,,,,,,0,
1.5000,1,x2,,,,,,,,,0,
1.5000,1,x1,46.4458,48.4353,12.8936,1.1818,0.0329,0.0023,367095.2197,57679.0946,8,17544.0000
