k_bin,k_mid,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.7 b=3 nugget0,GC a=0.7 b=3 nugget free,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=3.5 nugget free,GC a=0.7 b=4 nugget0,GC a=0.7 b=4 nugget free
0,0.5729,3.6366,2.4145,1.5212,1.2834,1.6235,1.3518,1.7089,1.4082
1,1.7187,1.9167,1.5162,1.4817,1.3030,1.5159,1.3216,1.5425,1.3358
2,2.8645,0.8410,0.7453,0.8820,0.8071,0.8859,0.8070,0.8884,0.8065
3,4.0103,0.8403,0.8032,0.9887,0.9324,0.9859,0.9281,0.9830,0.9244
4,5.1561,0.7833,0.7885,0.9544,0.9204,0.9489,0.9152,0.9440,0.9108
5,6.3019,0.6201,0.6467,0.7635,0.7487,0.7578,0.7441,0.7529,0.7403
10,12.0309,0.7811,0.8777,0.8964,0.9237,0.8894,0.9205,0.8838,0.9179
15,17.7599,0.9002,1.0150,0.9644,1.0108,0.9589,1.0097,0.9544,1.0088
20,23.4890,1.0072,1.1128,1.0316,1.0817,1.0278,1.0821,1.0248,1.0823
25,29.2180,1.0360,1.1114,1.0330,1.0737,1.0310,1.0748,1.0294,1.0755
30,34.9470,1.0758,1.1181,1.0554,1.0827,1.0548,1.0840,1.0544,1.0849
35,40.6760,1.0763,1.0884,1.0475,1.0606,1.0480,1.0617,1.0483,1.0625
40,46.4050,1.0859,1.0736,1.0520,1.0526,1.0533,1.0535,1.0543,1.0543
45,52.1340,1.0635,1.0343,1.0289,1.0205,1.0306,1.0211,1.0320,1.0216
50,57.8630,0.9919,0.9512,0.9602,0.9447,0.9621,0.9451,0.9636,0.9454
55,63.5921,1.0056,0.9537,0.9737,0.9517,0.9759,0.9519,0.9776,0.9520
60,69.3211,0.9705,0.9143,0.9403,0.9152,0.9426,0.9153,0.9443,0.9153
65,75.0501,0.9345,0.8706,0.9045,0.8743,0.9068,0.8742,0.9087,0.8741
69,79.6333,0.9552,0.8852,0.9244,0.8904,0.9270,0.8902,0.9290,0.8901
