k_bin,k_mid,Matern s=0.3,GC a=0.8 b=4,GC a=0.7 b=4,GC a=0.6 b=3.5,GC a=0.7 b=3.5
0,0.5729,3.6366,3.5614,1.7089,0.6361,1.6235
1,1.7187,1.9167,2.3486,1.5425,0.9475,1.5159
2,2.8645,0.8410,1.1104,0.8884,0.7013,0.8859
3,4.0103,0.8403,1.1003,0.9830,0.8754,0.9859
4,5.1561,0.7833,0.9915,0.9440,0.8940,0.9489
5,6.3019,0.6201,0.7577,0.7529,0.7462,0.7578
6,7.4477,0.7754,0.9119,0.9319,0.9440,0.9382
7,8.5935,0.7224,0.8201,0.8573,0.8880,0.8632
8,9.7393,0.7634,0.8394,0.8906,0.9346,0.8967
9,10.8851,0.7496,0.8039,0.8613,0.9115,0.8670
10,12.0309,0.7811,0.8179,0.8838,0.9429,0.8894
11,13.1767,0.7414,0.7614,0.8279,0.8913,0.8331
12,14.3225,0.8004,0.8097,0.8802,0.9419,0.8853
13,15.4683,0.8825,0.8797,0.9574,1.0249,0.9625
14,16.6141,0.8771,0.8637,0.9404,1.0071,0.9451
15,17.7599,0.9002,0.8772,0.9544,1.0209,0.9589
16,18.9057,0.9639,0.9318,1.0123,1.0804,1.0166
17,20.0515,0.9359,0.8988,0.9738,1.0373,0.9776
18,21.1974,0.9886,0.9449,1.0200,1.0813,1.0237
19,22.3432,0.9247,0.8805,0.9467,0.9994,0.9497
20,23.4890,1.0072,0.9561,1.0248,1.0785,1.0278
21,24.6348,1.0330,0.9789,1.0451,1.0954,1.0479
22,25.7806,1.0072,0.9532,1.0133,1.0581,1.0157
23,26.9264,1.0103,0.9564,1.0122,1.0543,1.0144
24,28.0722,0.9870,0.9349,0.9845,1.0178,0.9863
25,29.2180,1.0360,0.9825,1.0294,1.0591,1.0310
26,30.3638,1.0654,1.0123,1.0548,1.0794,1.0562
27,31.5096,1.0715,1.0191,1.0579,1.0789,1.0591
28,32.6554,1.0962,1.0452,1.0797,1.0969,1.0806
29,33.8012,1.1090,1.0602,1.0893,1.1003,1.0900
30,34.9470,1.0758,1.0311,1.0544,1.0601,1.0548
31,36.0928,1.0657,1.0244,1.0427,1.0436,1.0429
32,37.2386,1.1049,1.0654,1.0793,1.0757,1.0793
33,38.3844,1.1451,1.1069,1.1170,1.1092,1.1169
34,39.5302,1.1172,1.0829,1.0887,1.0785,1.0884
35,40.6760,1.0763,1.0466,1.0483,1.0348,1.0480
36,41.8218,1.0650,1.0392,1.0362,1.0178,1.0356
37,42.9676,1.0793,1.0561,1.0492,1.0273,1.0485
38,44.1134,1.0821,1.0619,1.0514,1.0261,1.0506
39,45.2592,1.0795,1.0622,1.0482,1.0201,1.0473
40,46.4050,1.0859,1.0712,1.0543,1.0241,1.0533
41,47.5508,1.1020,1.0900,1.0693,1.0352,1.0682
42,48.6966,1.0655,1.0563,1.0336,0.9982,1.0324
43,49.8424,1.0965,1.0891,1.0635,1.0258,1.0622
44,50.9882,1.1080,1.1026,1.0750,1.0358,1.0737
45,52.1340,1.0635,1.0609,1.0320,0.9920,1.0306
46,53.2798,1.0260,1.0253,0.9957,0.9566,0.9944
47,54.4256,1.0553,1.0576,1.0244,0.9807,1.0230
48,55.5714,1.0245,1.0291,0.9950,0.9505,0.9935
49,56.7172,1.0312,1.0384,1.0014,0.9546,0.9999
50,57.8630,0.9919,1.0009,0.9636,0.9170,0.9621
51,59.0088,1.0254,1.0368,0.9961,0.9463,0.9945
52,60.1546,1.0116,1.0247,0.9830,0.9324,0.9814
53,61.3005,1.0212,1.0363,0.9924,0.9397,0.9908
54,62.4463,1.0198,1.0367,0.9912,0.9374,0.9895
55,63.5921,1.0056,1.0237,0.9776,0.9233,0.9759
56,64.7379,0.9917,1.0111,0.9641,0.9095,0.9624
57,65.8837,1.0090,1.0298,0.9810,0.9245,0.9792
58,67.0295,0.9579,0.9785,0.9318,0.8788,0.9302
59,68.1753,0.9768,0.9991,0.9502,0.8941,0.9485
60,69.3211,0.9705,0.9937,0.9443,0.8878,0.9426
61,70.4669,1.0117,1.0366,0.9845,0.9251,0.9826
62,71.6127,0.9578,0.9822,0.9318,0.8752,0.9300
63,72.7585,0.9644,0.9907,0.9377,0.8797,0.9359
64,73.9043,0.9541,0.9825,0.9277,0.8687,0.9258
65,75.0501,0.9345,0.9634,0.9087,0.8500,0.9068
66,76.1959,0.9275,0.9576,0.9020,0.8428,0.9001
67,77.3417,0.9583,0.9904,0.9320,0.8701,0.9300
68,78.4875,0.9269,0.9590,0.9015,0.8411,0.8996
69,79.6333,0.9552,0.9891,0.9290,0.8659,0.9270
