frequency_band,k_bin_start,k_bin_end,k_mid_min,k_mid_max,variant,model_label,n_bins,ratio_mean,ratio_median,ratio_min,ratio_max
ultra_low,0,4,0.5729,5.1561,matern_s03,Matern s=0.3,5,1.6036,0.8410,0.7833,3.6366
ultra_low,0,4,0.5729,5.1561,gc_a08_b4,GC a=0.8 b=4,5,1.8224,1.1104,0.9915,3.5614
ultra_low,0,4,0.5729,5.1561,gc_a07_b4,GC a=0.7 b=4,5,1.2134,0.9830,0.8884,1.7089
ultra_low,0,4,0.5729,5.1561,gc_a06_b35,GC a=0.6 b=3.5,5,0.8109,0.8754,0.6361,0.9475
ultra_low,0,4,0.5729,5.1561,gc_a07_b35,GC a=0.7 b=3.5,5,1.1920,0.9859,0.8859,1.6235
low_mid,5,14,6.3019,16.6141,matern_s03,Matern s=0.3,10,0.7714,0.7694,0.6201,0.8825
low_mid,5,14,6.3019,16.6141,gc_a08_b4,GC a=0.8 b=4,10,0.8265,0.8190,0.7577,0.9119
low_mid,5,14,6.3019,16.6141,gc_a07_b4,GC a=0.7 b=4,10,0.8784,0.8820,0.7529,0.9574
low_mid,5,14,6.3019,16.6141,gc_a06_b35,GC a=0.6 b=3.5,10,0.9232,0.9383,0.7462,1.0249
low_mid,5,14,6.3019,16.6141,gc_a07_b35,GC a=0.7 b=3.5,10,0.8838,0.8873,0.7578,0.9625
mid,15,29,17.7599,33.8012,matern_s03,Matern s=0.3,15,1.0091,1.0072,0.9002,1.1090
mid,15,29,17.7599,33.8012,gc_a08_b4,GC a=0.8 b=4,15,0.9621,0.9561,0.8772,1.0602
mid,15,29,17.7599,33.8012,gc_a07_b4,GC a=0.7 b=4,15,1.0199,1.0200,0.9467,1.0893
mid,15,29,17.7599,33.8012,gc_a06_b35,GC a=0.6 b=3.5,15,1.0625,1.0785,0.9994,1.1003
mid,15,29,17.7599,33.8012,gc_a07_b35,GC a=0.7 b=3.5,15,1.0224,1.0237,0.9497,1.0900
high,30,49,34.9470,56.7172,matern_s03,Matern s=0.3,20,1.0775,1.0778,1.0245,1.1451
high,30,49,34.9470,56.7172,gc_a08_b4,GC a=0.8 b=4,20,1.0599,1.0593,1.0244,1.1069
high,30,49,34.9470,56.7172,gc_a07_b4,GC a=0.7 b=4,20,1.0480,1.0488,0.9950,1.1170
high,30,49,34.9470,56.7172,gc_a06_b35,GC a=0.6 b=3.5,20,1.0223,1.0259,0.9505,1.1092
high,30,49,34.9470,56.7172,gc_a07_b35,GC a=0.7 b=3.5,20,1.0472,1.0482,0.9935,1.1169
very_high,50,69,57.8630,79.6333,matern_s03,Matern s=0.3,20,0.9786,0.9737,0.9269,1.0254
very_high,50,69,57.8630,79.6333,gc_a08_b4,GC a=0.8 b=4,20,1.0011,0.9964,0.9576,1.0368
very_high,50,69,57.8630,79.6333,gc_a07_b4,GC a=0.7 b=4,20,0.9515,0.9473,0.9015,0.9961
very_high,50,69,57.8630,79.6333,gc_a06_b35,GC a=0.6 b=3.5,20,0.8955,0.8910,0.8411,0.9463
very_high,50,69,57.8630,79.6333,gc_a07_b35,GC a=0.7 b=3.5,20,0.9497,0.9455,0.8996,0.9945
