k_bin,k_mid,Matern s=0.3,GC a=0.8 b=4,GC a=0.7 b=4,GC a=0.6 b=3.5,GC a=0.7 b=3.5
0,0.5729,3.6366,3.5614,1.7089,0.6361,1.6235
1,1.7187,1.9167,2.3486,1.5425,0.9475,1.5159
2,2.8645,0.8410,1.1104,0.8884,0.7013,0.8859
3,4.0103,0.8403,1.1003,0.9830,0.8754,0.9859
4,5.1561,0.7833,0.9915,0.9440,0.8940,0.9489
5,6.3019,0.6201,0.7577,0.7529,0.7462,0.7578
10,12.0309,0.7811,0.8179,0.8838,0.9429,0.8894
15,17.7599,0.9002,0.8772,0.9544,1.0209,0.9589
20,23.4890,1.0072,0.9561,1.0248,1.0785,1.0278
25,29.2180,1.0360,0.9825,1.0294,1.0591,1.0310
30,34.9470,1.0758,1.0311,1.0544,1.0601,1.0548
35,40.6760,1.0763,1.0466,1.0483,1.0348,1.0480
40,46.4050,1.0859,1.0712,1.0543,1.0241,1.0533
45,52.1340,1.0635,1.0609,1.0320,0.9920,1.0306
50,57.8630,0.9919,1.0009,0.9636,0.9170,0.9621
55,63.5921,1.0056,1.0237,0.9776,0.9233,0.9759
60,69.3211,0.9705,0.9937,0.9443,0.8878,0.9426
65,75.0501,0.9345,0.9634,0.9087,0.8500,0.9068
69,79.6333,0.9552,0.9891,0.9290,0.8659,0.9270
