date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,gc_alpha,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_range_lat,est_range_lon,est_nugget,est_phi1,est_phi2,est_phi3,est_gc_alpha,est_gc_beta,n_clusters,block_shape_lat,block_shape_lon,n_neighbor_blocks,max_points_per_cluster,n_target_blocks,n_target_points,n_batches,max_cond_points,median_cond_points,median_target_size,max_target_size,target_chunk_size,cluster_block_shape,cluster_neighbor_blocks,total_conditioning_nominal
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta2p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta2.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta2.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.8121,0,1,0.0013,0.0662,0.0676,300,300,1.0000,14.7872,4.6574,2.7613,4.6574,0.0000,3.1750,0.2147,2.8447,0.6000,2.5000,20,4,4,2,16,20,300,2,32,32.0000,14.0000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta2p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta2.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta2.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.7306,0,1,0.0028,0.0909,0.0937,1160,1160,1.0000,15.0228,4.6734,3.6536,4.6734,0.0000,3.2145,0.2140,1.6361,0.6000,2.5000,80,4,4,2,16,80,1160,2,32,32.0000,10.0000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta2p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta2.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta2.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.7675,0,1,0.0075,0.3004,0.3080,4560,4531,0.9936,17.9592,2.2265,1.4421,2.2265,0.0000,8.0661,0.4491,2.3838,0.6000,2.5000,300,4,4,2,16,300,4531,6,32,32.0000,12.5000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_beta2p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta2.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta2.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.5163,0,1,0.0944,1.5926,1.6871,18126,18067,0.9967,14.8202,2.7837,1.9368,2.7837,0.0000,5.3240,0.3592,2.0658,0.6000,2.5000,1160,4,4,2,16,1160,18067,6,32,32.0000,10.5000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_beta2p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta2.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta2.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.7538,1,2,0.0012,0.1256,0.1269,300,293,0.9767,17.0301,6.1082,3.5508,6.1082,0.0000,2.7880,0.1637,2.9593,0.6000,2.5000,20,4,4,2,16,20,293,5,32,32.0000,12.0000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,4,x4,cauchy_beta2p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta2.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta2.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.7841,0,1,0.0029,0.1357,0.1386,1160,1134,0.9776,16.1792,4.6025,3.3337,4.6025,0.0000,3.5153,0.2173,1.9061,0.6000,2.5000,80,4,4,2,16,80,1134,8,32,32.0000,11.5000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,2,x2,cauchy_beta2p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta2.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta2.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.5204,7,8,0.0075,0.6332,0.6406,4560,4437,0.9730,16.5940,4.5099,3.1469,4.5099,0.0000,3.6794,0.2217,2.0539,0.6000,2.5000,300,4,4,2,16,300,4437,12,32,32.0000,10.5000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,1,x1,cauchy_beta2p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta2.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta2.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.5004,0,1,0.2731,1.3041,1.5773,18126,17670,0.9748,18.2228,5.2696,3.7879,5.2696,0.0000,3.4581,0.1898,1.9353,0.6000,2.5000,1160,4,4,2,16,1153,17670,16,32,32.0000,8.5000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:53,8,x8,cauchy_beta2p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta2.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta2.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.8570,1,2,0.0011,0.0961,0.0972,300,272,0.9067,18.7126,3.2673,2.7123,3.2673,0.0000,5.7273,0.3061,1.4511,0.6000,2.5000,20,4,4,2,16,20,272,6,32,32.0000,11.5000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:53,4,x4,cauchy_beta2p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta2.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta2.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.8582,0,1,0.0031,0.1809,0.1840,1160,1064,0.9172,18.6107,4.0164,2.9987,4.0164,0.0000,4.6336,0.2490,1.7940,0.6000,2.5000,80,4,4,2,16,79,1064,11,32,32.0000,11.0000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:53,2,x2,cauchy_beta2p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta2.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta2.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.6994,0,1,0.0076,0.3900,0.3976,4560,4183,0.9173,18.6887,4.3295,3.2314,4.3295,0.0000,4.3166,0.2310,1.7951,0.6000,2.5000,300,4,4,2,16,295,4183,15,32,32.0000,9.0000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:53,1,x1,cauchy_beta2p5,0.6000,0.6000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta2.5NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha06_beta2.5_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.5175,0,1,0.1825,1.7006,1.8831,18126,16698,0.9212,26.9516,10.5734,8.2015,10.5734,0.0000,2.5490,0.0946,1.6621,0.6000,2.5000,1160,4,4,2,16,1137,16698,16,32,32.0000,8.5000,16,128,4x4,2,32
