date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,gc_alpha,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_range_lat,est_range_lon,est_nugget,est_phi1,est_phi2,est_phi3,est_gc_alpha,est_gc_beta,n_clusters,block_shape_lat,block_shape_lon,n_neighbor_blocks,max_points_per_cluster,n_target_blocks,n_target_points,n_batches,max_cond_points,median_cond_points,median_target_size,max_target_size,target_chunk_size,cluster_block_shape,cluster_neighbor_blocks,total_conditioning_nominal
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta4p0,0.8000,0.8000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta4NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha08_beta4_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.7168,1,2,0.0015,0.0813,0.0828,300,300,1.0000,14.0604,3.1911,1.9192,3.1911,0.0000,4.4062,0.3134,2.7645,0.8000,4.0000,20,4,4,2,16,20,300,2,32,32.0000,14.0000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta4p0,0.8000,0.8000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta4NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha08_beta4_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.5956,7,8,0.0025,0.1550,0.1575,1160,1160,1.0000,13.8836,2.4981,1.9342,2.4981,0.0000,5.5578,0.4003,1.6681,0.8000,4.0000,80,4,4,2,16,80,1160,2,32,32.0000,10.0000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta4p0,0.8000,0.8000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta4NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha08_beta4_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.8040,0,1,0.0071,0.2543,0.2613,4560,4531,0.9936,17.2409,1.3602,0.8453,1.3602,0.0000,12.6753,0.7352,2.5894,0.8000,4.0000,300,4,4,2,16,300,4531,6,32,32.0000,12.5000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,cauchy_beta4p0,0.8000,0.8000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta4NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha08_beta4_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.5275,0,1,0.0947,1.2494,1.3441,18126,18067,0.9967,13.3176,1.1919,0.8184,1.1919,0.0000,11.1735,0.8390,2.1211,0.8000,4.0000,1160,4,4,2,16,1160,18067,6,32,32.0000,10.5000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,cauchy_beta4p0,0.8000,0.8000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta4NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha08_beta4_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.7537,1,2,0.0011,0.1099,0.1110,300,293,0.9767,15.8762,3.7242,2.2448,3.7242,0.0000,4.2629,0.2685,2.7524,0.8000,4.0000,20,4,4,2,16,20,293,5,32,32.0000,12.0000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,4,x4,cauchy_beta4p0,0.8000,0.8000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta4NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha08_beta4_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.8465,0,1,0.0029,0.1305,0.1334,1160,1134,0.9776,15.1856,2.5813,1.8827,2.5813,0.0000,5.8828,0.3874,1.8798,0.8000,4.0000,80,4,4,2,16,80,1134,8,32,32.0000,11.5000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,2,x2,cauchy_beta4p0,0.8000,0.8000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta4NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha08_beta4_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.6936,0,1,0.0084,0.3603,0.3687,4560,4437,0.9730,14.6502,1.9628,1.3409,1.9628,0.0000,7.4641,0.5095,2.1427,0.8000,4.0000,300,4,4,2,16,300,4437,12,32,32.0000,10.5000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,1,x1,cauchy_beta4p0,0.8000,0.8000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta4NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha08_beta4_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.3639,7,8,0.0660,1.8597,1.9257,18126,17670,0.9748,14.2522,1.5562,1.1130,1.5562,0.0000,9.1581,0.6426,1.9549,0.8000,4.0000,1160,4,4,2,16,1153,17670,16,32,32.0000,8.5000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:53,8,x8,cauchy_beta4p0,0.8000,0.8000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta4NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha08_beta4_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.8594,1,2,0.0011,0.1120,0.1131,300,272,0.9067,18.0803,2.6985,1.9317,2.6985,0.0000,6.7002,0.3706,1.9514,0.8000,4.0000,20,4,4,2,16,20,272,6,32,32.0000,11.5000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:53,4,x4,cauchy_beta4p0,0.8000,0.8000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta4NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha08_beta4_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.9139,0,1,0.0026,0.1547,0.1573,1160,1064,0.9172,17.6105,2.4646,1.7148,2.4646,0.0000,7.1455,0.4058,2.0657,0.8000,4.0000,80,4,4,2,16,79,1064,11,32,32.0000,11.0000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:53,2,x2,cauchy_beta4p0,0.8000,0.8000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta4NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha08_beta4_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.7424,0,1,0.0072,0.4682,0.4754,4560,4183,0.9173,16.4127,1.8554,1.3857,1.8554,0.0000,8.8458,0.5390,1.7928,0.8000,4.0000,300,4,4,2,16,295,4183,15,32,32.0000,9.0000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:53,1,x1,cauchy_beta4p0,0.8000,0.8000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta4NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha08_beta4_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.5253,0,1,0.1045,1.1793,1.2838,18126,16698,0.9212,16.8212,1.9155,1.4732,1.9155,0.0000,8.7817,0.5221,1.6906,0.8000,4.0000,1160,4,4,2,16,1137,16698,16,32,32.0000,8.5000,16,128,4x4,2,32
20240703,2,3,2024_07_y24m07day03_hm03:53,8,x8,cauchy_beta4p0,0.8000,0.8000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta4NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha08_beta4_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.8650,1,2,0.0013,0.1022,0.1036,300,279,0.9300,19.5659,3.1309,2.4895,3.1309,0.0000,6.2493,0.3194,1.5816,0.8000,4.0000,20,4,4,2,16,20,279,6,32,32.0000,13.0000,16,128,4x4,2,32
20240703,2,3,2024_07_y24m07day03_hm03:53,4,x4,cauchy_beta4p0,0.8000,0.8000,lat,full,ClusterSpaceAnisoGeneralizedCauchyBeta4NoNugget_4x4_B2_exactloc,cluster_space_aniso_generalized_cauchy_alpha08_beta4_nugget0_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; anisotropic generalized Cauchy covariance on Source_Latitude/Source_Longitude",1.9538,0,1,0.0028,0.1690,0.1719,1160,1080,0.9310,18.6143,2.3408,2.0127,2.3408,0.0000,7.9521,0.4272,1.3526,0.8000,4.0000,80,4,4,2,16,80,1080,10,32,32.0000,10.5000,16,128,4x4,2,32
