date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_range_lat,est_range_lon,est_nugget,n_clusters,block_shape_lat,block_shape_lon,n_neighbor_blocks,max_points_per_cluster,n_target_blocks,n_target_points,n_batches,max_cond_points,median_cond_points,median_target_size,max_target_size,target_chunk_size,cluster_block_shape,cluster_neighbor_blocks,total_conditioning_nominal
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3000,lat,full,ClusterSpaceAniso_4x4_B2_exactloc,cluster_space_aniso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; cluster max-min ordering on cluster centroids; anisotropic covariance on Source_Latitude/Source_Longitude",1.7630,0,1,0.0015,0.0741,0.0756,300,300,1.0000,9.5041,1.2322,0.7237,1.2322,4.8548,20,4,4,2,16,20,300,2,32,32.0000,14.0000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,0.3000,lat,full,ClusterSpaceAniso_4x4_B2_exactloc,cluster_space_aniso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; cluster max-min ordering on cluster centroids; anisotropic covariance on Source_Latitude/Source_Longitude",1.6421,0,1,0.0025,0.1104,0.1128,1160,1160,1.0000,12.1054,1.1327,0.8854,1.1327,3.3062,80,4,4,2,16,80,1160,2,32,32.0000,10.0000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,nugget_free,0.3000,lat,full,ClusterSpaceAniso_4x4_B2_exactloc,cluster_space_aniso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; cluster max-min ordering on cluster centroids; anisotropic covariance on Source_Latitude/Source_Longitude",1.7121,0,1,0.0073,0.4900,0.4973,4560,4531,0.9936,14.8487,0.9047,0.6449,0.9047,5.3654,300,4,4,2,16,300,4531,6,32,32.0000,12.5000,16,128,4x4,2,32
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,nugget_free,0.3000,lat,full,ClusterSpaceAniso_4x4_B2_exactloc,cluster_space_aniso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; cluster max-min ordering on cluster centroids; anisotropic covariance on Source_Latitude/Source_Longitude",1.4339,0,1,0.0794,1.5919,1.6713,18126,18067,0.9967,14.5974,0.5289,0.3684,0.5289,1.5914,1160,4,4,2,16,1160,18067,6,32,32.0000,10.5000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,nugget_free,0.3000,lat,full,ClusterSpaceAniso_4x4_B2_exactloc,cluster_space_aniso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; cluster max-min ordering on cluster centroids; anisotropic covariance on Source_Latitude/Source_Longitude",1.8010,0,1,0.0010,0.0660,0.0670,300,293,0.9767,11.9854,1.2269,0.7021,1.2269,4.1606,20,4,4,2,16,20,293,5,32,32.0000,12.0000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,4,x4,nugget_free,0.3000,lat,full,ClusterSpaceAniso_4x4_B2_exactloc,cluster_space_aniso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; cluster max-min ordering on cluster centroids; anisotropic covariance on Source_Latitude/Source_Longitude",1.6793,0,1,0.0027,0.1903,0.1931,1160,1134,0.9776,12.7182,0.9343,0.6789,0.9343,3.2395,80,4,4,2,16,80,1134,8,32,32.0000,11.5000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,2,x2,nugget_free,0.3000,lat,full,ClusterSpaceAniso_4x4_B2_exactloc,cluster_space_aniso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; cluster max-min ordering on cluster centroids; anisotropic covariance on Source_Latitude/Source_Longitude",1.5508,0,1,0.0073,0.4412,0.4484,4560,4437,0.9730,14.9825,0.7739,0.5549,0.7739,2.0384,300,4,4,2,16,300,4437,12,32,32.0000,10.5000,16,128,4x4,2,32
20240703,2,1,2024_07_y24m07day03_hm01:53,1,x1,nugget_free,0.3000,lat,full,ClusterSpaceAniso_4x4_B2_exactloc,cluster_space_aniso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; cluster max-min ordering on cluster centroids; anisotropic covariance on Source_Latitude/Source_Longitude",1.3627,1,2,0.0545,2.8328,2.8873,18126,17670,0.9748,16.5293,0.4834,0.3458,0.4834,0.4551,1160,4,4,2,16,1153,17670,16,32,32.0000,8.5000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:53,8,x8,nugget_free,0.3000,lat,full,ClusterSpaceAniso_4x4_B2_exactloc,cluster_space_aniso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; cluster max-min ordering on cluster centroids; anisotropic covariance on Source_Latitude/Source_Longitude",1.8830,0,1,0.0011,0.0983,0.0994,300,272,0.9067,10.8201,0.8685,0.9728,0.8685,7.3192,20,4,4,2,16,20,272,6,32,32.0000,11.5000,16,128,4x4,2,32
20240703,2,2,2024_07_y24m07day03_hm02:53,4,x4,nugget_free,0.3000,lat,full,ClusterSpaceAniso_4x4_B2_exactloc,cluster_space_aniso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; cluster max-min ordering on cluster centroids; anisotropic covariance on Source_Latitude/Source_Longitude",1.7558,0,1,0.0027,0.3384,0.3412,1160,1064,0.9172,13.9102,0.9967,0.8817,0.9967,4.9898,80,4,4,2,16,79,1064,11,32,32.0000,11.0000,16,128,4x4,2,32
