date_str,hour_idx,time_key,resolution_stride,resolution_label,fit_type,parameter,estimate,loss,n_grid,n_valid
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,full,sigmasq,13.2870,1.6061,2266,2259
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,full,range,0.2759,1.6061,2266,2259
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,full,sigmasq,12.2858,1.4896,4532,4518
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,full,range,0.2667,1.4896,4532,4518
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,full,sigmasq,14.0705,1.5614,9063,9033
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,full,range,0.1745,1.5614,9063,9033
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,full,sigmasq,13.2659,1.4131,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,full,range,0.1774,1.4131,18126,18067
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,full,sigmasq,15.1420,1.6488,2266,2208
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,full,range,0.3157,1.6488,2266,2208
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,full,sigmasq,15.0141,1.5161,4532,4422
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,full,range,0.3564,1.5161,4532,4422
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,full,sigmasq,14.7313,1.4108,9063,8840
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,full,range,0.3082,1.4108,9063,8840
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,full,sigmasq,14.4933,1.3575,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,full,range,0.2567,1.3575,18126,17670
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,full,sigmasq,17.2150,1.7102,2266,2082
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,full,range,0.3381,1.7102,2266,2082
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,full,sigmasq,16.8560,1.6113,4532,4176
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,full,range,0.3209,1.6113,4532,4176
20240703,2,2024_07_y24m07day03_hm02:53,2,x2,full,sigmasq,16.6423,1.4629,9063,8353
20240703,2,2024_07_y24m07day03_hm02:53,2,x2,full,range,0.3254,1.4629,9063,8353
20240703,2,2024_07_y24m07day03_hm02:53,1,x1,full,sigmasq,17.0048,1.3598,18126,16698
20240703,2,2024_07_y24m07day03_hm02:53,1,x1,full,range,0.3397,1.3598,18126,16698
20240703,3,2024_07_y24m07day03_hm03:53,8,x8,full,sigmasq,18.7050,1.7551,2266,2114
20240703,3,2024_07_y24m07day03_hm03:53,8,x8,full,range,0.3473,1.7551,2266,2114
20240703,3,2024_07_y24m07day03_hm03:53,4,x4,full,sigmasq,18.5837,1.6501,4532,4217
20240703,3,2024_07_y24m07day03_hm03:53,4,x4,full,range,0.3420,1.6501,4532,4217
20240703,3,2024_07_y24m07day03_hm03:53,2,x2,full,sigmasq,18.4153,1.4877,9063,8428
20240703,3,2024_07_y24m07day03_hm03:53,2,x2,full,range,0.3609,1.4877,9063,8428
20240703,3,2024_07_y24m07day03_hm03:53,1,x1,full,sigmasq,18.5382,1.3906,18126,16863
20240703,3,2024_07_y24m07day03_hm03:53,1,x1,full,range,0.3591,1.3906,18126,16863
20240703,4,2024_07_y24m07day03_hm04:48,8,x8,full,sigmasq,18.9086,1.8116,2266,2145
20240703,4,2024_07_y24m07day03_hm04:48,8,x8,full,range,0.2841,1.8116,2266,2145
20240703,4,2024_07_y24m07day03_hm04:48,4,x4,full,sigmasq,18.5140,1.7234,4532,4288
20240703,4,2024_07_y24m07day03_hm04:48,4,x4,full,range,0.2703,1.7234,4532,4288
20240703,4,2024_07_y24m07day03_hm04:48,2,x2,full,sigmasq,19.4626,1.5496,9063,8552
20240703,4,2024_07_y24m07day03_hm04:48,2,x2,full,range,0.3316,1.5496,9063,8552
20240703,4,2024_07_y24m07day03_hm04:48,1,x1,full,sigmasq,19.1907,1.4235,18126,17088
20240703,4,2024_07_y24m07day03_hm04:48,1,x1,full,range,0.3324,1.4235,18126,17088
20240703,5,2024_07_y24m07day03_hm05:48,8,x8,full,sigmasq,17.6827,1.7533,2266,2221
20240703,5,2024_07_y24m07day03_hm05:48,8,x8,full,range,0.2716,1.7533,2266,2221
20240703,5,2024_07_y24m07day03_hm05:48,4,x4,full,sigmasq,17.0921,1.6689,4532,4439
20240703,5,2024_07_y24m07day03_hm05:48,4,x4,full,range,0.2697,1.6689,4532,4439
20240703,5,2024_07_y24m07day03_hm05:48,2,x2,full,sigmasq,17.2176,1.5293,9063,8881
20240703,5,2024_07_y24m07day03_hm05:48,2,x2,full,range,0.2795,1.5293,9063,8881
20240703,5,2024_07_y24m07day03_hm05:48,1,x1,full,sigmasq,17.2070,1.4360,18126,17760
20240703,5,2024_07_y24m07day03_hm05:48,1,x1,full,range,0.2746,1.4360,18126,17760
20240703,6,2024_07_y24m07day03_hm06:48,8,x8,full,sigmasq,15.1589,1.6997,2266,2264
20240703,6,2024_07_y24m07day03_hm06:48,8,x8,full,range,0.2463,1.6997,2266,2264
20240703,6,2024_07_y24m07day03_hm06:48,4,x4,full,sigmasq,15.1713,1.6195,4532,4527
20240703,6,2024_07_y24m07day03_hm06:48,4,x4,full,range,0.2417,1.6195,4532,4527
20240703,6,2024_07_y24m07day03_hm06:48,2,x2,full,sigmasq,15.0393,1.4981,9063,9052
20240703,6,2024_07_y24m07day03_hm06:48,2,x2,full,range,0.2387,1.4981,9063,9052
20240703,6,2024_07_y24m07day03_hm06:48,1,x1,full,sigmasq,14.9636,1.3864,18126,18104
20240703,6,2024_07_y24m07day03_hm06:48,1,x1,full,range,0.2474,1.3864,18126,18104
20240703,7,2024_07_y24m07day03_hm07:48,8,x8,full,sigmasq,15.3652,1.7270,2266,2263
20240703,7,2024_07_y24m07day03_hm07:48,8,x8,full,range,0.2110,1.7270,2266,2263
20240703,7,2024_07_y24m07day03_hm07:48,4,x4,full,sigmasq,14.2261,1.6116,4532,4526
20240703,7,2024_07_y24m07day03_hm07:48,4,x4,full,range,0.2239,1.6116,4532,4526
20240703,7,2024_07_y24m07day03_hm07:48,2,x2,full,sigmasq,14.2212,1.4806,9063,9051
20240703,7,2024_07_y24m07day03_hm07:48,2,x2,full,range,0.2276,1.4806,9063,9051
20240703,7,2024_07_y24m07day03_hm07:48,1,x1,full,sigmasq,13.7981,1.4085,18126,18102
20240703,7,2024_07_y24m07day03_hm07:48,1,x1,full,range,0.2005,1.4085,18126,18102
