date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_nugget,n_clusters,block_shape_lat,block_shape_lon,n_neighbor_blocks,max_points_per_cluster,n_target_blocks,n_target_points,n_batches,max_cond_points,median_cond_points,median_target_size,max_target_size,target_chunk_size,cluster_block_shape,cluster_neighbor_blocks,total_conditioning_nominal,profile_type,fixed_sigmasq,fixed_range,fixed_nugget
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.7174,0,1,0.0013,0.0051,0.0064,300,300,1.0000,8.6661,1.0422,5.6718,20,4,4,2,16,20,300,2,32,32.0000,14.0000,16,128,4x4,2,32,sigma_only,,1.0422,5.6718
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.7174,0,1,0.0013,0.0072,0.0086,300,300,1.0000,8.6661,1.0422,5.6718,20,4,4,2,16,20,300,2,32,32.0000,14.0000,16,128,4x4,2,32,range_only,8.6661,,5.6718
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,0.3000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5904,0,1,0.0024,0.0097,0.0121,1160,1160,1.0000,11.7406,0.9889,3.4723,80,4,4,2,16,80,1160,2,32,32.0000,10.0000,16,128,4x4,2,32,sigma_only,,0.9889,3.4723
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,0.3000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5904,0,1,0.0024,0.0121,0.0145,1160,1160,1.0000,11.7406,0.9889,3.4723,80,4,4,2,16,80,1160,2,32,32.0000,10.0000,16,128,4x4,2,32,range_only,11.7406,,3.4723
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,nugget_free,0.3000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.7018,0,1,0.0072,0.0287,0.0359,4560,4531,0.9936,14.0844,0.8123,5.8313,300,4,4,2,16,300,4531,6,32,32.0000,12.5000,16,128,4x4,2,32,sigma_only,,0.8123,5.8313
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,nugget_free,0.3000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.7018,0,1,0.0072,0.0278,0.0350,4560,4531,0.9936,14.0844,0.8123,5.8313,300,4,4,2,16,300,4531,6,32,32.0000,12.5000,16,128,4x4,2,32,range_only,14.0844,,5.8313
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,nugget_free,0.3000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.4162,0,1,0.0626,0.3004,0.3630,18126,18067,0.9967,14.1484,0.4531,1.8685,1160,4,4,2,16,1160,18067,6,32,32.0000,10.5000,16,128,4x4,2,32,sigma_only,,0.4531,1.8685
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,nugget_free,0.3000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.4162,0,1,0.0626,0.0769,0.1395,18126,18067,0.9967,14.1484,0.4531,1.8685,1160,4,4,2,16,1160,18067,6,32,32.0000,10.5000,16,128,4x4,2,32,range_only,14.1484,,1.8685
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,nugget_free,0.3000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.7549,0,1,0.0011,0.0033,0.0044,300,293,0.9767,10.9934,0.9949,5.0731,20,4,4,2,16,20,293,5,32,32.0000,12.0000,16,128,4x4,2,32,sigma_only,,0.9949,5.0731
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,nugget_free,0.3000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.7549,0,1,0.0011,0.0030,0.0041,300,293,0.9767,10.9934,0.9949,5.0731,20,4,4,2,16,20,293,5,32,32.0000,12.0000,16,128,4x4,2,32,range_only,10.9934,,5.0731
