date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_nugget,n_batches,n_tails,mean_m,max_m,largest_batch_n,total_conditioning_nominal,limit_A
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.4000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5562,0,1,0.0738,0.8665,0.9403,2266,2259,0.9969,9.0084,0.5903,4.0090,1,2259,10.0000,10,2259,10,10
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,0.4000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4762,0,1,0.0368,0.8268,0.8636,4532,4518,0.9969,9.9093,0.4703,2.9483,1,4518,10.0000,10,4518,10,10
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,nugget_free,0.4000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5322,0,1,0.0846,1.6378,1.7223,9063,9033,0.9967,10.7119,0.2743,3.3678,1,9033,10.0000,10,9033,10,10
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,nugget_free,0.4000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4102,0,1,0.1021,7.2079,7.3099,18126,18067,0.9967,10.8991,0.2546,2.4519,1,18067,10.0000,10,18067,10,10
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,nugget_free,0.4000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5913,0,1,0.0157,0.7071,0.7228,2266,2208,0.9744,11.9063,0.5069,3.4101,1,2208,10.0000,10,2208,10,10
20240703,2,1,2024_07_y24m07day03_hm01:53,4,x4,nugget_free,0.4000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5065,0,1,0.0702,3.6179,3.6881,4532,4422,0.9757,13.0125,0.5104,2.7508,1,4422,10.0000,10,4422,10,10
20240703,2,1,2024_07_y24m07day03_hm01:53,2,x2,nugget_free,0.4000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4258,0,1,0.1911,4.4216,4.6126,9063,8840,0.9754,13.8489,0.3174,1.3906,1,8840,10.0000,10,8840,10,10
20240703,2,1,2024_07_y24m07day03_hm01:53,1,x1,nugget_free,0.4000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.3641,0,1,0.1422,7.9241,8.0663,18126,17670,0.9748,14.0392,0.3058,1.5721,1,17670,10.0000,10,17670,10,10
20240703,2,2,2024_07_y24m07day03_hm02:53,8,x8,nugget_free,0.4000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6436,0,1,0.0183,0.9342,0.9525,2266,2082,0.9188,13.9884,0.4471,3.2365,1,2082,10.0000,10,2082,10,10
20240703,2,2,2024_07_y24m07day03_hm02:53,4,x4,nugget_free,0.4000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5675,0,1,0.0331,1.5822,1.6154,4532,4176,0.9214,15.0934,0.4260,2.6110,1,4176,10.0000,10,4176,10,10
20240703,2,2,2024_07_y24m07day03_hm02:53,2,x2,nugget_free,0.4000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4636,0,1,0.1872,4.0970,4.2842,9063,8353,0.9217,16.0264,0.3110,1.1996,1,8353,10.0000,10,8353,10,10
20240703,2,2,2024_07_y24m07day03_hm02:53,1,x1,nugget_free,0.4000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.3532,7,8,0.1332,13.5116,13.6448,18126,16698,0.9212,16.3696,0.2814,0.8814,1,16698,10.0000,10,16698,10,10
20240703,2,3,2024_07_y24m07day03_hm03:53,8,x8,nugget_free,0.4000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6620,0,1,0.0139,0.6307,0.6446,2266,2114,0.9329,15.5011,0.5095,3.4609,1,2114,10.0000,10,2114,10,10
20240703,2,3,2024_07_y24m07day03_hm03:53,4,x4,nugget_free,0.4000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5945,0,1,0.0638,0.9823,1.0461,4532,4217,0.9305,16.0579,0.4398,2.8548,1,4217,10.0000,10,4217,10,10
