date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_nugget,n_clusters,block_shape_lat,block_shape_lon,n_neighbor_blocks,max_points_per_cluster,n_target_blocks,n_target_points,n_batches,max_cond_points,median_cond_points,median_target_size,max_target_size,target_chunk_size,cluster_block_shape,cluster_neighbor_blocks,total_conditioning_nominal,profile_type,fixed_sigmasq,fixed_range,fixed_nugget
20240703,2,0,2024_07_y24m07day03_hm00:56,8,x8,nugget_free,1.0000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6781,0,1,0.0035,0.0083,0.0118,1160,1069,0.9216,7.3964,1.0948,7.2012,80,4,4,2,16,80,1069,8,32,32.0000,12.5000,16,128,4x4,2,32,sigma_only,,1.0948,7.2012
20240703,2,0,2024_07_y24m07day03_hm00:56,8,x8,nugget_free,1.0000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6781,0,1,0.0035,0.0087,0.0122,1160,1069,0.9216,7.3964,1.0948,7.2012,80,4,4,2,16,80,1069,8,32,32.0000,12.5000,16,128,4x4,2,32,range_only,7.3964,,7.2012
20240703,2,0,2024_07_y24m07day03_hm00:56,4,x4,nugget_free,1.0000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5098,0,1,0.0071,0.0226,0.0297,4560,4207,0.9226,9.3288,0.7077,4.7326,300,4,4,2,16,300,4207,14,32,32.0000,9.5000,16,128,4x4,2,32,sigma_only,,0.7077,4.7326
20240703,2,0,2024_07_y24m07day03_hm00:56,4,x4,nugget_free,1.0000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5098,0,1,0.0071,0.0213,0.0285,4560,4207,0.9226,9.3288,0.7077,4.7326,300,4,4,2,16,300,4207,14,32,32.0000,9.5000,16,128,4x4,2,32,range_only,9.3288,,4.7326
20240703,2,0,2024_07_y24m07day03_hm00:56,2,x2,nugget_free,1.0000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.3478,0,1,0.0824,0.2692,0.3516,18126,16770,0.9252,9.5707,0.4337,3.3553,1160,4,4,2,16,1158,16770,16,32,32.0000,8.5000,16,128,4x4,2,32,sigma_only,,0.4337,3.3553
20240703,2,0,2024_07_y24m07day03_hm00:56,2,x2,nugget_free,1.0000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.3478,0,1,0.0824,0.0762,0.1585,18126,16770,0.9252,9.5707,0.4337,3.3553,1160,4,4,2,16,1158,16770,16,32,32.0000,8.5000,16,128,4x4,2,32,range_only,9.5707,,3.3553
20240703,2,0,2024_07_y24m07day03_hm00:56,1,x1,nugget_free,1.0000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.3066,0,1,0.2671,0.3959,0.6630,72504,67066,0.9250,9.6120,0.2568,3.2706,4560,4,4,2,16,4528,67066,16,32,32.0000,8.5000,16,128,4x4,2,32,sigma_only,,0.2568,3.2706
20240703,2,0,2024_07_y24m07day03_hm00:56,1,x1,nugget_free,1.0000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.3066,0,1,0.2671,0.2390,0.5061,72504,67066,0.9250,9.6120,0.2568,3.2706,4560,4,4,2,16,4528,67066,16,32,32.0000,8.5000,16,128,4x4,2,32,range_only,9.6120,,3.2706
20240703,2,1,2024_07_y24m07day03_hm01:56,8,x8,nugget_free,1.0000,lat,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6729,0,1,0.0027,0.0107,0.0134,1160,1070,0.9224,9.4475,1.3854,7.1374,80,4,4,2,16,80,1070,9,32,32.0000,12.0000,16,128,4x4,2,32,sigma_only,,1.3854,7.1374
20240703,2,1,2024_07_y24m07day03_hm01:56,8,x8,nugget_free,1.0000,lat,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"2D grid thinning by stride in both lat/lon, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6729,0,1,0.0027,0.0092,0.0119,1160,1070,0.9224,9.4475,1.3854,7.1374,80,4,4,2,16,80,1070,9,32,32.0000,12.0000,16,128,4x4,2,32,range_only,9.4475,,7.1374
