k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.8 b=0.4 nugget0,GC a=0.8 b=0.3 nugget0,GC a=0.8 b=0.2 nugget0,GC a=0.85 b=0.4 nugget0,GC a=0.85 b=0.3 nugget0,GC a=0.85 b=0.2 nugget0
0,0.5729,5.1977,1.9285,1.6901,1.4566,2.2198,1.9175,1.6276
1,1.7187,1.1182,0.9547,0.8825,0.8049,1.0628,0.9729,0.8781
2,2.8645,0.6466,0.7617,0.7260,0.6845,0.8238,0.7805,0.7308
3,4.0103,0.6499,0.8184,0.7929,0.7613,0.8671,0.8369,0.7999
4,5.1561,0.6754,0.8418,0.8221,0.7966,0.8802,0.8577,0.8284
5,6.3019,0.7743,0.9436,0.9283,0.9071,0.9749,0.9579,0.9342
10,12.0309,0.8667,0.9227,0.9190,0.9116,0.9250,0.9224,0.9156
15,17.7599,1.0230,1.0184,1.0171,1.0130,1.0106,1.0111,1.0084
20,23.4890,1.1119,1.0741,1.0734,1.0707,1.0632,1.0642,1.0630
25,29.2180,1.0966,1.0524,1.0514,1.0490,1.0439,1.0441,1.0429
30,34.9470,1.1051,1.0648,1.0630,1.0603,1.0606,1.0597,1.0577
35,40.6760,1.0859,1.0569,1.0549,1.0523,1.0574,1.0557,1.0533
40,46.4050,1.0625,1.0443,1.0415,1.0382,1.0497,1.0468,1.0434
45,52.1340,1.0077,0.9993,0.9966,0.9937,1.0074,1.0044,1.0011
50,57.8630,1.0078,1.0075,1.0045,1.0012,1.0186,1.0149,1.0111
55,63.5921,0.9256,0.9310,0.9278,0.9244,0.9435,0.9396,0.9356
60,69.3211,0.9228,0.9321,0.9288,0.9253,0.9459,0.9418,0.9376
65,75.0501,0.8350,0.8501,0.8473,0.8447,0.8649,0.8612,0.8577
69,79.6333,0.8617,0.8808,0.8777,0.8747,0.8976,0.8935,0.8896
