frequency_band,k_bin_start,k_bin_end,k_mid_min,k_mid_max,variant,model_label,n_bins,ratio_mean,ratio_median,ratio_min,ratio_max
ultra_low,0,4,0.5729,5.1561,matern_s03_nugget0,Matern s=0.3 nugget0,5,3.9057,0.9014,0.5605,15.0540
ultra_low,0,4,0.5729,5.1561,gc_a0p7_b0p35_nugget0,GC a=0.7 b=0.35 nugget0,5,1.3786,1.0249,0.9248,2.5761
ultra_low,0,4,0.5729,5.1561,gc_a0p7_b0p25_nugget0,GC a=0.7 b=0.25 nugget0,5,1.2491,0.9651,0.8897,2.1831
ultra_low,0,4,0.5729,5.1561,gc_a0p7_b0p15_nugget0,GC a=0.7 b=0.15 nugget0,5,1.1135,0.8931,0.8433,1.8055
ultra_low,0,4,0.5729,5.1561,gc_a0p8_b0p35_nugget0,GC a=0.8 b=0.35 nugget0,5,1.5483,1.1231,0.9827,3.0214
ultra_low,0,4,0.5729,5.1561,gc_a0p8_b0p25_nugget0,GC a=0.8 b=0.25 nugget0,5,1.3742,1.0433,0.9447,2.4909
ultra_low,0,4,0.5729,5.1561,gc_a0p8_b0p15_nugget0,GC a=0.8 b=0.15 nugget0,5,1.2000,0.9512,0.8857,2.0040
low_mid,5,14,6.3019,16.6141,matern_s03_nugget0,Matern s=0.3 nugget0,10,0.5828,0.5781,0.4503,0.7060
low_mid,5,14,6.3019,16.6141,gc_a0p7_b0p35_nugget0,GC a=0.7 b=0.35 nugget0,10,0.9324,0.9386,0.7824,1.0078
low_mid,5,14,6.3019,16.6141,gc_a0p7_b0p25_nugget0,GC a=0.7 b=0.25 nugget0,10,0.9307,0.9398,0.7689,1.0136
low_mid,5,14,6.3019,16.6141,gc_a0p7_b0p15_nugget0,GC a=0.7 b=0.15 nugget0,10,0.9217,0.9344,0.7468,1.0142
low_mid,5,14,6.3019,16.6141,gc_a0p8_b0p35_nugget0,GC a=0.8 b=0.35 nugget0,10,0.9441,0.9583,0.8160,1.0117
low_mid,5,14,6.3019,16.6141,gc_a0p8_b0p25_nugget0,GC a=0.8 b=0.25 nugget0,10,0.9420,0.9485,0.7980,1.0108
low_mid,5,14,6.3019,16.6141,gc_a0p8_b0p15_nugget0,GC a=0.8 b=0.15 nugget0,10,0.9316,0.9404,0.7703,1.0130
mid,15,29,17.7599,33.8012,matern_s03_nugget0,Matern s=0.3 nugget0,15,0.8999,0.8964,0.7411,1.0281
mid,15,29,17.7599,33.8012,gc_a0p7_b0p35_nugget0,GC a=0.7 b=0.35 nugget0,15,1.0585,1.0600,1.0282,1.1037
mid,15,29,17.7599,33.8012,gc_a0p7_b0p25_nugget0,GC a=0.7 b=0.25 nugget0,15,1.0640,1.0644,1.0346,1.1100
mid,15,29,17.7599,33.8012,gc_a0p7_b0p15_nugget0,GC a=0.7 b=0.15 nugget0,15,1.0667,1.0669,1.0366,1.1138
mid,15,29,17.7599,33.8012,gc_a0p8_b0p35_nugget0,GC a=0.8 b=0.35 nugget0,15,1.0507,1.0528,1.0184,1.0950
mid,15,29,17.7599,33.8012,gc_a0p8_b0p25_nugget0,GC a=0.8 b=0.25 nugget0,15,1.0589,1.0599,1.0277,1.1030
mid,15,29,17.7599,33.8012,gc_a0p8_b0p15_nugget0,GC a=0.8 b=0.15 nugget0,15,1.0639,1.0649,1.0336,1.1095
high,30,49,34.9470,56.7172,matern_s03_nugget0,Matern s=0.3 nugget0,20,1.1037,1.1111,1.0332,1.1568
high,30,49,34.9470,56.7172,gc_a0p7_b0p35_nugget0,GC a=0.7 b=0.35 nugget0,20,1.0442,1.0466,0.9829,1.1100
high,30,49,34.9470,56.7172,gc_a0p7_b0p25_nugget0,GC a=0.7 b=0.25 nugget0,20,1.0420,1.0439,0.9776,1.1102
high,30,49,34.9470,56.7172,gc_a0p7_b0p15_nugget0,GC a=0.7 b=0.15 nugget0,20,1.0394,1.0409,0.9722,1.1096
high,30,49,34.9470,56.7172,gc_a0p8_b0p35_nugget0,GC a=0.8 b=0.35 nugget0,20,1.0525,1.0543,0.9999,1.1120
high,30,49,34.9470,56.7172,gc_a0p8_b0p25_nugget0,GC a=0.8 b=0.25 nugget0,20,1.0510,1.0537,0.9940,1.1138
high,30,49,34.9470,56.7172,gc_a0p8_b0p15_nugget0,GC a=0.8 b=0.15 nugget0,20,1.0491,1.0513,0.9882,1.1148
very_high,50,69,57.8630,79.6333,matern_s03_nugget0,Matern s=0.3 nugget0,20,1.0639,1.0638,1.0032,1.1216
very_high,50,69,57.8630,79.6333,gc_a0p7_b0p35_nugget0,GC a=0.7 b=0.35 nugget0,20,0.9368,0.9437,0.8677,0.9878
very_high,50,69,57.8630,79.6333,gc_a0p7_b0p25_nugget0,GC a=0.7 b=0.25 nugget0,20,0.9300,0.9373,0.8605,0.9802
very_high,50,69,57.8630,79.6333,gc_a0p7_b0p15_nugget0,GC a=0.7 b=0.15 nugget0,20,0.9232,0.9309,0.8534,0.9725
very_high,50,69,57.8630,79.6333,gc_a0p8_b0p35_nugget0,GC a=0.8 b=0.35 nugget0,20,0.9586,0.9637,0.8910,1.0116
very_high,50,69,57.8630,79.6333,gc_a0p8_b0p25_nugget0,GC a=0.8 b=0.25 nugget0,20,0.9504,0.9563,0.8821,1.0025
very_high,50,69,57.8630,79.6333,gc_a0p8_b0p15_nugget0,GC a=0.8 b=0.15 nugget0,20,0.9426,0.9491,0.8737,0.9936
