year,calendar_day,slice_in_day,time_position,time_key
2024,2,0,8,2024_07_y24m07day02_hm00:53
2024,2,1,9,2024_07_y24m07day02_hm01:53
2024,2,2,10,2024_07_y24m07day02_hm02:53
2024,2,3,11,2024_07_y24m07day02_hm03:53
2024,2,4,12,2024_07_y24m07day02_hm04:48
2024,2,5,13,2024_07_y24m07day02_hm05:48
2024,2,6,14,2024_07_y24m07day02_hm06:48
2024,2,7,15,2024_07_y24m07day02_hm07:48
2024,4,0,24,2024_07_y24m07day04_hm00:53
2024,4,1,25,2024_07_y24m07day04_hm01:53
2024,4,2,26,2024_07_y24m07day04_hm02:53
2024,4,3,27,2024_07_y24m07day04_hm03:53
2024,4,4,28,2024_07_y24m07day04_hm04:48
2024,4,5,29,2024_07_y24m07day04_hm05:48
2024,4,6,30,2024_07_y24m07day04_hm06:48
2024,4,7,31,2024_07_y24m07day04_hm07:48
2024,7,0,48,2024_07_y24m07day07_hm00:53
2024,7,1,49,2024_07_y24m07day07_hm01:53
2024,7,2,50,2024_07_y24m07day07_hm02:53
2024,7,3,51,2024_07_y24m07day07_hm03:53
2024,7,4,52,2024_07_y24m07day07_hm04:48
2024,7,5,53,2024_07_y24m07day07_hm05:48
2024,7,6,54,2024_07_y24m07day07_hm06:48
2024,7,7,55,2024_07_y24m07day07_hm07:48
2024,13,0,96,2024_07_y24m07day13_hm00:53
2024,13,1,97,2024_07_y24m07day13_hm01:53
2024,13,2,98,2024_07_y24m07day13_hm02:53
2024,13,3,99,2024_07_y24m07day13_hm03:53
2024,13,4,100,2024_07_y24m07day13_hm04:48
2024,13,5,101,2024_07_y24m07day13_hm05:48
2024,13,6,102,2024_07_y24m07day13_hm06:48
2024,13,7,103,2024_07_y24m07day13_hm07:48
2024,24,0,184,2024_07_y24m07day24_hm00:53
2024,24,1,185,2024_07_y24m07day24_hm01:53
2024,24,2,186,2024_07_y24m07day24_hm02:53
2024,24,3,187,2024_07_y24m07day24_hm03:53
2024,24,4,188,2024_07_y24m07day24_hm04:48
2024,24,5,189,2024_07_y24m07day24_hm05:48
2024,24,6,190,2024_07_y24m07day24_hm06:48
2024,24,7,191,2024_07_y24m07day24_hm07:48
