k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.75 b=1 nugget0
0,0.5729,3.5255,1.5633
1,1.7187,2.1000,1.7850
2,2.8645,0.8442,1.0187
3,4.0103,0.7886,1.0087
4,5.1561,0.7320,0.9399
5,6.3019,0.6654,0.8440
10,12.0309,0.8164,0.9154
15,17.7599,0.9577,0.9991
20,23.4890,1.0162,1.0236
25,29.2180,1.0554,1.0416
30,34.9470,1.0850,1.0621
35,40.6760,1.0938,1.0687
40,46.4050,1.0895,1.0653
45,52.1340,1.0574,1.0362
50,57.8630,1.0098,0.9949
55,63.5921,1.0154,1.0034
60,69.3211,0.9951,0.9855
65,75.0501,0.9089,0.8989
69,79.6333,0.9268,0.9173
