k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.75 b=1 nugget0,GC a=0.8 b=1 nugget0
0,0.5729,3.7018,1.3557,1.6299
1,1.7187,1.9871,1.5066,1.7124
2,2.8645,0.9552,1.0171,1.1093
3,4.0103,0.8680,1.0612,1.1259
4,5.1561,0.8767,1.1286,1.1771
5,6.3019,0.7279,0.9617,0.9888
10,12.0309,0.7031,0.8916,0.8865
15,17.7599,0.9387,1.0978,1.0817
20,23.4890,0.9600,1.0482,1.0324
25,29.2180,0.9881,1.0275,1.0161
30,34.9470,0.9885,0.9922,0.9868
35,40.6760,1.0293,1.0108,1.0107
40,46.4050,1.0783,1.0437,1.0489
45,52.1340,1.0430,1.0014,1.0098
50,57.8630,1.0600,1.0132,1.0247
55,63.5921,1.0685,1.0178,1.0319
60,69.3211,0.9600,0.9129,0.9269
65,75.0501,0.9875,0.9350,0.9519
69,79.6333,0.9441,0.8926,0.9101
