frequency_band,k_bin_start,k_bin_end,k_mid_min,k_mid_max,variant,model_label,n_bins,ratio_mean,ratio_median,ratio_min,ratio_max
ultra_low,0,4,0.5729,5.1561,matern_s03_nugget0,Matern s=0.3 nugget0,5,1.5835,0.7204,0.6562,4.7017
ultra_low,0,4,0.5729,5.1561,gc_a0p6_b0p3_nugget0,GC a=0.6 b=0.3 nugget0,5,0.7043,0.6620,0.5847,0.9451
ultra_low,0,4,0.5729,5.1561,gc_a0p6_b0p5_nugget0,GC a=0.6 b=0.5 nugget0,5,0.7534,0.6802,0.6112,1.0779
ultra_low,0,4,0.5729,5.1561,gc_a0p6_b1p0_nugget0,GC a=0.6 b=1 nugget0,5,0.8286,0.7413,0.6450,1.3050
ultra_low,0,4,0.5729,5.1561,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,5,0.7981,0.7356,0.6435,1.1714
ultra_low,0,4,0.5729,5.1561,gc_a0p65_b0p5_nugget0,GC a=0.65 b=0.5 nugget0,5,0.8699,0.7728,0.6790,1.3795
ultra_low,0,4,0.5729,5.1561,gc_a0p65_b1p0_nugget0,GC a=0.65 b=1 nugget0,5,0.9833,0.8037,0.7212,1.7564
ultra_low,0,4,0.5729,5.1561,gc_a0p7_b0p3_nugget0,GC a=0.7 b=0.3 nugget0,5,0.8954,0.7944,0.7049,1.4043
ultra_low,0,4,0.5729,5.1561,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,5,0.9944,0.8275,0.7503,1.7051
ultra_low,0,4,0.5729,5.1561,gc_a0p7_b1p0_nugget0,GC a=0.7 b=1 nugget0,5,1.1576,0.8586,0.7712,2.2853
ultra_low,0,4,0.5729,5.1561,gc_a0p75_b0p3_nugget0,GC a=0.75 b=0.3 nugget0,5,0.9929,0.8448,0.7636,1.6362
ultra_low,0,4,0.5729,5.1561,gc_a0p75_b0p5_nugget0,GC a=0.75 b=0.5 nugget0,5,1.1237,0.8837,0.7896,2.0457
ultra_low,0,4,0.5729,5.1561,gc_a0p75_b1p0_nugget0,GC a=0.75 b=1 nugget0,5,1.3505,0.9152,0.8041,2.8862
ultra_low,0,4,0.5729,5.1561,gc_a0p8_b0p3_nugget0,GC a=0.8 b=0.3 nugget0,5,1.0890,0.8952,0.7981,1.8631
ultra_low,0,4,0.5729,5.1561,gc_a0p8_b0p5_nugget0,GC a=0.8 b=0.5 nugget0,5,1.2562,0.9414,0.8274,2.3950
ultra_low,0,4,0.5729,5.1561,gc_a0p8_b1p0_nugget0,GC a=0.8 b=1 nugget0,5,1.5618,0.9767,0.8386,3.5541
ultra_low,0,4,0.5729,5.1561,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,5,1.1828,0.9453,0.8327,2.0825
ultra_low,0,4,0.5729,5.1561,gc_a0p85_b0p5_nugget0,GC a=0.85 b=0.5 nugget0,5,1.3900,1.0001,0.8662,2.7474
ultra_low,0,4,0.5729,5.1561,gc_a0p85_b1p0_nugget0,GC a=0.85 b=1 nugget0,5,1.7902,1.0717,0.8754,4.2831
ultra_low,0,4,0.5729,5.1561,gc_a0p9_b0p3_nugget0,GC a=0.9 b=0.3 nugget0,5,1.2734,0.9947,0.8670,2.2925
ultra_low,0,4,0.5729,5.1561,gc_a0p9_b0p5_nugget0,GC a=0.9 b=0.5 nugget0,5,1.5238,1.0595,0.9057,3.0983
ultra_low,0,4,0.5729,5.1561,gc_a0p9_b1p0_nugget0,GC a=0.9 b=1 nugget0,5,2.0346,1.1716,0.9151,5.0669
ultra_low,0,4,0.5729,5.1561,gc_a1p0_b0p3_nugget0,GC a=1 b=0.3 nugget0,5,1.4433,1.0896,0.9338,2.6802
ultra_low,0,4,0.5729,5.1561,gc_a1p0_b0p5_nugget0,GC a=1 b=0.5 nugget0,5,1.7864,1.1970,0.9857,3.7814
ultra_low,0,4,0.5729,5.1561,gc_a1p0_b1p0_nugget0,GC a=1 b=1 nugget0,5,2.5634,1.3844,1.0025,6.7697
low_mid,5,14,6.3019,16.6141,matern_s03_nugget0,Matern s=0.3 nugget0,10,0.9028,0.9004,0.7713,1.0614
low_mid,5,14,6.3019,16.6141,gc_a0p6_b0p3_nugget0,GC a=0.6 b=0.3 nugget0,10,0.9236,0.9206,0.8123,1.0674
low_mid,5,14,6.3019,16.6141,gc_a0p6_b0p5_nugget0,GC a=0.6 b=0.5 nugget0,10,0.9371,0.9338,0.8296,1.0795
low_mid,5,14,6.3019,16.6141,gc_a0p6_b1p0_nugget0,GC a=0.6 b=1 nugget0,10,0.9529,0.9494,0.8488,1.0939
low_mid,5,14,6.3019,16.6141,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,10,0.9311,0.9257,0.8311,1.0674
low_mid,5,14,6.3019,16.6141,gc_a0p65_b0p5_nugget0,GC a=0.65 b=0.5 nugget0,10,0.9444,0.9385,0.8455,1.0786
low_mid,5,14,6.3019,16.6141,gc_a0p65_b1p0_nugget0,GC a=0.65 b=1 nugget0,10,0.9558,0.9493,0.8576,1.0879
low_mid,5,14,6.3019,16.6141,gc_a0p7_b0p3_nugget0,GC a=0.7 b=0.3 nugget0,10,0.9377,0.9297,0.8439,1.0647
low_mid,5,14,6.3019,16.6141,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,10,0.9492,0.9402,0.8570,1.0732
low_mid,5,14,6.3019,16.6141,gc_a0p7_b1p0_nugget0,GC a=0.7 b=1 nugget0,10,0.9527,0.9426,0.8614,1.0740
low_mid,5,14,6.3019,16.6141,gc_a0p75_b0p3_nugget0,GC a=0.75 b=0.3 nugget0,10,0.9437,0.9330,0.8567,1.0603
low_mid,5,14,6.3019,16.6141,gc_a0p75_b0p5_nugget0,GC a=0.75 b=0.5 nugget0,10,0.9529,0.9406,0.8683,1.0652
low_mid,5,14,6.3019,16.6141,gc_a0p75_b1p0_nugget0,GC a=0.75 b=1 nugget0,10,0.9467,0.9327,0.8634,1.0554
low_mid,5,14,6.3019,16.6141,gc_a0p8_b0p3_nugget0,GC a=0.8 b=0.3 nugget0,10,0.9503,0.9369,0.8704,1.0559
low_mid,5,14,6.3019,16.6141,gc_a0p8_b0p5_nugget0,GC a=0.8 b=0.5 nugget0,10,0.9571,0.9455,0.8805,1.0568
low_mid,5,14,6.3019,16.6141,gc_a0p8_b1p0_nugget0,GC a=0.8 b=1 nugget0,10,0.9404,0.9323,0.8659,1.0354
low_mid,5,14,6.3019,16.6141,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,10,0.9578,0.9500,0.8851,1.0523
low_mid,5,14,6.3019,16.6141,gc_a0p85_b0p5_nugget0,GC a=0.85 b=0.5 nugget0,10,0.9625,0.9534,0.8941,1.0493
low_mid,5,14,6.3019,16.6141,gc_a0p85_b1p0_nugget0,GC a=0.85 b=1 nugget0,10,0.9356,0.9256,0.8702,1.0159
low_mid,5,14,6.3019,16.6141,gc_a0p9_b0p3_nugget0,GC a=0.9 b=0.3 nugget0,10,0.9664,0.9580,0.9006,1.0499
low_mid,5,14,6.3019,16.6141,gc_a0p9_b0p5_nugget0,GC a=0.9 b=0.5 nugget0,10,0.9694,0.9636,0.9092,1.0432
low_mid,5,14,6.3019,16.6141,gc_a0p9_b1p0_nugget0,GC a=0.9 b=1 nugget0,10,0.9329,0.9319,0.8769,0.9979
low_mid,5,14,6.3019,16.6141,gc_a1p0_b0p3_nugget0,GC a=1 b=0.3 nugget0,10,0.9860,0.9866,0.9332,1.0489
low_mid,5,14,6.3019,16.6141,gc_a1p0_b0p5_nugget0,GC a=1 b=0.5 nugget0,10,0.9877,0.9794,0.9428,1.0716
low_mid,5,14,6.3019,16.6141,gc_a1p0_b1p0_nugget0,GC a=1 b=1 nugget0,10,0.9353,0.9190,0.8835,1.0548
mid,15,29,17.7599,33.8012,matern_s03_nugget0,Matern s=0.3 nugget0,15,1.1031,1.0910,1.0207,1.1913
mid,15,29,17.7599,33.8012,gc_a0p6_b0p3_nugget0,GC a=0.6 b=0.3 nugget0,15,1.0716,1.0641,1.0200,1.1378
mid,15,29,17.7599,33.8012,gc_a0p6_b0p5_nugget0,GC a=0.6 b=0.5 nugget0,15,1.0792,1.0742,1.0258,1.1448
mid,15,29,17.7599,33.8012,gc_a0p6_b1p0_nugget0,GC a=0.6 b=1 nugget0,15,1.0887,1.0862,1.0334,1.1540
mid,15,29,17.7599,33.8012,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,15,1.0737,1.0620,1.0170,1.1448
mid,15,29,17.7599,33.8012,gc_a0p65_b0p5_nugget0,GC a=0.65 b=0.5 nugget0,15,1.0807,1.0710,1.0246,1.1517
mid,15,29,17.7599,33.8012,gc_a0p65_b1p0_nugget0,GC a=0.65 b=1 nugget0,15,1.0876,1.0787,1.0311,1.1593
mid,15,29,17.7599,33.8012,gc_a0p7_b0p3_nugget0,GC a=0.7 b=0.3 nugget0,15,1.0709,1.0560,1.0102,1.1460
mid,15,29,17.7599,33.8012,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,15,1.0763,1.0625,1.0156,1.1517
mid,15,29,17.7599,33.8012,gc_a0p7_b1p0_nugget0,GC a=0.7 b=1 nugget0,15,1.0785,1.0631,1.0159,1.1562
mid,15,29,17.7599,33.8012,gc_a0p75_b0p3_nugget0,GC a=0.75 b=0.3 nugget0,15,1.0650,1.0483,1.0015,1.1429
mid,15,29,17.7599,33.8012,gc_a0p75_b0p5_nugget0,GC a=0.75 b=0.5 nugget0,15,1.0680,1.0510,1.0039,1.1468
mid,15,29,17.7599,33.8012,gc_a0p75_b1p0_nugget0,GC a=0.75 b=1 nugget0,15,1.0643,1.0524,0.9964,1.1471
mid,15,29,17.7599,33.8012,gc_a0p8_b0p3_nugget0,GC a=0.8 b=0.3 nugget0,15,1.0574,1.0433,0.9923,1.1371
mid,15,29,17.7599,33.8012,gc_a0p8_b0p5_nugget0,GC a=0.8 b=0.5 nugget0,15,1.0576,1.0459,0.9913,1.1389
mid,15,29,17.7599,33.8012,gc_a0p8_b1p0_nugget0,GC a=0.8 b=1 nugget0,15,1.0471,1.0454,0.9749,1.1341
mid,15,29,17.7599,33.8012,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,15,1.0493,1.0390,0.9835,1.1299
mid,15,29,17.7599,33.8012,gc_a0p85_b0p5_nugget0,GC a=0.85 b=0.5 nugget0,15,1.0465,1.0399,0.9790,1.1291
mid,15,29,17.7599,33.8012,gc_a0p85_b1p0_nugget0,GC a=0.85 b=1 nugget0,15,1.0285,1.0357,0.9531,1.1186
mid,15,29,17.7599,33.8012,gc_a0p9_b0p3_nugget0,GC a=0.9 b=0.3 nugget0,15,1.0412,1.0337,0.9756,1.1219
mid,15,29,17.7599,33.8012,gc_a0p9_b0p5_nugget0,GC a=0.9 b=0.5 nugget0,15,1.0353,1.0327,0.9675,1.1185
mid,15,29,17.7599,33.8012,gc_a0p9_b1p0_nugget0,GC a=0.9 b=1 nugget0,15,1.0094,1.0241,0.9320,1.1015
mid,15,29,17.7599,33.8012,gc_a1p0_b0p3_nugget0,GC a=1 b=0.3 nugget0,15,1.0264,1.0217,0.9631,1.1057
mid,15,29,17.7599,33.8012,gc_a1p0_b0p5_nugget0,GC a=1 b=0.5 nugget0,15,1.0144,1.0164,0.9484,1.0965
mid,15,29,17.7599,33.8012,gc_a1p0_b1p0_nugget0,GC a=1 b=1 nugget0,15,0.9722,0.9856,0.8940,1.0653
high,30,49,34.9470,56.7172,matern_s03_nugget0,Matern s=0.3 nugget0,20,1.0554,1.0601,0.9688,1.1512
high,30,49,34.9470,56.7172,gc_a0p6_b0p3_nugget0,GC a=0.6 b=0.3 nugget0,20,0.9869,0.9874,0.9102,1.0843
high,30,49,34.9470,56.7172,gc_a0p6_b0p5_nugget0,GC a=0.6 b=0.5 nugget0,20,0.9903,0.9913,0.9112,1.0884
high,30,49,34.9470,56.7172,gc_a0p6_b1p0_nugget0,GC a=0.6 b=1 nugget0,20,0.9955,0.9972,0.9133,1.0942
high,30,49,34.9470,56.7172,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,20,1.0053,1.0065,0.9286,1.0991
high,30,49,34.9470,56.7172,gc_a0p65_b0p5_nugget0,GC a=0.65 b=0.5 nugget0,20,1.0093,1.0112,0.9303,1.1036
high,30,49,34.9470,56.7172,gc_a0p65_b1p0_nugget0,GC a=0.65 b=1 nugget0,20,1.0154,1.0181,0.9338,1.1098
high,30,49,34.9470,56.7172,gc_a0p7_b0p3_nugget0,GC a=0.7 b=0.3 nugget0,20,1.0189,1.0202,0.9436,1.1086
high,30,49,34.9470,56.7172,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,20,1.0233,1.0253,0.9460,1.1130
high,30,49,34.9470,56.7172,gc_a0p7_b1p0_nugget0,GC a=0.7 b=1 nugget0,20,1.0300,1.0326,0.9511,1.1189
high,30,49,34.9470,56.7172,gc_a0p75_b0p3_nugget0,GC a=0.75 b=0.3 nugget0,20,1.0286,1.0297,0.9557,1.1138
high,30,49,34.9470,56.7172,gc_a0p75_b0p5_nugget0,GC a=0.75 b=0.5 nugget0,20,1.0333,1.0349,0.9589,1.1179
high,30,49,34.9470,56.7172,gc_a0p75_b1p0_nugget0,GC a=0.75 b=1 nugget0,20,1.0405,1.0425,0.9659,1.1232
high,30,49,34.9470,56.7172,gc_a0p8_b0p3_nugget0,GC a=0.8 b=0.3 nugget0,20,1.0354,1.0360,0.9655,1.1159
high,30,49,34.9470,56.7172,gc_a0p8_b0p5_nugget0,GC a=0.8 b=0.5 nugget0,20,1.0402,1.0412,0.9695,1.1196
high,30,49,34.9470,56.7172,gc_a0p8_b1p0_nugget0,GC a=0.8 b=1 nugget0,20,1.0478,1.0484,0.9785,1.1237
high,30,49,34.9470,56.7172,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,20,1.0399,1.0397,0.9734,1.1159
high,30,49,34.9470,56.7172,gc_a0p85_b0p5_nugget0,GC a=0.85 b=0.5 nugget0,20,1.0448,1.0439,0.9782,1.1188
high,30,49,34.9470,56.7172,gc_a0p85_b1p0_nugget0,GC a=0.85 b=1 nugget0,20,1.0526,1.0527,0.9893,1.1215
high,30,49,34.9470,56.7172,gc_a0p9_b0p3_nugget0,GC a=0.9 b=0.3 nugget0,20,1.0428,1.0420,0.9797,1.1143
