k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1 nugget0,GC a=0.7 b=0.5 nugget0
0,0.5729,15.0540,7.7769,5.0265,3.1731
1,1.7187,2.3938,2.3120,1.9941,1.6119
2,2.8645,0.9014,1.2074,1.1906,1.0924
3,4.0103,0.6189,0.9383,0.9810,0.9587
4,5.1561,0.5605,0.8780,0.9426,0.9508
5,6.3019,0.4503,0.7032,0.7660,0.7900
6,7.4477,0.5359,0.8184,0.8964,0.9341
7,8.5935,0.5405,0.8033,0.8832,0.9298
8,9.7393,0.5902,0.8497,0.9341,0.9883
9,10.8851,0.5661,0.7922,0.8700,0.9237
10,12.0309,0.5956,0.8096,0.8875,0.9447
11,13.1767,0.5577,0.7376,0.8068,0.8610
12,14.3225,0.6240,0.8051,0.8765,0.9325
13,15.4683,0.6612,0.8310,0.9009,0.9574
14,16.6141,0.7060,0.8669,0.9359,0.9930
15,17.7599,0.7411,0.8903,0.9569,1.0133
16,18.9057,0.7853,0.9252,0.9902,1.0462
17,20.0515,0.7836,0.9054,0.9644,1.0162
18,21.1974,0.8109,0.9207,0.9759,1.0246
19,22.3432,0.8544,0.9538,1.0060,1.0526
20,23.4890,0.8416,0.9265,0.9733,1.0156
21,24.6348,0.8894,0.9663,1.0110,1.0515
22,25.7806,0.9431,1.0108,1.0528,1.0916
23,26.9264,0.8964,0.9490,0.9844,1.0178
24,28.0722,0.9602,1.0076,1.0414,1.0727
25,29.2180,0.9585,0.9952,1.0243,1.0515
26,30.3638,0.9745,1.0021,1.0273,1.0509
27,31.5096,1.0281,1.0487,1.0718,1.0936
28,32.6554,1.0234,1.0355,1.0548,1.0732
29,33.8012,1.0085,1.0127,1.0279,1.0424
30,34.9470,1.0332,1.0305,1.0426,1.0544
31,36.0928,1.0428,1.0338,1.0429,1.0518
32,37.2386,1.0830,1.0671,1.0734,1.0797
33,38.3844,1.1230,1.1011,1.1049,1.1089
34,39.5302,1.0946,1.0677,1.0689,1.0706
35,40.6760,1.0479,1.0189,1.0179,1.0175
36,41.8218,1.1356,1.0999,1.0962,1.0932
37,42.9676,1.1052,1.0665,1.0609,1.0559
38,44.1134,1.1096,1.0676,1.0600,1.0532
39,45.2592,1.1158,1.0701,1.0607,1.0521
40,46.4050,1.1126,1.0646,1.0538,1.0439
41,47.5508,1.1242,1.0729,1.0602,1.0486
42,48.6966,1.1059,1.0535,1.0397,1.0269
43,49.8424,1.1568,1.0997,1.0842,1.0699
44,50.9882,1.1239,1.0673,1.0514,1.0363
45,52.1340,1.1381,1.0794,1.0622,1.0457
46,53.2798,1.1162,1.0564,1.0385,1.0214
47,54.4256,1.1134,1.0542,1.0354,1.0170
48,55.5714,1.1006,1.0420,1.0226,1.0033
49,56.7172,1.0907,1.0311,1.0108,0.9906
50,57.8630,1.0698,1.0108,0.9902,0.9695
51,59.0088,1.0927,1.0312,1.0092,0.9872
52,60.1546,1.0767,1.0159,0.9936,0.9712
53,61.3005,1.0596,0.9990,0.9764,0.9535
54,62.4463,1.0629,1.0015,0.9781,0.9545
55,63.5921,1.0973,1.0334,1.0088,0.9837
56,64.7379,1.0646,1.0019,0.9774,0.9524
57,65.8837,1.1128,1.0467,1.0206,0.9940
58,67.0295,1.0532,0.9896,0.9646,0.9393
59,68.1753,1.0914,1.0266,1.0005,0.9736
60,69.3211,1.0980,1.0327,1.0060,0.9786
61,70.4669,1.1216,1.0546,1.0271,0.9988
62,71.6127,1.0675,1.0020,0.9752,0.9480
63,72.7585,1.0182,0.9528,0.9263,0.8996
64,73.9043,1.0308,0.9634,0.9356,0.9079
65,75.0501,1.0317,0.9636,0.9355,0.9073
66,76.1959,1.0407,0.9714,0.9424,0.9135
67,77.3417,1.0587,0.9877,0.9579,0.9281
68,78.4875,1.0032,0.9355,0.9070,0.8785
69,79.6333,1.0262,0.9567,0.9272,0.8978
