k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1.5 nugget0,GC a=0.7 b=1 nugget0
0,0.5729,3.7018,1.6258,1.3937,1.0989
1,1.7187,1.9871,1.5582,1.4612,1.3093
2,2.8645,0.9552,0.9938,0.9723,0.9278
3,4.0103,0.8680,1.0170,1.0149,0.9986
4,5.1561,0.8767,1.0763,1.0838,1.0819
5,6.3019,0.7279,0.9154,0.9276,0.9362
6,7.4477,0.6372,0.8042,0.8169,0.8283
7,8.5935,0.6836,0.8621,0.8779,0.8944
8,9.7393,0.7238,0.9047,0.9221,0.9415
9,10.8851,0.6944,0.8594,0.8763,0.8958
10,12.0309,0.7031,0.8598,0.8770,0.8979
11,13.1767,0.6817,0.8238,0.8406,0.8618
12,14.3225,0.8183,0.9747,0.9931,1.0161
13,15.4683,0.8731,1.0249,1.0436,1.0675
14,16.6141,0.8802,1.0195,1.0375,1.0608
15,17.7599,0.9387,1.0729,1.0910,1.1145
16,18.9057,0.8550,0.9656,0.9811,1.0014
17,20.0515,0.8842,0.9851,0.9999,1.0196
18,21.1974,0.9227,1.0159,1.0300,1.0488
19,22.3432,0.9412,1.0240,1.0371,1.0546
20,23.4890,0.9600,1.0346,1.0470,1.0636
21,24.6348,0.9344,0.9978,1.0088,1.0236
22,25.7806,0.9439,0.9977,1.0077,1.0213
23,26.9264,0.9585,1.0044,1.0136,1.0263
24,28.0722,1.0117,1.0533,1.0618,1.0733
25,29.2180,0.9881,1.0206,1.0278,1.0376
26,30.3638,0.9796,1.0041,1.0102,1.0184
27,31.5096,0.9588,0.9769,0.9821,0.9891
28,32.6554,1.0360,1.0493,1.0540,1.0604
29,33.8012,0.9856,0.9919,0.9955,1.0001
30,34.9470,0.9885,0.9895,0.9922,0.9958
31,36.0928,1.0494,1.0456,1.0477,1.0504
32,37.2386,1.0571,1.0480,1.0494,1.0509
33,38.3844,1.0576,1.0447,1.0454,1.0461
34,39.5302,1.1018,1.0839,1.0840,1.0838
35,40.6760,1.0293,1.0101,1.0097,1.0089
36,41.8218,1.0896,1.0657,1.0646,1.0626
37,42.9676,1.1196,1.0915,1.0897,1.0868
38,44.1134,1.0915,1.0616,1.0594,1.0558
39,45.2592,1.0863,1.0539,1.0511,1.0469
40,46.4050,1.0783,1.0441,1.0411,1.0364
41,47.5508,1.0910,1.0539,1.0503,1.0448
42,48.6966,1.0604,1.0226,1.0188,1.0129
43,49.8424,1.0902,1.0497,1.0455,1.0392
44,50.9882,1.0441,1.0045,1.0003,0.9940
45,52.1340,1.0430,1.0022,0.9976,0.9909
46,53.2798,1.0388,0.9967,0.9920,0.9851
47,54.4256,1.0793,1.0351,1.0299,1.0222
48,55.5714,1.0375,0.9945,0.9893,0.9816
49,56.7172,1.0412,0.9966,0.9911,0.9830
50,57.8630,1.0600,1.0140,1.0082,0.9996
51,59.0088,1.0685,1.0210,1.0149,1.0059
52,60.1546,1.0839,1.0353,1.0289,1.0195
53,61.3005,1.0421,0.9946,0.9883,0.9790
54,62.4463,1.0052,0.9587,0.9525,0.9432
55,63.5921,1.0685,1.0186,1.0118,1.0017
56,64.7379,1.0249,0.9763,0.9697,0.9597
57,65.8837,1.0545,1.0040,0.9970,0.9866
58,67.0295,0.9789,0.9318,0.9253,0.9156
59,68.1753,1.0104,0.9618,0.9549,0.9447
60,69.3211,0.9600,0.9136,0.9070,0.8972
61,70.4669,1.0420,0.9914,0.9841,0.9733
62,71.6127,1.0166,0.9662,0.9590,0.9483
63,72.7585,1.0071,0.9554,0.9479,0.9370
64,73.9043,0.9732,0.9222,0.9148,0.9038
65,75.0501,0.9875,0.9354,0.9278,0.9165
66,76.1959,1.0023,0.9489,0.9410,0.9293
67,77.3417,1.0010,0.9472,0.9391,0.9273
68,78.4875,1.0235,0.9682,0.9599,0.9476
69,79.6333,0.9441,0.8928,0.8851,0.8736
