k_bin,k_mid,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.6 b=2.5 nugget0,GC a=0.6 b=2.5 nugget free,GC a=0.6 b=3.3 nugget0,GC a=0.6 b=3.3 nugget free,GC a=0.6 b=5 nugget0,GC a=0.6 b=5 nugget free,GC a=0.7 b=2.5 nugget0,GC a=0.7 b=2.5 nugget free,GC a=0.7 b=3.3 nugget0,GC a=0.7 b=3.3 nugget free,GC a=0.7 b=5 nugget0,GC a=0.7 b=5 nugget free
0,0.5729,15.0540,3.7866,5.0025,3.5881,5.4559,3.6851,6.0509,3.7813,8.7625,4.4752,9.9712,4.5586,11.6060,4.6480
1,1.7187,2.3938,1.2506,1.7429,1.4549,1.7755,1.4467,1.8106,1.4319,2.3903,1.6035,2.4728,1.5721,2.5691,1.5336
2,2.8645,0.9014,0.7111,1.0202,0.9323,1.0120,0.9184,0.9994,0.9001,1.2013,0.9603,1.1911,0.9322,1.1749,0.8991
3,4.0103,0.6189,0.6122,0.8506,0.8182,0.8360,0.8049,0.8170,0.7883,0.9192,0.8155,0.8963,0.7918,0.8667,0.7643
4,5.1561,0.5605,0.6296,0.8317,0.8252,0.8150,0.8127,0.7940,0.7974,0.8547,0.8098,0.8280,0.7886,0.7948,0.7643
5,6.3019,0.4503,0.5462,0.6865,0.6967,0.6718,0.6869,0.6539,0.6752,0.6826,0.6772,0.6595,0.6615,0.6314,0.6436
6,7.4477,0.5359,0.6821,0.8162,0.8411,0.7992,0.8308,0.7786,0.8186,0.7940,0.8146,0.7669,0.7986,0.7345,0.7805
7,8.5935,0.5405,0.7141,0.8157,0.8522,0.7990,0.8431,0.7790,0.8324,0.7792,0.8233,0.7529,0.8097,0.7218,0.7946
8,9.7393,0.5902,0.7973,0.8738,0.9218,0.8566,0.9134,0.8363,0.9036,0.8248,0.8904,0.7980,0.8785,0.7664,0.8653
9,10.8851,0.5661,0.7749,0.8220,0.8734,0.8065,0.8665,0.7883,0.8585,0.7697,0.8443,0.7456,0.8350,0.7174,0.8249
10,12.0309,0.5956,0.8243,0.8467,0.9057,0.8316,0.8997,0.8138,0.8928,0.7875,0.8765,0.7640,0.8690,0.7366,0.8609
11,13.1767,0.5577,0.7762,0.7760,0.8347,0.7628,0.8300,0.7474,0.8247,0.7184,0.8088,0.6979,0.8034,0.6744,0.7979
12,14.3225,0.6240,0.8646,0.8484,0.9132,0.8349,0.9089,0.8193,0.9042,0.7853,0.8881,0.7643,0.8838,0.7401,0.8794
13,15.4683,0.6612,0.9117,0.8775,0.9462,0.8646,0.9427,0.8496,0.9388,0.8119,0.9228,0.7916,0.9198,0.7684,0.9170
14,16.6141,0.7060,0.9685,0.9165,0.9895,0.9040,0.9867,0.8894,0.9836,0.8481,0.9678,0.8284,0.9660,0.8058,0.9646
15,17.7599,0.7411,1.0091,0.9416,1.0170,0.9297,1.0148,0.9159,1.0125,0.8723,0.9975,0.8534,0.9970,0.8319,0.9970
16,18.9057,0.7853,1.0592,0.9781,1.0559,0.9666,1.0543,0.9534,1.0526,0.9078,1.0386,0.8895,1.0391,0.8687,1.0403
17,20.0515,0.7836,1.0438,0.9557,1.0304,0.9454,1.0294,0.9336,1.0284,0.8897,1.0164,0.8732,1.0177,0.8545,1.0198
18,21.1974,0.8109,1.0650,0.9696,1.0431,0.9602,1.0426,0.9493,1.0422,0.9060,1.0320,0.8907,1.0341,0.8733,1.0371
19,22.3432,0.8544,1.1050,1.0018,1.0749,0.9930,1.0748,0.9829,1.0750,0.9400,1.0665,0.9256,1.0693,0.9092,1.0730
20,23.4890,0.8416,1.0748,0.9710,1.0397,0.9633,1.0400,0.9543,1.0405,0.9142,1.0340,0.9013,1.0372,0.8868,1.0413
21,24.6348,0.8894,1.1195,1.0099,1.0783,1.0027,1.0789,0.9943,1.0799,0.9546,1.0749,0.9424,1.0786,0.9286,1.0833
22,25.7806,0.9431,1.1686,1.0531,1.1210,1.0464,1.1220,1.0387,1.1233,0.9998,1.1199,0.9884,1.1241,0.9755,1.1294
23,26.9264,0.8964,1.0932,0.9855,1.0458,0.9800,1.0469,0.9736,1.0485,0.9398,1.0468,0.9303,1.0509,0.9196,1.0560
24,28.0722,0.9602,1.1525,1.0426,1.1019,1.0374,1.1033,1.0315,1.1050,0.9988,1.1054,0.9897,1.1097,0.9794,1.1150
25,29.2180,0.9585,1.1309,1.0257,1.0799,1.0214,1.0814,1.0164,1.0832,0.9876,1.0854,0.9798,1.0897,0.9710,1.0949
26,30.3638,0.9745,1.1304,1.0287,1.0787,1.0251,1.0803,1.0209,1.0823,0.9956,1.0862,0.9888,1.0904,0.9812,1.0956
27,31.5096,1.0281,1.1762,1.0733,1.1218,1.0701,1.1235,1.0664,1.1257,1.0428,1.1310,1.0367,1.1355,1.0298,1.1408
28,32.6554,1.0234,1.1523,1.0559,1.0994,1.0534,1.1012,1.0505,1.1033,1.0307,1.1100,1.0256,1.1142,1.0200,1.1192
29,33.8012,1.0085,1.1172,1.0286,1.0666,1.0268,1.0684,1.0247,1.0705,1.0089,1.0784,1.0049,1.0824,1.0006,1.0870
30,34.9470,1.0332,1.1273,1.0428,1.0772,1.0415,1.0790,1.0400,1.0812,1.0274,1.0904,1.0243,1.0942,1.0209,1.0986
31,36.0928,1.0428,1.1215,1.0425,1.0728,1.0417,1.0746,1.0408,1.0768,1.0315,1.0871,1.0293,1.0907,1.0268,1.0949
32,37.2386,1.0830,1.1482,1.0723,1.0995,1.0720,1.1013,1.0716,1.1035,1.0656,1.1152,1.0641,1.1187,1.0626,1.1227
33,38.3844,1.1230,1.1760,1.1031,1.1274,1.1033,1.1293,1.1034,1.1315,1.1003,1.1444,1.0995,1.1478,1.0987,1.1516
34,39.5302,1.0946,1.1326,1.0666,1.0867,1.0671,1.0886,1.0678,1.0907,1.0676,1.1038,1.0676,1.1069,1.0676,1.1104
35,40.6760,1.0479,1.0722,1.0149,1.0308,1.0157,1.0325,1.0167,1.0344,1.0193,1.0476,1.0198,1.0503,1.0204,1.0533
36,41.8218,1.1356,1.1477,1.0920,1.1054,1.0933,1.1071,1.0948,1.1091,1.1010,1.1242,1.1022,1.1268,1.1037,1.1297
37,42.9676,1.1052,1.1046,1.0559,1.0656,1.0576,1.0673,1.0594,1.0691,1.0682,1.0843,1.0699,1.0866,1.0720,1.0890
38,44.1134,1.1096,1.0983,1.0543,1.0611,1.0563,1.0627,1.0585,1.0645,1.0697,1.0803,1.0720,1.0823,1.0747,1.0845
39,45.2592,1.1158,1.0940,1.0543,1.0583,1.0565,1.0599,1.0590,1.0616,1.0728,1.0778,1.0756,1.0796,1.0789,1.0815
40,46.4050,1.1126,1.0818,1.0466,1.0481,1.0491,1.0496,1.0519,1.0513,1.0676,1.0677,1.0708,1.0693,1.0745,1.0709
41,47.5508,1.1242,1.0840,1.0524,1.0515,1.0552,1.0530,1.0583,1.0546,1.0764,1.0716,1.0801,1.0730,1.0844,1.0744
42,48.6966,1.1059,1.0581,1.0313,1.0281,1.0342,1.0295,1.0375,1.0309,1.0572,1.0479,1.0612,1.0491,1.0658,1.0502
43,49.8424,1.1568,1.0996,1.0748,1.0695,1.0780,1.0708,1.0816,1.0723,1.1039,1.0902,1.1084,1.0912,1.1136,1.0922
44,50.9882,1.1239,1.0585,1.0410,1.0326,1.0442,1.0337,1.0479,1.0350,1.0716,1.0524,1.0761,1.0530,1.0814,1.0534
45,52.1340,1.1381,1.0634,1.0507,1.0396,1.0541,1.0406,1.0580,1.0418,1.0840,1.0595,1.0889,1.0599,1.0945,1.0600
46,53.2798,1.1162,1.0356,1.0266,1.0137,1.0301,1.0146,1.0342,1.0157,1.0612,1.0330,1.0663,1.0332,1.0722,1.0331
47,54.4256,1.1134,1.0256,1.0223,1.0068,1.0259,1.0076,1.0300,1.0085,1.0592,1.0261,1.0645,1.0259,1.0704,1.0255
48,55.5714,1.1006,1.0062,1.0084,0.9905,1.0121,0.9912,1.0163,0.9919,1.0470,1.0094,1.0524,1.0089,1.0584,1.0080
