frequency_band,k_bin_start,k_bin_end,k_mid_min,k_mid_max,variant,model_label,n_bins,ratio_mean,ratio_median,ratio_min,ratio_max
ultra_low,0,4,0.5729,5.1561,matern_s03_nugget0,Matern s=0.3 nugget0,5,3.9057,0.9014,0.5605,15.0540
ultra_low,0,4,0.5729,5.1561,matern_s03_nugget_free,Matern s=0.3 nugget free,5,1.3980,0.7111,0.6122,3.7866
ultra_low,0,4,0.5729,5.1561,gc_a0p6_b2p5_nugget0,GC a=0.6 b=2.5 nugget0,5,1.8896,1.0202,0.8317,5.0025
ultra_low,0,4,0.5729,5.1561,gc_a0p6_b2p5_nugget_free,GC a=0.6 b=2.5 nugget free,5,1.5237,0.9323,0.8182,3.5881
ultra_low,0,4,0.5729,5.1561,gc_a0p6_b3p3_nugget0,GC a=0.6 b=3.3 nugget0,5,1.9789,1.0120,0.8150,5.4559
ultra_low,0,4,0.5729,5.1561,gc_a0p6_b3p3_nugget_free,GC a=0.6 b=3.3 nugget free,5,1.5335,0.9184,0.8049,3.6851
ultra_low,0,4,0.5729,5.1561,gc_a0p6_b5p0_nugget0,GC a=0.6 b=5 nugget0,5,2.0944,0.9994,0.7940,6.0509
ultra_low,0,4,0.5729,5.1561,gc_a0p6_b5p0_nugget_free,GC a=0.6 b=5 nugget free,5,1.5398,0.9001,0.7883,3.7813
ultra_low,0,4,0.5729,5.1561,gc_a0p7_b2p5_nugget0,GC a=0.7 b=2.5 nugget0,5,2.8256,1.2013,0.8547,8.7625
ultra_low,0,4,0.5729,5.1561,gc_a0p7_b2p5_nugget_free,GC a=0.7 b=2.5 nugget free,5,1.7329,0.9603,0.8098,4.4752
ultra_low,0,4,0.5729,5.1561,gc_a0p7_b3p3_nugget0,GC a=0.7 b=3.3 nugget0,5,3.0719,1.1911,0.8280,9.9712
ultra_low,0,4,0.5729,5.1561,gc_a0p7_b3p3_nugget_free,GC a=0.7 b=3.3 nugget free,5,1.7287,0.9322,0.7886,4.5586
ultra_low,0,4,0.5729,5.1561,gc_a0p7_b5p0_nugget0,GC a=0.7 b=5 nugget0,5,3.4023,1.1749,0.7948,11.6060
ultra_low,0,4,0.5729,5.1561,gc_a0p7_b5p0_nugget_free,GC a=0.7 b=5 nugget free,5,1.7218,0.8991,0.7643,4.6480
low_mid,5,14,6.3019,16.6141,matern_s03_nugget0,Matern s=0.3 nugget0,10,0.5828,0.5781,0.4503,0.7060
low_mid,5,14,6.3019,16.6141,matern_s03_nugget_free,Matern s=0.3 nugget free,10,0.7860,0.7867,0.5462,0.9685
low_mid,5,14,6.3019,16.6141,gc_a0p6_b2p5_nugget0,GC a=0.6 b=2.5 nugget0,10,0.8279,0.8343,0.6865,0.9165
low_mid,5,14,6.3019,16.6141,gc_a0p6_b2p5_nugget_free,GC a=0.6 b=2.5 nugget free,10,0.8775,0.8895,0.6967,0.9895
low_mid,5,14,6.3019,16.6141,gc_a0p6_b3p3_nugget0,GC a=0.6 b=3.3 nugget0,10,0.8131,0.8191,0.6718,0.9040
low_mid,5,14,6.3019,16.6141,gc_a0p6_b3p3_nugget_free,GC a=0.6 b=3.3 nugget free,10,0.8709,0.8831,0.6869,0.9867
low_mid,5,14,6.3019,16.6141,gc_a0p6_b5p0_nugget0,GC a=0.6 b=5 nugget0,10,0.7956,0.8011,0.6539,0.8894
low_mid,5,14,6.3019,16.6141,gc_a0p6_b5p0_nugget_free,GC a=0.6 b=5 nugget free,10,0.8633,0.8757,0.6752,0.9836
low_mid,5,14,6.3019,16.6141,gc_a0p7_b2p5_nugget0,GC a=0.7 b=2.5 nugget0,10,0.7801,0.7864,0.6826,0.8481
low_mid,5,14,6.3019,16.6141,gc_a0p7_b2p5_nugget_free,GC a=0.7 b=2.5 nugget free,10,0.8514,0.8604,0.6772,0.9678
low_mid,5,14,6.3019,16.6141,gc_a0p7_b3p3_nugget0,GC a=0.7 b=3.3 nugget0,10,0.7569,0.7641,0.6595,0.8284
low_mid,5,14,6.3019,16.6141,gc_a0p7_b3p3_nugget_free,GC a=0.7 b=3.3 nugget free,10,0.8426,0.8520,0.6615,0.9660
low_mid,5,14,6.3019,16.6141,gc_a0p7_b5p0_nugget0,GC a=0.7 b=5 nugget0,10,0.7297,0.7356,0.6314,0.8058
low_mid,5,14,6.3019,16.6141,gc_a0p7_b5p0_nugget_free,GC a=0.7 b=5 nugget free,10,0.8329,0.8429,0.6436,0.9646
mid,15,29,17.7599,33.8012,matern_s03_nugget0,Matern s=0.3 nugget0,15,0.8999,0.8964,0.7411,1.0281
mid,15,29,17.7599,33.8012,matern_s03_nugget_free,Matern s=0.3 nugget free,15,1.1065,1.1172,1.0091,1.1762
mid,15,29,17.7599,33.8012,gc_a0p6_b2p5_nugget0,GC a=0.6 b=2.5 nugget0,15,1.0081,1.0099,0.9416,1.0733
mid,15,29,17.7599,33.8012,gc_a0p6_b2p5_nugget_free,GC a=0.6 b=2.5 nugget free,15,1.0703,1.0749,1.0170,1.1218
mid,15,29,17.7599,33.8012,gc_a0p6_b3p3_nugget0,GC a=0.6 b=3.3 nugget0,15,1.0014,1.0027,0.9297,1.0701
