k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=3 nugget0,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=4 nugget0
0,0.5729,3.6366,1.5212,1.6235,1.7089
1,1.7187,1.9167,1.4817,1.5159,1.5425
2,2.8645,0.8410,0.8820,0.8859,0.8884
3,4.0103,0.8403,0.9887,0.9859,0.9830
4,5.1561,0.7833,0.9544,0.9489,0.9440
5,6.3019,0.6201,0.7635,0.7578,0.7529
10,12.0309,0.7811,0.8964,0.8894,0.8838
15,17.7599,0.9002,0.9644,0.9589,0.9544
20,23.4890,1.0072,1.0316,1.0278,1.0248
25,29.2180,1.0360,1.0330,1.0310,1.0294
30,34.9470,1.0758,1.0554,1.0548,1.0544
35,40.6760,1.0763,1.0475,1.0480,1.0483
40,46.4050,1.0859,1.0520,1.0533,1.0543
45,52.1340,1.0635,1.0289,1.0306,1.0320
50,57.8630,0.9919,0.9602,0.9621,0.9636
55,63.5921,1.0056,0.9737,0.9759,0.9776
60,69.3211,0.9705,0.9403,0.9426,0.9443
65,75.0501,0.9345,0.9045,0.9068,0.9087
69,79.6333,0.9552,0.9244,0.9270,0.9290
