year,calendar_day,slice_in_day,time_position,time_key
2023,2,0,8,2023_07_y23m07day02_hm00:53
2023,2,1,9,2023_07_y23m07day02_hm01:53
2023,2,2,10,2023_07_y23m07day02_hm02:48
2023,2,3,11,2023_07_y23m07day02_hm03:48
2023,2,4,12,2023_07_y23m07day02_hm04:48
2023,2,5,13,2023_07_y23m07day02_hm05:48
2023,2,6,14,2023_07_y23m07day02_hm06:48
2023,2,7,15,2023_07_y23m07day02_hm07:48
2023,4,0,24,2023_07_y23m07day04_hm00:53
2023,4,1,25,2023_07_y23m07day04_hm01:53
2023,4,2,26,2023_07_y23m07day04_hm02:48
2023,4,3,27,2023_07_y23m07day04_hm03:48
2023,4,4,28,2023_07_y23m07day04_hm04:48
2023,4,5,29,2023_07_y23m07day04_hm05:48
2023,4,6,30,2023_07_y23m07day04_hm06:48
2023,4,7,31,2023_07_y23m07day04_hm07:48
2023,24,0,184,2023_07_y23m07day24_hm00:53
2023,24,1,185,2023_07_y23m07day24_hm01:53
2023,24,2,186,2023_07_y23m07day24_hm02:48
2023,24,3,187,2023_07_y23m07day24_hm03:48
2023,24,4,188,2023_07_y23m07day24_hm04:48
2023,24,5,189,2023_07_y23m07day24_hm05:48
2023,24,6,190,2023_07_y23m07day24_hm06:48
2023,24,7,191,2023_07_y23m07day24_hm07:48
