k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=3 nugget0,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=4 nugget0
0,0.5729,5.1977,2.9873,3.1174,3.2237
1,1.7187,1.1182,1.0533,1.0660,1.0754
2,2.8645,0.6466,0.7416,0.7414,0.7407
3,4.0103,0.6499,0.7704,0.7672,0.7642
4,5.1561,0.6754,0.7898,0.7856,0.7820
5,6.3019,0.7743,0.8855,0.8804,0.8761
6,7.4477,0.7604,0.8474,0.8428,0.8389
7,8.5935,0.7836,0.8551,0.8505,0.8467
8,9.7393,0.8133,0.8694,0.8651,0.8615
9,10.8851,0.8713,0.9188,0.9145,0.9110
10,12.0309,0.8667,0.9003,0.8963,0.8931
11,13.1767,0.8920,0.9173,0.9134,0.9102
12,14.3225,0.9462,0.9636,0.9601,0.9572
13,15.4683,1.0436,1.0531,1.0495,1.0466
14,16.6141,1.0139,1.0154,1.0123,1.0097
15,17.7599,1.0230,1.0180,1.0151,1.0128
16,18.9057,1.0628,1.0527,1.0500,1.0478
17,20.0515,1.0121,0.9976,0.9953,0.9934
18,21.1974,1.0599,1.0409,1.0388,1.0371
19,22.3432,1.1425,1.1187,1.1167,1.1151
20,23.4890,1.1119,1.0862,1.0844,1.0831
21,24.6348,1.1284,1.1004,1.0989,1.0976
22,25.7806,1.0780,1.0491,1.0479,1.0469
23,26.9264,1.0548,1.0272,1.0260,1.0250
24,28.0722,1.1528,1.1216,1.1207,1.1199
25,29.2180,1.0966,1.0665,1.0658,1.0652
26,30.3638,1.2077,1.1744,1.1739,1.1734
27,31.5096,1.0832,1.0535,1.0530,1.0527
28,32.6554,1.1160,1.0863,1.0860,1.0857
29,33.8012,1.0937,1.0646,1.0645,1.0644
30,34.9470,1.1051,1.0765,1.0765,1.0766
31,36.0928,1.1106,1.0828,1.0829,1.0830
32,37.2386,1.1135,1.0865,1.0868,1.0870
33,38.3844,1.0544,1.0293,1.0297,1.0300
34,39.5302,1.1583,1.1318,1.1323,1.1327
35,40.6760,1.0859,1.0629,1.0634,1.0638
36,41.8218,1.0710,1.0491,1.0497,1.0502
37,42.9676,1.0625,1.0418,1.0425,1.0431
38,44.1134,1.0758,1.0559,1.0567,1.0574
39,45.2592,1.0809,1.0619,1.0628,1.0635
40,46.4050,1.0625,1.0451,1.0460,1.0467
41,47.5508,1.0852,1.0680,1.0690,1.0699
42,48.6966,1.1233,1.1065,1.1076,1.1085
43,49.8424,1.0704,1.0553,1.0564,1.0572
44,50.9882,1.0508,1.0370,1.0380,1.0388
45,52.1340,1.0077,0.9952,0.9962,0.9971
46,53.2798,0.9883,0.9769,0.9779,0.9787
47,54.4256,0.9934,0.9828,0.9839,0.9848
48,55.5714,1.0185,1.0084,1.0095,1.0104
49,56.7172,1.0155,1.0064,1.0076,1.0085
50,57.8630,1.0078,0.9995,1.0007,1.0016
51,59.0088,1.0765,1.0685,1.0698,1.0708
52,60.1546,0.9489,0.9424,0.9436,0.9445
53,61.3005,0.9453,0.9394,0.9406,0.9415
54,62.4463,1.0002,0.9946,0.9958,0.9969
55,63.5921,0.9256,0.9208,0.9220,0.9230
56,64.7379,0.9668,0.9623,0.9636,0.9646
57,65.8837,0.9417,0.9375,0.9388,0.9398
58,67.0295,0.8774,0.8743,0.8754,0.8763
59,68.1753,0.9625,0.9592,0.9605,0.9616
60,69.3211,0.9228,0.9200,0.9213,0.9223
61,70.4669,0.9551,0.9524,0.9537,0.9547
62,71.6127,0.8952,0.8930,0.8942,0.8952
63,72.7585,0.8774,0.8760,0.8773,0.8783
64,73.9043,0.8352,0.8348,0.8360,0.8370
65,75.0501,0.8350,0.8351,0.8363,0.8373
66,76.1959,0.8842,0.8848,0.8861,0.8872
67,77.3417,0.8867,0.8878,0.8891,0.8902
68,78.4875,0.8626,0.8640,0.8654,0.8664
69,79.6333,0.8617,0.8634,0.8648,0.8659
