k_bin,k_mid,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.7 b=2.5 nugget0,GC a=0.7 b=2.5 nugget free,GC a=0.7 b=3 nugget0,GC a=0.7 b=3 nugget free,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=3.5 nugget free
0,0.5729,3.7018,2.9569,1.8097,1.5880,1.9575,1.6906,2.0778,1.7708
1,1.7187,1.9871,1.6273,1.6248,1.4586,1.6732,1.4836,1.7099,1.5004
2,2.8645,0.9552,0.8147,1.0054,0.9257,1.0123,0.9241,1.0167,0.9214
3,4.0103,0.8680,0.7822,1.0150,0.9568,1.0118,0.9489,1.0085,0.9417
4,5.1561,0.8767,0.8286,1.0676,1.0226,1.0596,1.0122,1.0527,1.0034
5,6.3019,0.7279,0.7230,0.9043,0.8809,0.8951,0.8714,0.8874,0.8637
6,7.4477,0.6372,0.6577,0.7932,0.7821,0.7843,0.7741,0.7770,0.7678
7,8.5935,0.6836,0.7299,0.8492,0.8472,0.8389,0.8392,0.8307,0.8328
8,9.7393,0.7238,0.7932,0.8908,0.8972,0.8799,0.8896,0.8713,0.8836
9,10.8851,0.6944,0.7737,0.8462,0.8579,0.8359,0.8513,0.8277,0.8461
10,12.0309,0.7031,0.7970,0.8466,0.8651,0.8364,0.8591,0.8284,0.8546
11,13.1767,0.6817,0.7824,0.8111,0.8344,0.8014,0.8293,0.7939,0.8254
12,14.3225,0.8183,0.9414,0.9607,0.9897,0.9500,0.9846,0.9416,0.9808
13,15.4683,0.8731,1.0100,1.0108,1.0457,1.0000,1.0411,0.9917,1.0378
14,16.6141,0.8802,1.0214,1.0061,1.0442,0.9959,1.0404,0.9880,1.0377
15,17.7599,0.9387,1.0905,1.0595,1.1024,1.0494,1.0991,1.0415,1.0968
16,18.9057,0.8550,0.9924,0.9542,0.9944,0.9456,0.9920,0.9389,0.9904
17,20.0515,0.8842,1.0237,0.9742,1.0167,0.9661,1.0148,0.9597,1.0137
18,21.1974,0.9227,1.0637,1.0056,1.0496,0.9978,1.0483,0.9918,1.0475
19,22.3432,0.9412,1.0792,1.0144,1.0587,1.0072,1.0579,1.0016,1.0574
20,23.4890,0.9600,1.0957,1.0256,1.0703,1.0189,1.0699,1.0137,1.0697
21,24.6348,0.9344,1.0602,0.9898,1.0322,0.9838,1.0321,0.9792,1.0322
22,25.7806,0.9439,1.0635,0.9905,1.0320,0.9851,1.0323,0.9809,1.0326
23,26.9264,0.9585,1.0711,0.9977,1.0382,0.9928,1.0386,0.9890,1.0391
24,28.0722,1.0117,1.1229,1.0471,1.0873,1.0425,1.0880,1.0389,1.0887
25,29.2180,0.9881,1.0874,1.0153,1.0522,1.0114,1.0530,1.0083,1.0538
26,30.3638,0.9796,1.0685,0.9997,1.0336,0.9964,1.0346,0.9938,1.0355
27,31.5096,0.9588,1.0386,0.9731,1.0044,0.9703,1.0055,0.9681,1.0065
28,32.6554,1.0360,1.1126,1.0458,1.0769,1.0433,1.0781,1.0413,1.0792
29,33.8012,0.9856,1.0492,0.9893,1.0161,0.9874,1.0174,0.9859,1.0184
30,34.9470,0.9885,1.0436,0.9875,1.0117,0.9860,1.0130,0.9848,1.0141
31,36.0928,1.0494,1.0992,1.0440,1.0669,1.0428,1.0683,1.0419,1.0694
32,37.2386,1.0571,1.0980,1.0470,1.0671,1.0462,1.0685,1.0456,1.0697
33,38.3844,1.0576,1.0913,1.0441,1.0619,1.0437,1.0633,1.0433,1.0644
34,39.5302,1.1018,1.1282,1.0837,1.0994,1.0836,1.1009,1.0835,1.1020
