k_bin,k_mid,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.7 b=2.5 nugget0,GC a=0.7 b=2.5 nugget free,GC a=0.7 b=3 nugget0,GC a=0.7 b=3 nugget free,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=3.5 nugget free
0,0.5729,3.7018,2.9569,1.8097,1.5880,1.9575,1.6906,2.0778,1.7708
1,1.7187,1.9871,1.6273,1.6248,1.4586,1.6732,1.4836,1.7099,1.5004
2,2.8645,0.9552,0.8147,1.0054,0.9257,1.0123,0.9241,1.0167,0.9214
3,4.0103,0.8680,0.7822,1.0150,0.9568,1.0118,0.9489,1.0085,0.9417
4,5.1561,0.8767,0.8286,1.0676,1.0226,1.0596,1.0122,1.0527,1.0034
5,6.3019,0.7279,0.7230,0.9043,0.8809,0.8951,0.8714,0.8874,0.8637
10,12.0309,0.7031,0.7970,0.8466,0.8651,0.8364,0.8591,0.8284,0.8546
15,17.7599,0.9387,1.0905,1.0595,1.1024,1.0494,1.0991,1.0415,1.0968
20,23.4890,0.9600,1.0957,1.0256,1.0703,1.0189,1.0699,1.0137,1.0697
25,29.2180,0.9881,1.0874,1.0153,1.0522,1.0114,1.0530,1.0083,1.0538
30,34.9470,0.9885,1.0436,0.9875,1.0117,0.9860,1.0130,0.9848,1.0141
35,40.6760,1.0293,1.0476,1.0103,1.0228,1.0105,1.0241,1.0106,1.0251
40,46.4050,1.0783,1.0648,1.0462,1.0475,1.0478,1.0487,1.0489,1.0496
45,52.1340,1.0430,1.0090,1.0053,0.9988,1.0076,0.9997,1.0094,1.0003
50,57.8630,1.0600,1.0092,1.0180,1.0049,1.0209,1.0056,1.0232,1.0060
55,63.5921,1.0685,1.0042,1.0233,1.0047,1.0268,1.0052,1.0294,1.0055
60,69.3211,0.9600,0.8953,0.9182,0.8985,0.9215,0.8988,0.9240,0.8989
65,75.0501,0.9875,0.9047,0.9408,0.9134,0.9447,0.9134,0.9477,0.9132
69,79.6333,0.9441,0.8575,0.8983,0.8685,0.9022,0.8683,0.9053,0.8680
