smooth,hour_idx,nugget_mean,nugget_median,nugget_sd,nugget_min,nugget_max,n_tiles,n_valid_sum,global_nugget,fixed_sigmasq,fixed_range
0.3000,0,0.7626,0.5318,0.7148,0.0000,2.1955,16,18069,0.6185,14.4389,0.3948
0.3000,1,0.9690,0.3853,1.7268,0.0000,7.0532,16,17517,0.8854,18.9656,0.5256
0.3000,2,1.9035,0.6630,4.0883,0.0000,16.3495,16,16585,1.6836,28.5577,0.9948
0.3000,3,0.3971,0.0329,0.6107,0.0000,2.1102,16,16582,0.0000,37.2503,1.3030
0.3000,4,0.3027,0.0001,0.4273,0.0000,1.1047,16,16703,0.0000,35.2177,1.2571
0.3000,5,0.3621,0.0001,0.5198,0.0000,1.4035,16,17675,0.0001,19.6794,0.4473
0.3000,6,0.2696,0.0001,0.5557,0.0000,2.0641,16,18096,0.0011,16.7561,0.4234
0.3000,7,0.4132,0.0000,0.9134,0.0000,3.2904,16,18102,0.0000,13.6808,0.3099
0.5000,0,2.0176,1.9059,0.9040,0.4765,3.5982,16,18069,2.0008,12.0731,0.2727
0.5000,1,2.3948,1.9078,1.8399,0.4037,8.6163,16,17517,2.4436,15.4542,0.3218
0.5000,2,3.1465,2.1308,4.2173,0.0000,17.7819,16,16585,3.1197,18.5692,0.3562
0.5000,3,1.3828,1.3363,0.9626,0.0000,3.4561,16,16582,1.3142,19.3606,0.2958
0.5000,4,1.1783,1.2217,0.8150,0.0000,2.3247,16,16703,1.1801,18.8820,0.2890
0.5000,5,1.3389,1.2570,0.9021,0.0000,2.7301,16,17675,1.3289,16.0672,0.2441
0.5000,6,1.0630,0.9345,0.7541,0.0000,3.0554,16,18096,1.0254,13.6608,0.2214
0.5000,7,1.1177,0.7801,1.1509,0.0001,4.3313,16,18102,1.0662,11.5064,0.1923
