smooth,hour_idx,nugget_mean,nugget_median,nugget_sd,nugget_min,nugget_max,n_tiles,n_valid_sum,global_nugget,fixed_sigmasq,fixed_range
0.3000,0,0.7000,0.7371,0.4397,0.0000,1.2888,9,18069,0.6562,15.5357,0.4565
0.3000,1,0.9183,0.4325,1.3387,0.0001,4.3683,9,17517,0.9340,20.1634,0.5962
0.3000,2,1.8254,0.8425,2.9406,0.0000,8.9999,9,16585,1.8005,27.8893,1.0037
0.3000,3,0.3605,0.0000,0.6371,0.0000,1.7749,9,16582,0.0002,37.7342,1.3317
0.3000,4,0.3326,0.0000,0.5022,0.0000,1.1286,9,16703,0.0001,35.3932,1.2696
0.3000,5,0.3960,0.0000,0.5011,0.0000,1.1869,9,17675,0.0000,37.0168,1.2958
0.3000,6,0.2039,0.0000,0.4200,0.0000,1.2379,9,18096,0.0000,28.6826,1.0463
0.3000,7,0.3902,0.0000,0.8588,0.0000,2.5618,9,18102,0.0001,13.5986,0.3068
0.5000,0,2.0461,2.1148,0.5302,1.0243,2.6885,9,18069,2.0446,12.9560,0.3017
0.5000,1,2.4640,2.0041,1.3427,1.4888,5.9183,9,17517,2.4830,16.4629,0.3515
0.5000,2,3.1011,2.2678,3.0184,0.6097,10.3193,9,16585,3.2005,19.1375,0.3798
0.5000,3,1.3302,1.1037,0.9774,0.0001,3.1132,9,16582,1.3479,19.6864,0.3046
0.5000,4,1.1476,0.9925,0.8595,0.0491,2.2985,9,16703,1.1447,20.2347,0.3074
0.5000,5,1.3138,0.8724,0.9147,0.2971,2.5257,9,17675,1.3099,16.7182,0.2533
0.5000,6,1.0167,0.9536,0.6070,0.1535,2.2778,9,18096,1.0052,14.0317,0.2267
0.5000,7,1.1115,0.6061,1.0829,0.0000,3.6108,9,18102,1.0597,11.5443,0.1926
