n,true_smooth,fit_smooth,variant,rep,loss_per_obs,success,message,n_iter,n_eval,fit_s,est_sigmasq,est_range,est_nugget,true_sigmasq,true_range,true_nugget
200,0.5000,0.5000,nugget_free,0,2.0320,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,56,0.0957,15.3044,0.3122,2.1277,12.0000,0.2000,2.0000
400,0.5000,0.5000,nugget_free,0,1.9458,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,52,0.2088,16.7800,0.4300,2.1178,12.0000,0.2000,2.0000
800,0.5000,0.5000,nugget_free,0,1.8279,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,76,1.0510,5.2318,0.0922,1.7207,12.0000,0.2000,2.0000
1600,0.5000,0.5000,nugget_free,0,1.8636,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,64,7.2147,20.5752,0.3305,1.9981,12.0000,0.2000,2.0000
3200,0.5000,0.5000,nugget_free,0,1.8317,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,64,15.7651,7.0587,0.1440,2.0211,12.0000,0.2000,2.0000
200,0.5000,0.5000,nugget0_fit,0,2.1311,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,45,0.0623,13.9025,0.0285,0.0000,12.0000,0.2000,2.0000
400,0.5000,0.5000,nugget0_fit,0,2.0801,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,36,0.0773,21.6495,0.0265,0.0000,12.0000,0.2000,2.0000
800,0.5000,0.5000,nugget0_fit,0,1.9971,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,42,0.4033,8.0608,0.0050,0.0000,12.0000,0.2000,2.0000
1600,0.5000,0.5000,nugget0_fit,0,2.0967,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,33,1.3825,28.0117,0.0084,0.0000,12.0000,0.2000,2.0000
3200,0.5000,0.5000,nugget0_fit,0,2.1013,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,36,6.9093,33.2861,0.0050,0.0000,12.0000,0.2000,2.0000
200,0.5000,1.5000,nugget_free,0,2.0438,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,56,0.3263,10.6109,0.0926,2.5185,12.0000,0.2000,2.0000
400,0.5000,1.5000,nugget_free,0,1.9657,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,56,0.8281,13.4897,0.1248,2.4723,12.0000,0.2000,2.0000
