variant,true_smooth,fit_smooth,n,loss_mean,sigmasq_mean,sigmasq_sd,range_mean,range_sd,nugget_mean,nugget_sd,micro_mean,success_rate,fit_s_mean
nugget0_fit,0.5000,0.5000,200,2.1311,13.9025,,0.0285,,0.0000,,487.5834,1.0000,0.0623
nugget0_fit,0.5000,0.5000,400,2.0801,21.6495,,0.0265,,0.0000,,818.0642,1.0000,0.0773
nugget0_fit,0.5000,0.5000,800,1.9971,8.0608,,0.0050,,0.0000,,1612.1614,1.0000,0.4033
nugget0_fit,0.5000,0.5000,1600,2.0967,28.0117,,0.0084,,0.0000,,3333.0677,1.0000,1.3825
nugget0_fit,0.5000,0.5000,3200,2.1013,33.2861,,0.0050,,0.0000,,6657.2122,1.0000,6.9093
nugget0_fit,0.5000,1.5000,200,2.2655,11.6486,,0.0080,,0.0000,,22438318.5773,1.0000,0.6473
nugget0_fit,0.5000,1.5000,400,2.2940,17.0325,,0.0050,,0.0000,,136260367.2352,1.0000,0.4865
nugget0_fit,0.5000,1.5000,800,2.4399,86.5501,,0.0050,,0.0000,,692401048.2143,1.0000,1.4641
nugget0_fit,0.5000,1.5000,1600,2.6693,500.0000,,0.0050,,0.0000,,4000000000.0000,1.0000,1.3056
nugget0_fit,0.5000,1.5000,3200,6.9206,500.0000,,0.0050,,0.0000,,4000000000.0000,1.0000,2.3153
nugget0_fit,1.5000,0.5000,200,1.9253,3.5977,,0.0070,,0.0000,,517.1516,1.0000,0.0660
nugget0_fit,1.5000,0.5000,400,2.0134,5.5933,,0.0057,,0.0000,,984.6407,1.0000,0.0879
nugget0_fit,1.5000,0.5000,800,2.0901,10.2248,,0.0053,,0.0000,,1913.0372,1.0000,0.2897
nugget0_fit,1.5000,0.5000,1600,2.0976,30.3476,,0.0091,,0.0000,,3319.5912,1.0000,1.5068
nugget0_fit,1.5000,0.5000,3200,2.1002,33.2081,,0.0050,,0.0000,,6641.6252,1.0000,7.1553
nugget0_fit,1.5000,1.5000,200,1.9680,3.9541,,0.0050,,0.0000,,31633008.5324,1.0000,0.4091
nugget0_fit,1.5000,1.5000,400,2.2323,15.0562,,0.0050,,0.0000,,120449710.5958,1.0000,0.3434
nugget0_fit,1.5000,1.5000,800,2.5139,100.3510,,0.0050,,0.0000,,802807928.1773,1.0000,1.6412
nugget0_fit,1.5000,1.5000,1600,2.7128,500.0000,,0.0050,,0.0000,,4000000000.0000,1.0000,1.2944
nugget0_fit,1.5000,1.5000,3200,6.8093,500.0000,,0.0050,,0.0000,,4000000000.0000,1.0000,2.2801
nugget_free,0.5000,0.5000,200,2.0320,15.3044,,0.3122,,2.1277,,49.0237,1.0000,0.0957
nugget_free,0.5000,0.5000,400,1.9458,16.7800,,0.4300,,2.1178,,39.0195,1.0000,0.2088
nugget_free,0.5000,0.5000,800,1.8279,5.2318,,0.0922,,1.7207,,56.7237,1.0000,1.0510
nugget_free,0.5000,0.5000,1600,1.8636,20.5752,,0.3305,,1.9981,,62.2581,1.0000,7.2147
nugget_free,0.5000,0.5000,3200,1.8317,7.0587,,0.1440,,2.0211,,49.0213,1.0000,15.7651
nugget_free,0.5000,1.5000,200,2.0438,10.6109,,0.0926,,2.5185,,13371.3761,1.0000,0.3263
nugget_free,0.5000,1.5000,400,1.9657,13.4897,,0.1248,,2.4723,,6938.1459,1.0000,0.8281
nugget_free,0.5000,1.5000,800,1.8348,4.3427,,0.0341,,1.8801,,109574.7463,1.0000,3.7086
nugget_free,0.5000,1.5000,1600,1.8739,17.6742,,0.0473,,2.1191,,166945.2520,1.0000,11.2396
nugget_free,0.5000,1.5000,3200,1.8362,5.1282,,0.0274,,2.0922,,250256.3319,1.0000,52.9548
nugget_free,1.5000,0.5000,200,1.8327,1.7697,,0.1040,,1.7446,,17.0092,1.0000,0.0553
nugget_free,1.5000,0.5000,400,1.7982,3.8488,,0.3504,,1.7969,,10.9847,1.0000,0.1328
nugget_free,1.5000,0.5000,800,1.8435,9.0794,,0.8657,,2.0849,,10.4877,1.0000,0.8402
nugget_free,1.5000,0.5000,1600,1.7894,15.5659,,1.0595,,1.8978,,14.6917,1.0000,2.9892
nugget_free,1.5000,0.5000,3200,1.7793,11.8534,,1.9833,,1.9661,,5.9766,1.0000,14.6473
nugget_free,1.5000,1.5000,200,1.8319,1.6460,,0.0706,,1.8702,,4677.4621,1.0000,0.2978
nugget_free,1.5000,1.5000,400,1.7878,4.1217,,0.1519,,1.8489,,1174.9200,1.0000,0.6773
nugget_free,1.5000,1.5000,800,1.8381,8.8278,,0.1991,,2.1353,,1119.3018,1.0000,2.9681
nugget_free,1.5000,1.5000,1600,1.7798,27.2054,,0.2532,,1.9384,,1675.5615,1.0000,13.8871
nugget_free,1.5000,1.5000,3200,1.7752,11.5174,,0.2383,,1.9799,,851.1175,1.0000,56.6096
