model_family,spec_name,parameter,true,n,rmsre,median_abs_error,p90_p10_abs_error,median_re,estimate_median,estimate_mean
cluster,cluster_4x4_B2,nugget,1.0,1,0.13765969547993495,0.13765969547993495,0.0,0.13765969547993495,1.137659695479935,1.137659695479935
cluster,cluster_4x4_B3,nugget,1.0,1,0.1457508701174126,0.1457508701174126,0.0,0.1457508701174126,1.1457508701174126,1.1457508701174126
point,point_m60,nugget,1.0,1,0.14636356605538214,0.14636356605538214,0.0,0.14636356605538214,1.1463635660553821,1.1463635660553821
point,point_m40,nugget,1.0,1,0.1475421360058391,0.1475421360058391,0.0,0.1475421360058391,1.147542136005839,1.147542136005839
cluster,cluster_4x4_B7,nugget,1.0,1,0.14771156182699285,0.14771156182699285,0.0,0.14771156182699285,1.1477115618269929,1.1477115618269929
cluster,cluster_4x4_B5,nugget,1.0,1,0.14880406622239328,0.14880406622239328,0.0,0.14880406622239328,1.1488040662223933,1.1488040662223933
cluster,cluster_4x4_B4,nugget,1.0,1,0.14917654101124378,0.14917654101124378,0.0,0.14917654101124378,1.1491765410112438,1.1491765410112438
cluster,cluster_4x4_B6,nugget,1.0,1,0.14925044095891704,0.14925044095891704,0.0,0.14925044095891704,1.149250440958917,1.149250440958917
point,point_m24,nugget,1.0,1,0.14946291117246235,0.14946291117246235,0.0,0.14946291117246235,1.1494629111724624,1.1494629111724624
point,point_m16,nugget,1.0,1,0.15090033683789672,0.15090033683789672,0.0,0.15090033683789672,1.1509003368378967,1.1509003368378967
point,point_m8,nugget,1.0,1,0.19324173051523252,0.19324173051523252,0.0,0.19324173051523252,1.1932417305152325,1.1932417305152325
cluster,cluster_4x4_B3,range,0.2449489742783178,1,0.009430141060110727,0.002309903379973971,0.0,0.009430141060110727,0.24725887765829177,0.24725887765829177
cluster,cluster_4x4_B2,range,0.2449489742783178,1,0.015519439070765783,0.0038014706817589283,0.0,0.015519439070765783,0.24114750359655887,0.24114750359655887
cluster,cluster_4x4_B4,range,0.2449489742783178,1,0.023368431605927286,0.005724073352364911,0.0,0.023368431605927286,0.2506730476306827,0.2506730476306827
cluster,cluster_4x4_B7,range,0.2449489742783178,1,0.025293180393212097,0.006195538593553762,0.0,0.025293180393212097,0.25114451287187156,0.25114451287187156
cluster,cluster_4x4_B5,range,0.2449489742783178,1,0.02589602079905922,0.00634320373261954,0.0,0.02589602079905922,0.25129217801093734,0.25129217801093734
point,point_m60,range,0.2449489742783178,1,0.02624143148699699,0.006427811726334665,0.0,0.02624143148699699,0.25137678600465246,0.25137678600465246
cluster,cluster_4x4_B6,range,0.2449489742783178,1,0.02710806014391695,0.006640091526927405,0.0,0.02710806014391695,0.2515890658052452,0.2515890658052452
point,point_m40,range,0.2449489742783178,1,0.027978189635257656,0.006853228853320625,0.0,0.027978189635257656,0.2518022031316384,0.2518022031316384
point,point_m24,range,0.2449489742783178,1,0.031030177093110897,0.0076008100506320675,0.0,0.031030177093110897,0.25254978432894987,0.25254978432894987
point,point_m16,range,0.2449489742783178,1,0.03448540960847187,0.00844716571116283,0.0,0.03448540960847187,0.25339613998948063,0.25339613998948063
point,point_m8,range,0.2449489742783178,1,0.06814918007712417,0.016693071757799938,0.0,0.06814918007712417,0.26164204603611774,0.26164204603611774
point,point_m16,sigmasq,10.0,1,0.0019945444525015787,0.019945444525015787,0.0,0.0019945444525015787,9.980054555474984,9.980054555474984
point,point_m8,sigmasq,10.0,1,0.0022095433775289664,0.022095433775289663,0.0,0.0022095433775289664,10.02209543377529,10.02209543377529
point,point_m24,sigmasq,10.0,1,0.004290524598491707,0.04290524598491707,0.0,0.004290524598491707,9.957094754015083,9.957094754015083
cluster,cluster_4x4_B6,sigmasq,10.0,1,0.00567052475955343,0.0567052475955343,0.0,0.00567052475955343,9.943294752404466,9.943294752404466
point,point_m40,sigmasq,10.0,1,0.005831780491596383,0.05831780491596383,0.0,0.005831780491596383,9.941682195084036,9.941682195084036
cluster,cluster_4x4_B7,sigmasq,10.0,1,0.006349309110009216,0.06349309110009216,0.0,0.006349309110009216,9.936506908899908,9.936506908899908
cluster,cluster_4x4_B5,sigmasq,10.0,1,0.0064737616741604494,0.0647376167416045,0.0,0.0064737616741604494,9.935262383258396,9.935262383258396
point,point_m60,sigmasq,10.0,1,0.0066531515284484755,0.06653151528448475,0.0,0.0066531515284484755,9.933468484715515,9.933468484715515
cluster,cluster_4x4_B4,sigmasq,10.0,1,0.008989568414056136,0.08989568414056137,0.0,0.008989568414056136,9.910104315859439,9.910104315859439
cluster,cluster_4x4_B3,sigmasq,10.0,1,0.013289913581820124,0.13289913581820123,0.0,0.013289913581820124,9.867100864181799,9.867100864181799
cluster,cluster_4x4_B2,sigmasq,10.0,1,0.018126142111894162,0.1812614211189416,0.0,0.018126142111894162,9.818738578881058,9.818738578881058
