date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,true_smooth,fit_smooth,smooth,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_nugget,n_batches,n_tails,mean_m,max_m,largest_batch_n,total_conditioning_nominal,limit_A,profile_type,fixed_sigmasq,fixed_range,fixed_nugget
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6345,0,1,0.0390,0.2199,0.2589,2266,2259,0.9969,10.9765,0.2646,2.2552,1,2259,10.0000,10,2259,10,10,sigma_only,,0.2646,2.2552
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6345,0,1,0.0390,0.0169,0.0558,2266,2259,0.9969,10.9765,0.2646,2.2552,1,2259,10.0000,10,2259,10,10,range_only,10.9765,,2.2552
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5822,0,1,0.0301,0.2482,0.2783,4532,4518,0.9969,11.0553,0.2817,2.3786,1,4518,10.0000,10,4518,10,10,sigma_only,,0.2817,2.3786
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5822,0,1,0.0301,0.0311,0.0612,4532,4518,0.9969,11.0553,0.2817,2.3786,1,4518,10.0000,10,4518,10,10,range_only,11.0553,,2.3786
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5064,0,1,0.0609,0.2432,0.3041,9063,9033,0.9967,10.9755,0.3054,2.4310,1,9033,10.0000,10,9033,10,10,sigma_only,,0.3054,2.4310
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5064,0,1,0.0609,0.0618,0.1227,9063,9033,0.9967,10.9755,0.3054,2.4310,1,9033,10.0000,10,9033,10,10,range_only,10.9755,,2.4310
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4458,0,1,0.0938,0.2716,0.3654,18126,18067,0.9967,11.1422,0.2795,2.1918,1,18067,10.0000,10,18067,10,10,sigma_only,,0.2795,2.1918
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4458,0,1,0.0938,0.1270,0.2209,18126,18067,0.9967,11.1422,0.2795,2.1918,1,18067,10.0000,10,18067,10,10,range_only,11.1422,,2.1918
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6345,0,1,0.0176,0.1320,0.1496,2266,2208,0.9744,10.2136,0.2237,2.2457,1,2208,10.0000,10,2208,10,10,sigma_only,,0.2237,2.2457
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6345,0,1,0.0176,0.0775,0.0951,2266,2208,0.9744,10.2136,0.2237,2.2457,1,2208,10.0000,10,2208,10,10,range_only,10.2136,,2.2457
20240703,2,1,2024_07_y24m07day03_hm01:53,4,x4,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5891,0,1,0.0243,0.2370,0.2614,4532,4422,0.9757,11.0726,0.2227,1.8225,1,4422,10.0000,10,4422,10,10,sigma_only,,0.2227,1.8225
20240703,2,1,2024_07_y24m07day03_hm01:53,4,x4,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5891,0,1,0.0243,0.0258,0.0501,4532,4422,0.9757,11.0726,0.2227,1.8225,1,4422,10.0000,10,4422,10,10,range_only,11.0726,,1.8225
20240703,2,1,2024_07_y24m07day03_hm01:53,2,x2,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5205,0,1,0.0355,0.2820,0.3175,9063,8840,0.9754,10.7840,0.2382,2.1106,1,8840,10.0000,10,8840,10,10,sigma_only,,0.2382,2.1106
20240703,2,1,2024_07_y24m07day03_hm01:53,2,x2,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5205,0,1,0.0355,0.0570,0.0926,9063,8840,0.9754,10.7840,0.2382,2.1106,1,8840,10.0000,10,8840,10,10,range_only,10.7840,,2.1106
20240703,2,1,2024_07_y24m07day03_hm01:53,1,x1,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4642,0,1,0.0707,0.2880,0.3587,18126,17670,0.9748,10.9122,0.2161,1.9415,1,17670,10.0000,10,17670,10,10,sigma_only,,0.2161,1.9415
20240703,2,1,2024_07_y24m07day03_hm01:53,1,x1,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4642,0,1,0.0707,0.1116,0.1823,18126,17670,0.9748,10.9122,0.2161,1.9415,1,17670,10.0000,10,17670,10,10,range_only,10.9122,,1.9415
20240703,2,2,2024_07_y24m07day03_hm02:53,8,x8,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6025,0,1,0.0133,0.1062,0.1195,2266,2082,0.9188,11.5149,0.3164,1.8824,1,2082,10.0000,10,2082,10,10,sigma_only,,0.3164,1.8824
20240703,2,2,2024_07_y24m07day03_hm02:53,8,x8,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6025,0,1,0.0133,0.1213,0.1346,2266,2082,0.9188,11.5149,0.3164,1.8824,1,2082,10.0000,10,2082,10,10,range_only,11.5149,,1.8824
20240703,2,2,2024_07_y24m07day03_hm02:53,4,x4,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5667,0,1,0.0316,0.2048,0.2365,4532,4176,0.9214,12.4774,0.2768,1.3809,1,4176,10.0000,10,4176,10,10,sigma_only,,0.2768,1.3809
20240703,2,2,2024_07_y24m07day03_hm02:53,4,x4,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5667,0,1,0.0316,0.0464,0.0780,4532,4176,0.9214,12.4774,0.2768,1.3809,1,4176,10.0000,10,4176,10,10,range_only,12.4774,,1.3809
20240703,2,2,2024_07_y24m07day03_hm02:53,2,x2,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5014,0,1,0.0406,0.2554,0.2960,9063,8353,0.9217,12.0474,0.2834,1.7535,1,8353,10.0000,10,8353,10,10,sigma_only,,0.2834,1.7535
20240703,2,2,2024_07_y24m07day03_hm02:53,2,x2,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5014,0,1,0.0406,0.0549,0.0955,9063,8353,0.9217,12.0474,0.2834,1.7535,1,8353,10.0000,10,8353,10,10,range_only,12.0474,,1.7535
20240703,2,2,2024_07_y24m07day03_hm02:53,1,x1,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4460,0,1,0.0773,0.2717,0.3491,18126,16698,0.9212,12.1609,0.2964,1.9717,1,16698,10.0000,10,16698,10,10,sigma_only,,0.2964,1.9717
20240703,2,2,2024_07_y24m07day03_hm02:53,1,x1,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4460,0,1,0.0773,0.1120,0.1894,18126,16698,0.9212,12.1609,0.2964,1.9717,1,16698,10.0000,10,16698,10,10,range_only,12.1609,,1.9717
20240703,2,3,2024_07_y24m07day03_hm03:53,8,x8,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6490,0,1,0.0195,0.0951,0.1147,2266,2114,0.9329,12.0474,0.2673,1.8784,1,2114,10.0000,10,2114,10,10,sigma_only,,0.2673,1.8784
