date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,true_smooth,fit_smooth,smooth,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_nugget,n_batches,n_tails,mean_m,max_m,largest_batch_n,total_conditioning_nominal,limit_A,profile_type,fixed_sigmasq,fixed_range,fixed_nugget
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.7856,0,1,0.0015,0.0035,0.0051,300,300,1.0000,12.9180,0.2570,0.9293,1,300,10.0000,10,300,10,10,sigma_only,,0.2570,0.9293
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.7856,0,1,0.0015,0.0031,0.0046,300,300,1.0000,12.9180,0.2570,0.9293,1,300,10.0000,10,300,10,10,range_only,12.9180,,0.9293
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6814,0,1,0.0104,0.1045,0.1149,1160,1160,1.0000,9.8093,0.3147,3.2589,1,1160,10.0000,10,1160,10,10,sigma_only,,0.3147,3.2589
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6814,0,1,0.0104,0.0737,0.0841,1160,1160,1.0000,9.8093,0.3147,3.2589,1,1160,10.0000,10,1160,10,10,range_only,9.8093,,3.2589
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5704,0,1,0.0374,0.2508,0.2882,4560,4531,0.9936,10.7286,0.2929,2.4922,1,4531,10.0000,10,4531,10,10,sigma_only,,0.2929,2.4922
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5704,0,1,0.0374,0.0551,0.0924,4560,4531,0.9936,10.7286,0.2929,2.4922,1,4531,10.0000,10,4531,10,10,range_only,10.7286,,2.4922
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4458,0,1,0.1103,0.3538,0.4641,18126,18067,0.9967,11.1422,0.2795,2.1918,1,18067,10.0000,10,18067,10,10,sigma_only,,0.2795,2.1918
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4458,0,1,0.1103,0.2258,0.3360,18126,18067,0.9967,11.1422,0.2795,2.1918,1,18067,10.0000,10,18067,10,10,range_only,11.1422,,2.1918
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.7105,0,1,0.0013,0.0034,0.0046,300,293,0.9767,11.4486,0.1698,0.0003,1,293,10.0000,10,293,10,10,sigma_only,,0.1698,0.0003
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.7105,0,1,0.0013,0.0039,0.0052,300,293,0.9767,11.4486,0.1698,0.0003,1,293,10.0000,10,293,10,10,range_only,11.4486,,0.0003
20240703,2,1,2024_07_y24m07day03_hm01:53,4,x4,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6826,0,1,0.1144,0.0824,0.1968,1160,1134,0.9776,11.7502,0.2003,0.7072,1,1134,10.0000,10,1134,10,10,sigma_only,,0.2003,0.7072
20240703,2,1,2024_07_y24m07day03_hm01:53,4,x4,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.6826,0,1,0.1144,0.0296,0.1440,1160,1134,0.9776,11.7502,0.2003,0.7072,1,1134,10.0000,10,1134,10,10,range_only,11.7502,,0.7072
20240703,2,1,2024_07_y24m07day03_hm01:53,2,x2,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5757,0,1,0.0863,0.2001,0.2863,4560,4437,0.9730,10.2301,0.2363,2.2633,1,4437,10.0000,10,4437,10,10,sigma_only,,0.2363,2.2633
20240703,2,1,2024_07_y24m07day03_hm01:53,2,x2,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5757,0,1,0.0863,0.0540,0.1402,4560,4437,0.9730,10.2301,0.2363,2.2633,1,4437,10.0000,10,4437,10,10,range_only,10.2301,,2.2633
20240703,2,1,2024_07_y24m07day03_hm01:53,1,x1,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4642,0,1,0.0717,0.3964,0.4681,18126,17670,0.9748,10.9122,0.2161,1.9415,1,17670,10.0000,10,17670,10,10,sigma_only,,0.2161,1.9415
20240703,2,1,2024_07_y24m07day03_hm01:53,1,x1,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4642,0,1,0.0717,0.2400,0.3117,18126,17670,0.9748,10.9122,0.2161,1.9415,1,17670,10.0000,10,17670,10,10,range_only,10.9122,,1.9415
20240703,2,2,2024_07_y24m07day03_hm02:53,8,x8,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.7051,0,1,0.0012,0.0037,0.0049,300,272,0.9067,10.9409,0.2949,1.0420,1,272,10.0000,10,272,10,10,sigma_only,,0.2949,1.0420
20240703,2,2,2024_07_y24m07day03_hm02:53,8,x8,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.7051,0,1,0.0012,0.0036,0.0049,300,272,0.9067,10.9409,0.2949,1.0420,1,272,10.0000,10,272,10,10,range_only,10.9409,,1.0420
20240703,2,2,2024_07_y24m07day03_hm02:53,4,x4,nugget_free,0.3000,0.3000,0.3000,latlon,sigma_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.7069,0,1,0.0115,0.2453,0.2568,1160,1064,0.9172,12.1462,0.2910,1.9566,1,1064,10.0000,10,1064,10,10,sigma_only,,0.2910,1.9566
20240703,2,2,2024_07_y24m07day03_hm02:53,4,x4,nugget_free,0.3000,0.3000,0.3000,latlon,range_only,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid 2D every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.7069,0,1,0.0115,0.0130,0.0245,1160,1064,0.9172,12.1462,0.2910,1.9566,1,1064,10.0000,10,1064,10,10,range_only,12.1462,,1.9566
