date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,true_smooth,fit_smooth,smooth,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_nugget,n_batches,n_tails,mean_m,max_m,largest_batch_n,total_conditioning_nominal,limit_A
20240703,2,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,0.5000,0.3000,0.3000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5529,1,2,0.0151,0.4533,0.4685,2266,2259,0.9969,13.2202,0.2818,0.0001,1,2259,10.0000,10,2259,10,10
20240703,2,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,0.5000,0.3000,0.3000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4774,1,2,0.0209,1.1745,1.1954,4532,4518,0.9969,13.3814,0.2900,0.0006,1,4518,10.0000,10,4518,10,10
20240703,2,0,2024_07_y24m07day03_hm00:53,2,x2,nugget_free,0.5000,0.3000,0.3000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4227,0,1,0.0461,1.2363,1.2823,9063,9033,0.9967,12.8669,0.3419,0.5757,1,9033,10.0000,10,9033,10,10
20240703,2,0,2024_07_y24m07day03_hm00:53,1,x1,nugget_free,0.5000,0.3000,0.3000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.3481,0,1,0.0892,2.1026,2.1918,18126,18067,0.9967,12.6157,0.3624,0.8164,1,18067,10.0000,10,18067,10,10
20240703,2,1,2024_07_y24m07day03_hm01:53,8,x8,nugget_free,0.5000,0.3000,0.3000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5596,1,2,0.0101,0.7166,0.7267,2266,2208,0.9744,12.4473,0.2419,0.0001,1,2208,10.0000,10,2208,10,10
20240703,2,1,2024_07_y24m07day03_hm01:53,4,x4,nugget_free,0.5000,0.3000,0.3000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4853,1,2,0.0558,1.1554,1.2112,4532,4422,0.9757,12.9093,0.2639,0.0000,1,4422,10.0000,10,4422,10,10
20240703,2,1,2024_07_y24m07day03_hm01:53,2,x2,nugget_free,0.5000,0.3000,0.3000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4338,0,1,0.0400,1.1514,1.1913,9063,8840,0.9754,12.4994,0.2786,0.3537,1,8840,10.0000,10,8840,10,10
20240703,2,1,2024_07_y24m07day03_hm01:53,1,x1,nugget_free,0.5000,0.3000,0.3000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.3126,7,8,0.0789,2.7162,2.7952,18126,17670,0.9748,12.2733,0.2906,0.6101,1,17670,10.0000,10,17670,10,10
20240703,2,2,2024_07_y24m07day03_hm02:53,8,x8,nugget_free,0.5000,0.3000,0.3000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.5308,1,2,0.0231,0.8510,0.8741,2266,2082,0.9188,13.8607,0.3460,0.0001,1,2082,10.0000,10,2082,10,10
20240703,2,2,2024_07_y24m07day03_hm02:53,4,x4,nugget_free,0.5000,0.3000,0.3000,latlon,full,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,"regular-grid every-k thinning, then max-min hybrid ordering; covariance on Source_Latitude/Source_Longitude",1.4687,1,2,0.0389,0.9840,1.0229,4532,4176,0.9214,14.5083,0.3540,0.0003,1,4176,10.0000,10,4176,10,10
