date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,true_smooth,fit_smooth,smooth,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_nugget,n_clusters,block_shape_lat,block_shape_lon,n_neighbor_blocks,max_points_per_cluster,n_target_blocks,n_target_points,n_batches,max_cond_points,median_cond_points,median_target_size,max_target_size,target_chunk_size,cluster_block_shape,cluster_neighbor_blocks,total_conditioning_nominal,profile_type,fixed_sigmasq,fixed_range,fixed_nugget
20240703,2,0,y24m07day03_hm00:53,8,x8,nugget_free,0.3000,0.5000,0.5000,latlon,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6163,0,1,0.0015,0.0029,0.0044,300,300,1.0000,1.7235,0.5327,7.7707,20,4,4,2,16,20,300,2,32,32.0000,14.0000,16,128,4x4,2,32,sigma_only,,0.5327,7.7707
20240703,2,0,y24m07day03_hm00:53,8,x8,nugget_free,0.3000,0.5000,0.5000,latlon,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6163,0,1,0.0015,0.0021,0.0036,300,300,1.0000,1.7235,0.5327,7.7707,20,4,4,2,16,20,300,2,32,32.0000,14.0000,16,128,4x4,2,32,range_only,1.7235,,7.7707
20240703,2,0,y24m07day03_hm00:53,4,x4,nugget_free,0.3000,0.5000,0.5000,latlon,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6068,0,1,0.0029,0.0043,0.0072,1160,1160,1.0000,5.1547,0.3654,5.5233,80,4,4,2,16,80,1160,2,32,32.0000,10.0000,16,128,4x4,2,32,sigma_only,,0.3654,5.5233
20240703,2,0,y24m07day03_hm00:53,4,x4,nugget_free,0.3000,0.5000,0.5000,latlon,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6068,0,1,0.0029,0.0042,0.0071,1160,1160,1.0000,5.1547,0.3654,5.5233,80,4,4,2,16,80,1160,2,32,32.0000,10.0000,16,128,4x4,2,32,range_only,5.1547,,5.5233
20240703,2,0,y24m07day03_hm00:53,2,x2,nugget_free,0.3000,0.5000,0.5000,latlon,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.4827,0,1,0.0078,0.0153,0.0231,4560,4531,0.9936,7.6594,0.2079,2.7225,300,4,4,2,16,300,4531,6,32,32.0000,12.5000,16,128,4x4,2,32,sigma_only,,0.2079,2.7225
20240703,2,0,y24m07day03_hm00:53,2,x2,nugget_free,0.3000,0.5000,0.5000,latlon,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.4827,0,1,0.0078,0.0176,0.0253,4560,4531,0.9936,7.6594,0.2079,2.7225,300,4,4,2,16,300,4531,6,32,32.0000,12.5000,16,128,4x4,2,32,range_only,7.6594,,2.7225
20240703,2,0,y24m07day03_hm00:53,1,x1,nugget_free,0.3000,0.5000,0.5000,latlon,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.3402,0,1,0.0850,0.2683,0.3532,18126,18067,0.9967,7.8629,0.1870,2.3610,1160,4,4,2,16,1160,18067,6,32,32.0000,10.5000,16,128,4x4,2,32,sigma_only,,0.1870,2.3610
20240703,2,0,y24m07day03_hm00:53,1,x1,nugget_free,0.3000,0.5000,0.5000,latlon,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.3402,0,1,0.0850,0.0506,0.1356,18126,18067,0.9967,7.8629,0.1870,2.3610,1160,4,4,2,16,1160,18067,6,32,32.0000,10.5000,16,128,4x4,2,32,range_only,7.8629,,2.3610
20240703,2,1,y24m07day03_hm01:53,8,x8,nugget_free,0.3000,0.5000,0.5000,latlon,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.7032,0,1,0.0012,0.0032,0.0044,300,292,0.9733,5.5088,0.2246,5.7284,20,4,4,2,16,20,292,5,32,32.0000,12.0000,16,128,4x4,2,32,sigma_only,,0.2246,5.7284
20240703,2,1,y24m07day03_hm01:53,8,x8,nugget_free,0.3000,0.5000,0.5000,latlon,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.7032,0,1,0.0012,0.0026,0.0037,300,292,0.9733,5.5088,0.2246,5.7284,20,4,4,2,16,20,292,5,32,32.0000,12.0000,16,128,4x4,2,32,range_only,5.5088,,5.7284
20240703,2,1,y24m07day03_hm01:53,4,x4,nugget_free,0.3000,0.5000,0.5000,latlon,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6243,0,1,0.0030,0.0072,0.0102,1160,1124,0.9690,7.3891,0.2389,3.6217,80,4,4,2,16,80,1124,7,32,32.0000,11.0000,16,128,4x4,2,32,sigma_only,,0.2389,3.6217
20240703,2,1,y24m07day03_hm01:53,4,x4,nugget_free,0.3000,0.5000,0.5000,latlon,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6243,0,1,0.0030,0.0065,0.0095,1160,1124,0.9690,7.3891,0.2389,3.6217,80,4,4,2,16,80,1124,7,32,32.0000,11.0000,16,128,4x4,2,32,range_only,7.3891,,3.6217
20240703,2,1,y24m07day03_hm01:53,2,x2,nugget_free,0.3000,0.5000,0.5000,latlon,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5072,0,1,0.0079,0.0189,0.0268,4560,4393,0.9634,7.7792,0.2448,3.3275,300,4,4,2,16,300,4393,12,32,32.0000,10.5000,16,128,4x4,2,32,sigma_only,,0.2448,3.3275
20240703,2,1,y24m07day03_hm01:53,2,x2,nugget_free,0.3000,0.5000,0.5000,latlon,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5072,0,1,0.0079,0.0192,0.0271,4560,4393,0.9634,7.7792,0.2448,3.3275,300,4,4,2,16,300,4393,12,32,32.0000,10.5000,16,128,4x4,2,32,range_only,7.7792,,3.3275
20240703,2,1,y24m07day03_hm01:53,1,x1,nugget_free,0.3000,0.5000,0.5000,latlon,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.3449,0,1,0.0692,0.2666,0.3358,18126,17492,0.9650,8.2968,0.1959,2.3561,1160,4,4,2,16,1154,17492,16,32,32.0000,8.5000,16,128,4x4,2,32,sigma_only,,0.1959,2.3561
20240703,2,1,y24m07day03_hm01:53,1,x1,nugget_free,0.3000,0.5000,0.5000,latlon,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.3449,0,1,0.0692,0.0549,0.1242,18126,17492,0.9650,8.2968,0.1959,2.3561,1160,4,4,2,16,1154,17492,16,32,32.0000,8.5000,16,128,4x4,2,32,range_only,8.2968,,2.3561
20240703,2,2,y24m07day03_hm02:53,8,x8,nugget_free,0.3000,0.5000,0.5000,latlon,sigma_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5716,0,1,0.0012,0.0043,0.0055,300,269,0.8967,5.6298,0.2731,3.2179,20,4,4,2,16,20,269,7,32,32.0000,12.0000,16,128,4x4,2,32,sigma_only,,0.2731,3.2179
20240703,2,2,y24m07day03_hm02:53,8,x8,nugget_free,0.3000,0.5000,0.5000,latlon,range_only,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5716,0,1,0.0012,0.0038,0.0049,300,269,0.8967,5.6298,0.2731,3.2179,20,4,4,2,16,20,269,7,32,32.0000,12.0000,16,128,4x4,2,32,range_only,5.6298,,3.2179
