date_str,day_idx,hour_idx,time_key,resolution_stride,resolution_label,variant,true_smooth,fit_smooth,smooth,mean_design,fit_type,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_nugget,n_clusters,block_shape_lat,block_shape_lon,n_neighbor_blocks,max_points_per_cluster,n_target_blocks,n_target_points,n_batches,max_cond_points,median_cond_points,median_target_size,max_target_size,target_chunk_size,cluster_block_shape,cluster_neighbor_blocks,total_conditioning_nominal
20240703,2,0,y24m07day03_hm00:53,8,x8,nugget_free,0.5000,0.3000,0.3000,latlon,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6113,1,2,0.0015,0.0910,0.0925,300,300,1.0000,2.9016,0.3652,6.4890,20,4,4,2,16,20,300,2,32,32.0000,14.0000,16,128,4x4,2,32
20240703,2,0,y24m07day03_hm00:53,4,x4,nugget_free,0.5000,0.3000,0.3000,latlon,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6147,0,1,0.0027,0.0809,0.0836,1160,1160,1.0000,8.9392,0.2802,1.7149,80,4,4,2,16,80,1160,2,32,32.0000,10.0000,16,128,4x4,2,32
20240703,2,0,y24m07day03_hm00:53,2,x2,nugget_free,0.5000,0.3000,0.3000,latlon,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.3862,1,2,0.0074,0.5897,0.5971,4560,4531,0.9936,10.6030,0.2677,0.0000,300,4,4,2,16,300,4531,6,32,32.0000,12.5000,16,128,4x4,2,32
20240703,2,0,y24m07day03_hm00:53,1,x1,nugget_free,0.5000,0.3000,0.3000,latlon,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.1783,1,2,0.1014,2.7013,2.8027,18126,18067,0.9967,10.2643,0.2698,0.0001,1160,4,4,2,16,1160,18067,6,32,32.0000,10.5000,16,128,4x4,2,32
20240703,2,1,y24m07day03_hm01:53,8,x8,nugget_free,0.5000,0.3000,0.3000,latlon,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.6952,1,2,0.0011,0.1004,0.1015,300,292,0.9733,9.4843,0.1945,1.6727,20,4,4,2,16,20,292,5,32,32.0000,12.0000,16,128,4x4,2,32
20240703,2,1,y24m07day03_hm01:53,4,x4,nugget_free,0.5000,0.3000,0.3000,latlon,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5864,1,2,0.0028,0.3850,0.3878,1160,1124,0.9690,10.9893,0.2374,0.0000,80,4,4,2,16,80,1124,7,32,32.0000,11.0000,16,128,4x4,2,32
20240703,2,1,y24m07day03_hm01:53,2,x2,nugget_free,0.5000,0.3000,0.3000,latlon,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.4047,1,2,0.0083,0.7744,0.7828,4560,4393,0.9634,11.1313,0.2761,0.0000,300,4,4,2,16,300,4393,12,32,32.0000,10.5000,16,128,4x4,2,32
20240703,2,1,y24m07day03_hm01:53,1,x1,nugget_free,0.5000,0.3000,0.3000,latlon,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.1817,1,2,0.0754,2.3187,2.3941,18126,17492,0.9650,10.8000,0.2938,0.0001,1160,4,4,2,16,1154,17492,16,32,32.0000,8.5000,16,128,4x4,2,32
20240703,2,2,y24m07day03_hm02:53,8,x8,nugget_free,0.5000,0.3000,0.3000,latlon,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5721,2,3,0.0011,0.2706,0.2717,300,269,0.8967,8.9272,0.2295,0.0001,20,4,4,2,16,20,269,7,32,32.0000,12.0000,16,128,4x4,2,32
20240703,2,2,y24m07day03_hm02:53,4,x4,nugget_free,0.5000,0.3000,0.3000,latlon,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.5971,0,1,0.0028,0.1406,0.1433,1160,1059,0.9129,7.6637,0.3254,2.3705,80,4,4,2,16,79,1059,11,32,32.0000,11.0000,16,128,4x4,2,32
20240703,2,2,y24m07day03_hm02:53,2,x2,nugget_free,0.5000,0.3000,0.3000,latlon,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.3696,1,2,0.0076,0.7574,0.7650,4560,4138,0.9075,10.0093,0.2627,0.0189,300,4,4,2,16,296,4138,16,32,32.0000,8.5000,16,128,4x4,2,32
20240703,2,2,y24m07day03_hm02:53,1,x1,nugget_free,0.5000,0.3000,0.3000,latlon,full,ClusterSpaceIso_4x4_B2_exactloc,cluster_space_iso_4x4_b2_exactloc,"regular-grid 2D every-k thinning, fixed thinned grid order; 4x4 cluster max-min ordering on cluster centroids; covariance on Source_Latitude/Source_Longitude",1.1821,1,2,0.0728,1.8013,1.8741,18126,16512,0.9110,10.5492,0.2955,0.0666,1160,4,4,2,16,1136,16512,16,32,32.0000,8.5000,16,128,4x4,2,32
