quantity,value
screened_pair_count,168
matched_pair_count,28
spatial_orientation_count,4
strict_tie_count,14
maximum_deltaH_deviation,3.6637359812630166e-15
maximum_H0_deviation,4.071469068556155e-07
lambda_minimum,-0.19027520927526703
lambda_maximum,-0.1902752055116243
lambda_gap,3.7636427308029852e-09
maximum_H0_only_eigenvalue_error,1.6653345369377348e-16
fixed_H0_lambda_spread,1.9428902930940239e-16
maximum_time_translation_span,1.9428902930940239e-16
axis_symmetrized_lambda_spread,1.9428902930940239e-16
truth_range_lon_over_lat,1.4999999999999998
fitted_range_lon_over_lat,1.5000001074316183
fitted_range_ratio_relative_error,7.1621079067440974e-08
axis_symmetrized_range_lat,0.13229506463175103
axis_symmetrized_range_lon,0.1984425969476265
