radius_squared,radius,displacement_count,K_delta_1_mean,K_delta_1_directional_spread,K_delta_M_mean,K_delta_M_directional_spread,delta_K_delta_mean,delta_K_delta_minimum,delta_K_delta_maximum,delta_K_delta_directional_spread
0,0,1,7.8693868077473326,0,7.8693868077473352,0,-2.6645352591003757e-15,-2.6645352591003757e-15,-2.6645352591003757e-15,0
1,1,4,0.81915091639368842,2.2204460492503131e-16,2.8949856204602495,4.4408920985006262e-16,-2.075834704066561,-2.075834704066561,-2.075834704066561,0
2,1.4142135623730951,4,0.39973148571568728,5.5511151231257827e-17,1.9131796222129829,0,-1.5134481364972956,-1.5134481364972956,-1.5134481364972956,0
4,2,4,0.16158143836038105,6.6613381477509392e-16,1.0650056922542781,2.2204460492503131e-16,-0.90342425389389713,-0.90342425389389736,-0.90342425389389691,4.4408920985006262e-16
5,2.2360679774997898,8,0.11483591244470376,6.2450045135165055e-16,0.84106373801748369,0,-0.72622782557277998,-0.72622782557278032,-0.72622782557277965,6.6613381477509392e-16
8,2.8284271247461903,4,0.050720422636291174,6.2450045135165055e-17,0.46512598213850409,0,-0.41440555950221292,-0.41440555950221297,-0.41440555950221292,5.5511151231257827e-17
9,3,4,0.040364118570057006,4.4408920985006262e-16,0.39179369891090876,4.9960036108132044e-16,-0.35142958034085181,-0.35142958034085181,-0.35142958034085175,5.5511151231257827e-17
10,3.1622776601683795,8,0.032612826764289837,5.5511151231257827e-16,0.33310500240043028,4.4408920985006262e-16,-0.30049217563614045,-0.3004921756361405,-0.30049217563614039,1.1102230246251565e-16
13,3.6055512754639891,8,0.01843119185033389,3.0531133177191805e-16,0.21383060742847221,3.0531133177191805e-16,-0.19539941557813834,-0.19539941557813834,-0.19539941557813831,2.7755575615628914e-17
16,4,4,0.011227251910420552,1.3877787807814457e-16,0.14413284700983736,1.3877787807814457e-16,-0.13290559509941682,-0.13290559509941682,-0.13290559509941682,0
17,4.1231056256176606,8,0.0096370227498480954,0,0.12743797776619906,5.5511151231257827e-17,-0.11780095501635096,-0.11780095501635099,-0.11780095501635093,5.5511151231257827e-17
18,4.2426406871192848,4,0.0083154937848926719,0,0.11307990987801965,0,-0.10476441609312698,-0.10476441609312698,-0.10476441609312698,0
20,4.4721359549995796,8,0.0062778891044926169,9.7144514654701197e-17,0.089891147667478716,1.1102230246251565e-16,-0.083613258562986098,-0.083613258562986112,-0.083613258562986098,1.3877787807814457e-17
25,5,8,0.0033190361633317726,3.4694469519536142e-17,0.053023511212428001,3.4694469519536142e-17,-0.049704475049096225,-0.049704475049096225,-0.049704475049096225,0
32,5.6568542494923806,4,0.0015240474623142708,0,0.027491618419659372,0,-0.025967570957345101,-0.025967570957345101,-0.025967570957345101,0
