pair,time_start,time_end,null_variance,true_variance,variance_ratio,g_score
1,0,1,11.4506360809,12.2844414801,1.07281738703,0.00126456351318
2,0,1,11.7360224531,12.2826111307,1.04657358826,0.000526004688189
3,0,1,11.6280075097,12.2237004376,1.05122914888,0.000634525684259
4,0,1,11.8445699321,12.3315190511,1.04111159136,0.000411305580596
5,0,1,11.6404987296,12.2343259294,1.05101389671,0.000629291266637
6,0,1,11.7875036291,12.4732618376,1.0581767124,0.000814683979121
7,0,1,11.3944391455,12.2839339628,1.07806394031,0.00144857787534
8,0,1,11.450902689,12.3104163558,1.07506077819,0.00134179017865
9,0,1,11.8531088301,12.1599687241,1.02588855788,0.000164717540723
10,0,1,11.5746344619,12.5339612297,1.08288181981,0.00162799036384
11,0,1,11.849639707,12.3316409287,1.04067644532,0.000402757705659
12,0,1,11.8373010276,12.6441283741,1.06815973883,0.00111122064156
13,0,1,11.3988278469,12.30903436,1.0798508869,0.00151396149051
14,0,1,11.4434929173,12.3054122501,1.07531960206,0.0013508402125
15,0,1,11.8027532064,12.4497612073,1.05481839615,0.000724890194987
16,0,1,11.4416206993,12.2981199284,1.07485820861,0.00133472734852
17,0,1,11.8277981303,12.4689498844,1.05420719453,0.000709092239736
18,0,1,11.5520926991,12.3600881044,1.06994363933,0.00116883288356
19,0,1,11.6344703496,12.217024872,1.05007142611,0.000606619693687
20,0,1,11.8491989772,12.1619981666,1.02639834051,0.000171211499124
21,0,1,11.8300328889,12.2824398895,1.03824224369,0.000356555375154
22,0,1,11.8347323799,12.3255804676,1.0414752165,0.000418515515823
23,0,1,11.6274638996,12.2208918788,1.05103675095,0.000629846032195
24,0,1,11.8438455162,12.323791515,1.04052281822,0.000399760777981
25,0,1,11.6024440015,12.2021888078,1.05169124765,0.000645833619202
26,0,1,11.9592929905,12.6373801028,1.05669959862,0.00077456699904
27,0,1,11.4340313135,12.3074595328,1.07638847536,0.00138852109936
28,0,1,11.6036696508,12.2127349338,1.05248902298,0.000665582966422
29,0,1,11.8464515253,12.1560593054,1.02613506495,0.000167842307078
30,0,1,12.5719753439,12.5342817581,0.997001776988,2.25183744125e-06
31,0,1,11.3771196015,12.2907693635,1.08030589411,0.00153082889534
32,0,1,11.4205348386,12.3011569086,1.07710865406,0.00141418756226
33,0,1,11.4466284956,12.309589585,1.07538997966,0.00135330604463
34,0,1,11.6395686025,12.4067916186,1.06591507317,0.00104070964805
35,0,1,11.8087697299,12.4477234146,1.05410840412,0.000706554540488
36,0,1,11.4594071429,12.2996286175,1.07332154833,0.00128172865936
37,0,1,11.8562673887,12.1496330113,1.02474350594,0.000150581385906
38,0,1,11.8440735606,12.1474459947,1.02561385933,0.00016126942485
39,0,1,11.4240622474,12.2844199296,1.0753110114,0.00135053936655
40,0,1,11.8304836375,12.2905692129,1.03888983659,0.00036857920019
41,0,1,11.4379819235,12.2996075679,1.0753302156,0.00135121194363
42,0,1,11.5997750061,12.20514487,1.05218806947,0.00065809893613
43,0,1,11.4067720523,12.5724766082,1.10219407827,0.00244563423163
44,0,1,11.8349324704,12.3196573115,1.04095712775,0.00040826134141
45,0,1,11.6242613527,12.2115583882,1.05052338533,0.000617441566379
46,0,1,11.8125725872,12.1545657874,1.02895162741,0.000205590491331
47,0,1,11.4418429007,12.3125193343,1.07609582138,0.0013781551393
48,0,1,11.7366539359,12.284144504,1.04664792633,0.000527660009147
49,0,1,11.3794064008,12.2922837303,1.08022187602,0.00152770761238
50,0,1,12.0066282313,12.3445609931,1.02814551723,0.000194403244516
1,1,2,11.5168116685,12.1191217756,1.0522983378,0.000660836312097
2,1,2,11.1169002684,12.3801832608,1.11363626208,0.00300284454069
3,1,2,12.4229781677,12.5790768596,1.01256531966,3.91442489593e-05
4,1,2,12.3530970706,12.5461355589,1.01562672804,6.04200253621e-05
5,1,2,11.3154019097,12.2433900987,1.08201106743,0.00159482918968
6,1,2,13.326959257,12.9123984798,0.968893070868,0.0002470470149
7,1,2,11.4671717049,12.2736946765,1.07033320791,0.00118159932601
8,1,2,11.441205211,12.2753820078,1.07290987106,0.00126770404382
9,1,2,12.2467821863,12.6406691938,1.03216248983,0.000253191889525
