k,heldout_day_count,projected_dimension,training_cumulative_kl,training_cumulative_kl_fraction,heldout_oracle_kl,heldout_null_expected_llr,observed_llr,null_critical,bootstrap_p_value,oracle_power,p_value_mc_se,power_mc_se,null_exceedances,alternative_rejections,minimum_heldout_eigenvalue,maximum_heldout_eigenvalue,replicates,alpha,master_random_seed,derived_k_seed
1,2,2,0.0171787036574,0.0110225564278,0.0329875273192,-0.0279907188911,-0.231984431857,0.405272125448,0.936501269975,0.09852,0.0010905544645,0.00133277011971,46825,4926,1.27729173093,1.28130233403,50000,0.05,20260922,125539261
2,2,4,0.0342581770602,0.0219814426798,0.0654189788416,-0.0555458744091,-0.0367728149119,0.541189577283,0.387712245755,0.11858,0.00217892961113,0.00144581315252,19385,5929,1.27552277304,1.28311102796,50000,0.05,20260922,2554522836
4,2,8,0.0650466361022,0.0417365728622,0.120577018309,-0.102977443237,-0.165867667628,0.687184554705,0.492270154597,0.13884,0.00223577839146,0.00154637288129,24613,6942,1.24424594096,1.28413675914,50000,0.05,20260922,2830039825
8,2,16,0.119375888559,0.0765964355634,0.21719917195,-0.19974655124,-0.151208780982,0.836791730355,0.448611027779,0.17432,0.00222420424624,0.00169665870227,22430,8716,0.79874172084,1.28448777587,50000,0.05,20260922,874076425
12,2,24,0.167525680033,0.107491304239,0.303263562317,-0.285149735192,0.0353876682203,0.947151521318,0.318433631327,0.19828,0.00208340736862,0.00178305940226,15921,9914,0.795995594937,1.28464772212,50000,0.05,20260922,1692250079
20,2,40,0.252538606716,0.162039062914,0.454348828533,-0.437220567827,-0.586865503409,1.07614462431,0.570848583028,0.2494,0.0022134840355,0.00193493999907,28542,12470,0.794717202,1.28491400132,50000,0.05,20260922,2835884842
40,2,80,0.423034730056,0.271436324647,0.733522802072,-0.721039216939,0.133074916573,1.23861757862,0.235835283294,0.32992,0.00189849097011,0.0021027258195,11791,16496,0.793880417369,1.28562345,50000,0.05,20260922,1765415841
80,2,160,0.678462215071,0.435329009621,1.09659888084,-1.10337974116,-1.12233743507,1.32031707874,0.513129737405,0.43494,0.00223527454038,0.00221705749317,25656,21747,0.791945768703,1.28632542647,50000,0.05,20260922,3643287281
100,2,200,0.777442630051,0.498838878067,1.22329922794,-1.23616231858,-0.435069428135,1.34978293266,0.308833823324,0.46088,0.00206616177426,0.00222921342899,15441,23044,0.790993729314,1.28665902058,50000,0.05,20260922,3069876158
200,2,400,1.1304709747,0.725356252548,1.69576985557,-1.72453093811,-0.834862509186,1.35514819198,0.319653606928,0.5781,0.00208552549296,0.00220862124412,15982,28905,0.788642247874,1.28747462004,50000,0.05,20260922,565538076
350,2,700,1.39850443506,0.897337445093,2.26939771016,-2.3072641931,-0.506962757674,1.20378020576,0.205455890882,0.6898,0.00180687854032,0.00206869988157,10272,34490,0.785159709958,1.29018123204,50000,0.05,20260922,3722217779
800,2,1600,1.55850448759,1,4.1294854817,-4.16871172728,3.09337414314,0.602497221995,0.00577988440231,0.88924,0.000339009215549,0.00140351147056,288,44462,0.774298499407,1.31111562415,50000,0.05,20260922,2234748752
