mode,time_index,anchor_rank,grid_latitude,grid_longitude,source_latitude,source_longitude,training_eigenvalue,training_g_score,weight
1,0,1,-0.464,126.779,-0.46375933,126.77201,1.51602998218,0.0499674589954,3.03832845479e-06
1,0,2,-0.464,126.716,-0.46362886,126.7098,1.51602998218,0.0499674589954,1.01739610754e-06
1,0,3,-2.928,122.558,-2.9345207,122.564384,1.51602998218,0.0499674589954,5.61831312153e-12
1,0,4,-2.928,122.495,-2.9345343,122.50184,1.51602998218,0.0499674589954,3.40536999334e-13
1,0,5,-2.972,130.496,-2.9686503,130.46918,1.51602998218,0.0499674589954,5.2607183687e-07
1,0,6,-2.972,130.433,-2.9683766,130.40697,1.51602998218,0.0499674589954,3.55396959636e-06
1,0,7,1.384,122.495,1.3876026,122.494,1.51602998218,0.0499674589954,-3.12972840086e-11
1,0,8,1.384,122.432,1.3877084,122.43135,1.51602998218,0.0499674589954,-1.69881688009e-11
1,0,9,1.428,130.811,1.4357806,130.83119,1.51602998218,0.0499674589954,-0.000224303777762
1,0,10,1.428,130.748,1.4358181,130.76894,1.51602998218,0.0499674589954,-0.00078786463508
1,0,11,-2.928,126.338,-2.9376993,126.3664,1.51602998218,0.0499674589954,-3.02310835566e-07
1,0,12,-2.928,126.275,-2.9378376,126.30433,1.51602998218,0.0499674589954,-8.19145975845e-08
1,0,13,-0.772,123.44,-0.761767,123.40971,1.51602998218,0.0499674589954,-4.24344445214e-09
1,0,14,-0.772,123.377,-0.76164806,123.34713,1.51602998218,0.0499674589954,-4.0020947034e-11
1,0,15,-0.772,130.685,-0.7765644,130.68044,1.51602998218,0.0499674589954,0.000547008853149
1,0,16,-0.772,130.622,-0.7765064,130.61845,1.51602998218,0.0499674589954,0.00061006955971
1,0,17,1.428,125.582,1.4259809,125.61133,1.51602998218,0.0499674589954,1.18563363376e-08
1,0,18,1.428,125.519,1.4260303,125.54902,1.51602998218,0.0499674589954,-1.33003002332e-08
1,0,19,-1.828,128.48,-1.8345116,128.49457,1.51602998218,0.0499674589954,-5.10694432893e-06
1,0,20,-1.828,128.417,-1.8342798,128.43245,1.51602998218,0.0499674589954,4.84144275318e-06
1,0,21,1.032,128.039,1.0296348,128.03096,1.51602998218,0.0499674589954,-2.52898420102e-05
1,0,22,1.032,127.976,1.0296649,127.96873,1.51602998218,0.0499674589954,-7.62350483817e-06
1,0,23,-1.96,124.637,-1.9570199,124.639305,1.51602998218,0.0499674589954,3.780052606e-08
1,0,24,-1.96,124.574,-1.9571369,124.57698,1.51602998218,0.0499674589954,1.68077542869e-08
1,0,25,-0.288,128.795,-0.29491684,128.82362,1.51602998218,0.0499674589954,0.000333664700719
1,0,26,-0.288,128.732,-0.29484048,128.76157,1.51602998218,0.0499674589954,0.00014730514422
1,0,27,0.504,124.07,0.49559414,124.0469,1.51602998218,0.0499674589954,2.28066693055e-09
1,0,28,0.504,124.007,0.49564362,123.98444,1.51602998218,0.0499674589954,1.74498984481e-10
1,0,29,-2.972,128.732,-2.964096,128.72902,1.51602998218,0.0499674589954,-2.1522943165e-08
1,0,30,-2.972,128.669,-2.9640381,128.66666,1.51602998218,0.0499674589954,5.35132730673e-07
1,0,31,0.328,130.244,0.33055383,130.25868,1.51602998218,0.0499674589954,0.0280053033888
1,0,32,0.328,130.181,0.3307339,130.19666,1.51602998218,0.0499674589954,0.0044317212959
1,0,33,-1.564,126.212,-1.5698462,126.19939,1.51602998218,0.0499674589954,1.07036028941e-06
1,0,34,-1.564,126.149,-1.5697756,126.137184,1.51602998218,0.0499674589954,-7.55709100539e-08
1,0,35,-0.64,125.015,-0.634458,125.03005,1.51602998218,0.0499674589954,2.99257050748e-08
1,0,36,-0.64,124.952,-0.634418,124.96794,1.51602998218,0.0499674589954,-2.77586624849e-08
1,0,37,0.416,125.96,0.42649144,125.974556,1.51602998218,0.0499674589954,3.8850038057e-09
1,0,38,0.416,125.897,0.42670426,125.91262,1.51602998218,0.0499674589954,6.9134560772e-08
1,0,39,-2.972,124.322,-2.9782846,124.312004,1.51602998218,0.0499674589954,4.03927192322e-10
1,0,40,-2.972,124.259,-2.9781637,124.24954,1.51602998218,0.0499674589954,7.58380896239e-13
1,0,41,1.252,129.425,1.2437054,129.40002,1.51602998218,0.0499674589954,7.63945639884e-05
1,0,42,1.252,129.362,1.2436914,129.33786,1.51602998218,0.0499674589954,7.8808846656e-06
1,0,43,1.428,123.881,1.4291255,123.86809,1.51602998218,0.0499674589954,1.8939735114e-10
1,0,44,1.428,123.818,1.4292443,123.805786,1.51602998218,0.0499674589954,-3.00305860967e-10
1,0,45,-0.992,127.913,-0.9868645,127.88385,1.51602998218,0.0499674589954,-2.10479098303e-05
1,0,46,-0.992,127.85,-0.98644376,127.82169,1.51602998218,0.0499674589954,-4.26570671951e-05
1,0,47,-2.488,127.535,-2.4831252,127.554184,1.51602998218,0.0499674589954,9.86821605834e-07
1,0,48,-2.488,127.472,-2.4828603,127.49202,1.51602998218,0.0499674589954,1.36446853372e-06
1,0,49,-1.652,130.811,-1.6445978,130.79485,1.51602998218,0.0499674589954,-6.40181010695e-05
1,0,50,-1.652,130.748,-1.6445295,130.7326,1.51602998218,0.0499674589954,-0.000112005032035
1,0,51,0.064,122.936,0.06285566,122.91994,1.51602998218,0.0499674589954,1.07775157852e-09
1,0,52,0.064,122.873,0.08463891,122.85768,1.51602998218,0.0499674589954,5.71179304721e-10
1,0,53,-1.08,129.173,-1.0767021,129.18684,1.51602998218,0.0499674589954,-0.000213905058581
1,0,54,-1.08,129.11,-1.0765488,129.12492,1.51602998218,0.0499674589954,-0.000134206549459
1,0,55,-2.312,129.803,-2.3151217,129.79308,1.51602998218,0.0499674589954,-1.86021328544e-07
1,0,56,-2.312,129.74,-2.3148413,129.73099,1.51602998218,0.0499674589954,-3.21810715358e-06
1,0,57,0.328,127.157,0.33771077,127.15381,1.51602998218,0.0499674589954,-3.6786364975e-06
1,0,58,0.328,127.094,0.33787403,127.091736,1.51602998218,0.0499674589954,1.86525470962e-07
1,0,59,1.428,126.779,1.4231304,126.7921,1.51602998218,0.0499674589954,3.50887124099e-07
1,0,60,1.428,126.716,1.4232723,126.72984,1.51602998218,0.0499674589954,-5.07858335195e-08
1,0,61,0.504,129.11,0.50659037,129.08124,1.51602998218,0.0499674589954,-0.000718506261583
1,0,62,0.504,129.047,0.50678426,129.01909,1.51602998218,0.0499674589954,-6.04941446875e-05
1,0,63,-1.696,127.346,-1.7013117,127.31583,1.51602998218,0.0499674589954,3.21280951157e-06
1,0,64,-1.696,127.283,-1.7013052,127.25377,1.51602998218,0.0499674589954,5.84601802245e-06
1,0,65,-1.212,124.385,-1.2192408,124.40059,1.51602998218,0.0499674589954,-4.16851691326e-08
1,0,66,-1.212,124.322,-1.21901,124.33852,1.51602998218,0.0499674589954,-4.98302942198e-09
1,0,67,0.768,123.062,0.7574131,123.05149,1.51602998218,0.0499674589954,-5.2712172767e-10
1,0,68,0.768,122.999,0.7573915,122.98919,1.51602998218,0.0499674589954,-1.18752861571e-10
1,0,69,-1.036,122.495,-1.0439198,122.46938,1.51602998218,0.0499674589954,-3.90164009111e-11
1,0,70,-1.036,122.432,-1.0438703,122.40676,1.51602998218,0.0499674589954,5.92444712844e-12
1,0,71,-2.84,125.33,-2.8488927,125.31041,1.51602998218,0.0499674589954,1.64073618219e-08
1,0,72,-2.84,125.267,-2.848847,125.248276,1.51602998218,0.0499674589954,7.46516585584e-09
1,0,73,1.032,124.763,1.0372174,124.73663,1.51602998218,0.0499674589954,-2.58062295279e-08
1,0,74,1.032,124.7,1.037335,124.67447,1.51602998218,0.0499674589954,-2.2504084086e-10
1,0,75,-0.244,129.803,-0.25397998,129.81728,1.51602998218,0.0499674589954,0.00233482198813
1,0,76,-0.244,129.74,-0.25371218,129.75522,1.51602998218,0.0499674589954,-0.000105160507083
1,0,77,-0.86,126.023,-0.8533437,126.02228,1.51602998218,0.0499674589954,-1.59204291583e-06
1,0,78,-0.86,125.96,-0.8531471,125.96001,1.51602998218,0.0499674589954,1.4990132576e-07
1,0,79,-1.3,125.33,-1.3072071,125.33264,1.51602998218,0.0499674589954,-3.57795754881e-09
1,0,80,-1.3,125.267,-1.307143,125.27056,1.51602998218,0.0499674589954,-1.29492535255e-07
1,0,81,0.812,130.811,0.80661416,130.82353,1.51602998218,0.0499674589954,-0.129370240909
1,0,82,0.812,130.748,0.80665797,130.76129,1.51602998218,0.0499674589954,-0.0605078760148
1,0,83,0.328,128.228,0.33532917,128.20972,1.51602998218,0.0499674589954,-5.47132179256e-06
1,0,84,0.328,128.165,0.31374773,128.14728,1.51602998218,0.0499674589954,-3.44556305193e-05
1,0,85,-1.256,130.118,-1.252503,130.11603,1.51602998218,0.0499674589954,-0.000292566972829
1,0,86,-1.256,130.055,-1.2523615,130.05399,1.51602998218,0.0499674589954,-0.000161031567463
1,0,87,0.02,125.267,0.016150631,125.28651,1.51602998218,0.0499674589954,2.10903382562e-07
1,0,88,0.02,125.204,0.01624289,125.22429,1.51602998218,0.0499674589954,1.01257964126e-08
1,0,89,-2.356,126.653,-2.351274,126.623604,1.51602998218,0.0499674589954,4.1036477094e-07
1,0,90,-2.356,126.59,-2.3511834,126.56135,1.51602998218,0.0499674589954,4.63959705703e-07
1,0,91,-1.08,127.031,-1.0716009,127.01312,1.51602998218,0.0499674589954,-5.92075888617e-06
1,0,92,-1.08,126.968,-1.0714725,126.95119,1.51602998218,0.0499674589954,-1.43955273764e-05
1,0,93,-0.376,127.661,-0.37860468,127.6427,1.51602998218,0.0499674589954,2.41492584059e-05
1,0,94,-0.376,127.598,-0.3785023,127.58054,1.51602998218,0.0499674589954,9.31785838965e-06
1,0,95,-0.332,124.007,-0.3288859,124.03814,1.51602998218,0.0499674589954,8.61501313355e-09
1,0,96,-0.332,123.944,-0.32873657,123.91361,1.51602998218,0.0499674589954,3.83721150497e-09
1,0,97,0.9,126.401,0.9029267,126.41413,1.51602998218,0.0499674589954,-1.85476465816e-06
1,0,98,0.9,126.338,0.90281767,126.35212,1.51602998218,0.0499674589954,-3.14474355969e-07
1,0,99,-2.84,129.551,-2.835589,129.53847,1.51602998218,0.0499674589954,1.6728220373e-05
1,0,100,-2.84,129.488,-2.8353696,129.47624,1.51602998218,0.0499674589954,2.51061095405e-06
1,1,1,-0.376,126.59,-0.37815282,126.58168,1.51602998218,0.0499674589954,3.99060837789e-06
1,1,2,-0.376,126.527,-0.37803102,126.51968,1.51602998218,0.0499674589954,2.64438329364e-07
1,1,3,-2.84,122.369,-2.8482573,122.37219,1.51602998218,0.0499674589954,9.426073238e-12
1,1,4,-2.84,122.306,-2.8482163,122.30971,1.51602998218,0.0499674589954,-1.24389331455e-12
1,1,5,-2.884,130.307,-2.8820598,130.27893,1.51602998218,0.0499674589954,-2.45252323762e-07
1,1,6,-2.884,130.244,-2.8817673,130.21674,1.51602998218,0.0499674589954,1.28713622373e-06
1,1,7,1.472,122.306,1.4740568,122.30099,1.51602998218,0.0499674589954,-3.51655876983e-11
1,1,8,1.472,122.243,1.4741642,122.23839,1.51602998218,0.0499674589954,-1.71643504754e-11
1,1,9,1.516,130.622,1.5218643,130.64119,1.51602998218,0.0499674589954,-0.00777465492279
