date,time_index,anchor_rank,anchor_row,anchor_column,row_shift,column_shift,grid_row,grid_column,grid_latitude,grid_longitude,source_latitude,source_longitude,response,true_mean,true_residual
2023-07-04,0,1,56,67,0,0,56,67,-0.464,126.779,-0.46375933,126.77201,252.654481503,260.03624067,-7.38175916672
2023-07-04,0,2,56,68,0,0,56,68,-0.464,126.716,-0.46362886,126.7098,255.650148777,260.03637114,-4.38622236252
2023-07-04,0,3,112,134,0,0,112,134,-2.928,122.558,-2.9345207,122.564384,259.379161022,257.5654793,1.81368172169
2023-07-04,0,4,112,135,0,0,112,135,-2.928,122.495,-2.9345343,122.50184,259.852891218,257.5654657,2.28742551804
2023-07-04,0,5,113,8,0,0,113,8,-2.972,130.496,-2.9686503,130.46918,255.969722431,257.5313497,-1.56162726879
2023-07-04,0,6,113,9,0,0,113,9,-2.972,130.433,-2.9683766,130.40697,256.564817525,257.5316234,-0.966805875301
2023-07-04,0,7,14,135,0,0,14,135,1.384,122.495,1.3876026,122.494,260.259601625,261.8876026,-1.62800097466
2023-07-04,0,8,14,136,0,0,14,136,1.384,122.432,1.3877084,122.43135,259.818548892,261.8877084,-2.06915950775
2023-07-04,0,9,13,3,0,0,13,3,1.428,130.811,1.4357806,130.83119,262.375329122,261.9357806,0.439548522234
2023-07-04,0,10,13,4,0,0,13,4,1.428,130.748,1.4358181,130.76894,261.51139977,261.9358181,-0.424418330193
2023-07-04,0,11,112,74,0,0,112,74,-2.928,126.338,-2.9376993,126.3664,255.695885915,257.5623007,-1.86641478539
2023-07-04,0,12,112,75,0,0,112,75,-2.928,126.275,-2.9378376,126.30433,254.258184195,257.5621624,-3.30397820473
2023-07-04,0,13,63,120,0,0,63,120,-0.772,123.44,-0.761767,123.40971,256.521851927,259.738233,-3.216381073
2023-07-04,0,14,63,121,0,0,63,121,-0.772,123.377,-0.76164806,123.34713,256.373412727,259.73835194,-3.3649392128
2023-07-04,0,15,63,5,0,0,63,5,-0.772,130.685,-0.7765644,130.68044,255.390656192,259.7234356,-4.3327794075
2023-07-04,0,16,63,6,0,0,63,6,-0.772,130.622,-0.7765064,130.61845,256.780010486,259.7234936,-2.94348311424
2023-07-04,0,17,13,86,0,0,13,86,1.428,125.582,1.4259809,125.61133,262.073835735,261.9259809,0.147854834795
2023-07-04,0,18,13,87,0,0,13,87,1.428,125.519,1.4260303,125.54902,261.054918728,261.9260303,-0.871111571789
2023-07-04,0,19,87,40,0,0,87,40,-1.828,128.48,-1.8345116,128.49457,262.31099812,258.6654884,3.64550971985
2023-07-04,0,20,87,41,0,0,87,41,-1.828,128.417,-1.8342798,128.43245,261.497957444,258.6657202,2.83223724365
2023-07-04,0,21,22,47,0,0,22,47,1.032,128.039,1.0296348,128.03096,265.357450333,261.5296348,3.82781553268
