day,cov_name,lat_lon_resolution,lr,stepsize,sigma,range_lat,range_lon,advec_lat,advec_lon,beta,nugget,loss,time,epoch
2024-07-1,Vecc_b2 and b20.99,1250.0,0.02,100,22.491,3.775,3.91,0.02,-0.098,0.056,4.171,14075.94,2602.808789253235,301
2024-07-2,Vecc_b2 and b20.99,1250.0,0.02,100,23.277,2.623,2.581,0.042,-0.069,0.102,1.163,12342.271,3430.5282275676727,401
2024-07-3,Vecc_b2 and b20.99,1250.0,0.02,100,25.171,1.393,1.793,0.024,-0.15,0.172,1.882,14944.834,1753.4467055797577,201
2024-07-4,Vecc_b2 and b20.99,1250.0,0.02,100,25.405,1.847,2.087,-0.158,-0.21,0.102,2.529,14775.901,566.1034681797028,66
2024-07-5,Vecc_b2 and b20.99,1250.0,0.02,100,22.578,2.426,2.82,-0.019,-0.096,0.072,1.671,12193.404,4371.8122363090515,501
2024-07-6,Vecc_b2 and b20.99,1250.0,0.02,100,23.411,2.169,2.607,0.024,-0.125,0.077,3.238,14704.316,2643.2181503772736,301
2024-07-7,Vecc_b2 and b20.99,1250.0,0.02,100,23.891,1.29,2.554,0.06,-0.345,0.106,3.517,15357.07,1784.782879114151,201
2024-07-8,Vecc_b2 and b20.99,1250.0,0.02,100,26.32,1.706,2.849,-0.01,-0.391,0.087,3.052,14866.374,3391.0482788085938,401
2024-07-9,Vecc_b2 and b20.99,1250.0,0.02,100,24.544,2.044,2.874,0.021,-0.222,0.107,1.273,12668.593,4272.824498414993,501
2024-07-10,Vecc_b2 and b20.99,1250.0,0.02,100,24.409,1.38,2.258,0.028,-0.084,0.148,2.524,14993.408,1771.0872316360474,201
2024-07-11,Vecc_b2 and b20.99,1250.0,0.02,100,23.905,2.143,3.203,-0.011,0.05,0.089,2.04,13028.424,4239.116713523865,501
2024-07-12,Vecc_b2 and b20.99,1250.0,0.02,100,22.107,2.367,2.623,-0.058,0.08,0.115,0.649,11520.099,3400.70960688591,401
2024-07-13,Vecc_b2 and b20.99,1250.0,0.02,100,21.158,2.237,2.77,-0.131,0.064,0.134,0.628,11363.887,3442.5855629444122,401
2024-07-14,Vecc_b2 and b20.99,1250.0,0.02,100,21.319,2.312,2.653,-0.033,0.074,0.128,1.804,13135.036,3395.0401413440704,401
2024-07-15,Vecc_b2 and b20.99,1250.0,0.02,100,21.855,2.422,2.759,-0.042,0.055,0.12,0.691,10920.761,5223.744239330292,601
2024-07-16,Vecc_b2 and b20.99,1250.0,0.02,100,21.743,2.593,2.947,-0.029,-0.014,0.083,1.781,12131.957,4347.11284160614,501
2024-07-17,Vecc_b2 and b20.99,1250.0,0.02,100,24.312,1.983,2.769,-0.07,-0.129,0.107,2.623,14285.558,3483.5183243751526,401
2024-07-18,Vecc_b2 and b20.99,1250.0,0.02,100,23.232,1.741,3.134,-0.068,-0.081,0.103,2.241,13475.881,3458.0388448238373,401
2024-07-19,Vecc_b2 and b20.99,1250.0,0.02,100,21.923,2.273,2.69,0.019,0.011,0.123,1.494,12868.453,1782.7261655330658,201
2024-07-20,Vecc_b2 and b20.99,1250.0,0.02,100,21.993,2.105,2.559,0.02,-0.044,0.113,1.584,12977.127,3458.818685531616,401
2024-07-21,Vecc_b2 and b20.99,1250.0,0.02,100,21.388,2.246,2.61,-0.02,-0.118,0.121,1.826,13172.442,2563.9790675640106,301
2024-07-22,Vecc_b2 and b20.99,1250.0,0.02,100,22.031,2.018,2.856,0.111,-0.157,0.154,1.574,12955.845,2552.0619447231293,301
2024-07-23,Vecc_b2 and b20.99,1250.0,0.02,100,21.136,2.198,2.984,-0.012,0.06,0.139,0.378,10084.262,4988.429762125015,601
2024-07-24,Vecc_b2 and b20.99,1250.0,0.02,100,20.618,2.272,3.238,0.028,-0.153,0.117,1.188,11273.485,4171.6809232234955,501
2024-07-25,Vecc_b2 and b20.99,1250.0,0.02,100,20.327,2.225,2.461,0.046,-0.026,0.081,-0.406,8624.189,5074.090058803558,601
2024-07-26,Vecc_b2 and b20.99,1250.0,0.02,100,22.112,4.055,3.909,0.052,-0.122,-0.203,1.632,11057.913,834.044994354248,101
2024-07-27,Vecc_b2 and b20.99,1250.0,0.02,100,22.22,2.372,3.738,-0.125,0.155,0.205,1.518,12318.635,5921.883483171463,701
2024-07-28,Vecc_b2 and b20.99,1250.0,0.02,100,20.442,2.222,2.993,-0.043,-0.091,0.073,1.815,12468.107,2560.79443693161,301
2024-07-29,Vecc_b2 and b20.99,1250.0,0.02,100,20.449,2.352,2.658,-0.022,-0.075,0.073,2.26,13070.365,3310.6163609027863,401
2024-07-30,Vecc_b2 and b20.99,1250.0,0.02,100,20.601,2.402,2.748,-0.023,-0.191,0.127,2.139,13289.76,2562.6914989948273,301
2024-07-31,Vecc_b2 and b20.99,1250.0,0.02,100,23.826,2.584,2.588,0.047,-0.18,0.189,4.146,15576.884,3380.82644367218,401
