day,cov_name,lat_lon_resolution,lr,stepsize,sigma,range_lat,range_lon,advec_lat,advec_lon,beta,nugget,loss,time,epoch
2024-07-1,Vecc_b2 and b20.99,1250.0,0.02,100,27.223,2.136,2.326,0.007,-0.11,0.1,3.249,14075.236,4468.8399612903595,401
2024-07-2,Vecc_b2 and b20.99,1250.0,0.02,100,26.707,2.659,2.586,0.045,-0.07,0.106,1.899,12366.917,5394.426467657089,501
2024-07-3,Vecc_b2 and b20.99,1250.0,0.02,100,28.487,1.656,2.117,0.023,-0.148,0.152,3.638,14959.089,5692.0092856884,501
2024-07-4,Vecc_b2 and b20.99,1250.0,0.02,100,26.207,2.098,2.343,-0.153,-0.212,0.088,4.232,14777.103,4334.114604949951,401
2024-07-5,Vecc_b2 and b20.99,1250.0,0.02,100,23.496,3.175,4.128,-0.012,-0.154,0.067,2.454,12095.3,948.2147133350372,86
2024-07-6,Vecc_b2 and b20.99,1250.0,0.02,100,28.189,2.156,2.864,0.017,-0.162,0.079,4.179,14691.156,4453.956212282181,401
2024-07-7,Vecc_b2 and b20.99,1250.0,0.02,100,28.798,1.59,3.622,0.054,-0.344,0.082,4.979,15342.472,4197.232560634613,401
2024-07-8,Vecc_b2 and b20.99,1250.0,0.02,100,28.596,1.354,2.281,-0.018,-0.408,0.121,3.574,14869.14,5328.803676843643,501
2024-07-9,Vecc_b2 and b20.99,1250.0,0.02,100,26.594,1.931,3.339,0.019,-0.216,0.106,2.132,12680.795,5466.086217403412,501
2024-07-10,Vecc_b2 and b20.99,1250.0,0.02,100,28.495,1.877,3.201,0.026,-0.07,0.117,4.309,14993.681,4305.201597213745,401
2024-07-11,Vecc_b2 and b20.99,1250.0,0.02,100,26.562,2.067,3.443,-0.011,0.03,0.104,2.476,13009.109,5293.577575206757,501
2024-07-12,Vecc_b2 and b20.99,1250.0,0.02,100,24.714,2.529,3.7,-0.054,0.116,0.101,1.646,11484.729,3154.0288364887238,301
2024-07-13,Vecc_b2 and b20.99,1250.0,0.02,100,25.242,2.489,4.29,-0.132,0.08,0.116,1.542,11316.86,4387.18621635437,401
2024-07-14,Vecc_b2 and b20.99,1250.0,0.02,100,26.566,2.621,3.252,-0.04,0.07,0.118,2.647,13139.981,4710.401452064514,401
2024-07-15,Vecc_b2 and b20.99,1250.0,0.02,100,25.034,3.558,4.436,-0.05,0.069,0.095,1.513,10807.617,3419.058356285095,301
2024-07-16,Vecc_b2 and b20.99,1250.0,0.02,100,25.163,3.339,3.526,-0.005,0.007,0.093,2.115,12012.765,4665.33976483345,401
2024-07-17,Vecc_b2 and b20.99,1250.0,0.02,100,27.483,1.782,2.898,-0.07,-0.125,0.108,3.479,14291.937,5525.662801980972,501
2024-07-18,Vecc_b2 and b20.99,1250.0,0.02,100,25.976,1.784,4.872,-0.079,-0.109,0.097,3.092,13424.794,4814.11406826973,401
2024-07-19,Vecc_b2 and b20.99,1250.0,0.02,100,26.344,2.387,3.261,0.02,0.021,0.114,2.399,12880.03,6137.459839344025,401
2024-07-20,Vecc_b2 and b20.99,1250.0,0.02,100,25.817,3.049,4.322,0.034,-0.025,0.079,2.945,12942.671,4642.856657505035,301
2024-07-21,Vecc_b2 and b20.99,1250.0,0.02,100,25.838,2.71,3.912,-0.001,-0.063,0.095,2.921,13142.026,5998.978392839432,401
2024-07-22,Vecc_b2 and b20.99,1250.0,0.02,100,26.046,2.287,4.084,0.109,-0.138,0.138,2.554,12953.407,5893.958268165588,401
2024-07-23,Vecc_b2 and b20.99,1250.0,0.02,100,23.92,2.766,4.989,-0.004,0.075,0.13,1.011,9909.481,5888.831121444702,401
2024-07-24,Vecc_b2 and b20.99,1250.0,0.02,100,25.176,2.536,5.178,0.042,-0.156,0.106,1.602,11153.037,4257.971246004105,401
2024-07-25,Vecc_b2 and b20.99,1250.0,0.02,100,20.06,4.205,8.713,0.008,-0.043,0.044,1.088,8234.34,4377.6707673072815,401
2024-07-26,Vecc_b2 and b20.99,1250.0,0.02,100,22.832,3.564,7.79,-0.004,0.04,0.06,1.57,10028.912,2117.0058450698853,201
2024-07-27,Vecc_b2 and b20.99,1250.0,0.02,100,23.626,3.031,5.756,-0.033,-0.085,0.065,2.233,11601.4,3195.5731489658356,301
2024-07-28,Vecc_b2 and b20.99,1250.0,0.02,100,25.378,2.434,4.728,-0.025,-0.078,0.073,2.502,12408.015,4346.627384901047,401
2024-07-29,Vecc_b2 and b20.99,1250.0,0.02,100,23.456,3.831,6.257,0.003,-0.052,0.052,3.479,12951.312,2136.912008523941,201
2024-07-30,Vecc_b2 and b20.99,1250.0,0.02,100,25.453,2.923,3.926,-0.032,-0.199,0.113,3.069,13282.537,3319.795074939728,301
2024-07-31,Vecc_b2 and b20.99,1250.0,0.02,100,25.528,4.774,4.058,0.072,-0.199,0.156,5.982,15524.582,2173.2053627967834,201
