day,cov_name,lat_lon_resolution,lr,stepsize,sigma,range_lat,range_lon,advec_lat,advec_lon,beta,nugget,loss,time,epoch
2024-07-1,full likelihood,1250.0,0.03,100,21.888,1.572,1.713,0.008,-0.109,0.134,3.05,14075.588,5419.351977825165,601
2024-07-2,full likelihood,1250.0,0.03,100,13.675,1.526,1.472,0.047,-0.067,0.187,2.195,12414.252,6197.093049526215,701
2024-07-3,full likelihood,1250.0,0.03,100,28.866,1.464,1.879,0.023,-0.15,0.168,3.191,14946.572,4441.960311174393,501
2024-07-4,full likelihood,1250.0,0.03,100,39.783,2.744,3.103,-0.152,-0.212,0.066,3.859,14770.287,814.8956995010376,87
2024-07-5,full likelihood,1250.0,0.03,100,27.297,3.668,4.775,-0.013,-0.154,0.058,2.45,12094.308,779.8985526561737,85
2024-07-6,full likelihood,1250.0,0.03,100,30.751,2.041,2.71,0.017,-0.159,0.082,3.855,14685.14,2720.1062960624695,301
2024-07-7,full likelihood,1250.0,0.03,100,22.673,1.153,2.599,0.055,-0.341,0.113,4.735,15351.266,4681.373922586441,501
2024-07-8,full likelihood,1250.0,0.03,100,31.96,1.292,2.144,-0.02,-0.412,0.125,3.005,14848.075,4545.472697257996,501
2024-07-9,full likelihood,1250.0,0.03,100,19.113,1.227,2.125,0.02,-0.216,0.162,1.954,12679.376,5550.81764292717,601
2024-07-10,full likelihood,1250.0,0.03,100,25.063,1.411,2.398,0.026,-0.075,0.15,3.948,14989.042,3650.069934606552,401
2024-07-11,full likelihood,1250.0,0.03,100,16.233,1.177,1.965,-0.011,0.03,0.178,2.421,13022.653,5378.822297096252,601
2024-07-12,full likelihood,1250.0,0.03,100,13.775,1.53,2.253,-0.053,0.119,0.168,1.774,11510.842,5348.206508398056,601
2024-07-13,full likelihood,1250.0,0.03,100,17.047,1.601,2.761,-0.131,0.078,0.177,1.499,11329.077,5401.780255079269,601
2024-07-14,full likelihood,1250.0,0.03,100,20.402,1.886,2.342,-0.039,0.069,0.161,2.547,13145.909,4610.533482789993,501
2024-07-15,full likelihood,1250.0,0.03,100,13.242,2.161,2.692,-0.048,0.073,0.161,1.665,10838.433,5495.774027824402,601
2024-07-16,full likelihood,1250.0,0.03,100,15.253,2.117,2.216,-0.006,0.008,0.147,2.182,12031.667,5416.116532564163,601
2024-07-17,full likelihood,1250.0,0.03,100,19.288,1.191,1.939,-0.068,-0.123,0.159,3.384,14303.49,5482.337108612061,601
2024-07-18,full likelihood,1250.0,0.03,100,17.508,1.037,2.733,-0.078,-0.107,0.164,2.875,13422.373,4589.222079515457,501
2024-07-19,full likelihood,1250.0,0.03,100,21.067,1.743,2.386,0.02,0.019,0.152,2.253,12881.63,4518.578868627548,501
2024-07-20,full likelihood,1250.0,0.03,100,20.682,2.335,3.324,0.033,-0.026,0.101,2.894,12947.397,2660.66570854187,301
2024-07-21,full likelihood,1250.0,0.03,100,20.658,2.045,2.948,-0.001,-0.066,0.125,2.84,13147.473,3643.6118943691254,401
2024-07-22,full likelihood,1250.0,0.03,100,16.899,1.425,2.558,0.109,-0.135,0.218,2.52,12965.536,5466.701115846634,601
2024-07-23,full likelihood,1250.0,0.03,100,22.431,2.352,4.221,-0.005,0.076,0.147,0.917,9907.274,2768.6959190368652,301
2024-07-24,full likelihood,1250.0,0.03,100,14.053,1.4,2.851,0.042,-0.147,0.191,1.612,11173.491,5482.922980546951,601
2024-07-25,full likelihood,1250.0,0.03,100,12.772,3.244,7.359,0.008,-0.042,0.059,1.188,8238.325,3643.865545988083,401
2024-07-26,full likelihood,1250.0,0.03,100,12.239,2.026,4.366,-0.005,0.039,0.106,1.606,10052.752,4651.9239757061005,501
2024-07-27,full likelihood,1250.0,0.03,100,10.886,1.602,3.063,-0.035,-0.085,0.126,2.365,11637.658,5513.31208896637,601
2024-07-28,full likelihood,1250.0,0.03,100,18.108,1.622,3.122,-0.024,-0.077,0.108,2.421,12413.01,3703.6426281929016,401
2024-07-29,full likelihood,1250.0,0.03,100,18.689,3.078,4.988,0.003,-0.051,0.065,3.482,12958.017,3807.121907234192,401
2024-07-30,full likelihood,1250.0,0.03,100,12.711,1.642,2.19,-0.031,-0.188,0.209,3.264,13308.524,5628.999009609222,601
2024-07-31,full likelihood,1250.0,0.03,100,18.694,3.557,2.991,0.072,-0.195,0.211,5.998,15531.922,2853.942731142044,301
