day,cov_name,lat_lon_resolution,lr,stepsize,sigma,range_lat,range_lon,advec_lat,advec_lon,beta,nugget,loss,time,epoch
2024-07-1,full likelihood,1127,0.02,100,20.899,1.04,1.337,0.04,-0.178,0.195,4.498,14625.69,2144.9599018096924,701
2024-07-2,full likelihood,1127,0.02,100,21.489,1.442,1.716,-0.016,-0.257,0.137,3.261,14196.832,2417.257817029953,801
2024-07-3,full likelihood,1127,0.02,100,29.135,0.684,0.96,-0.039,-0.25,0.21,4.668,16045.347,2111.2102143764496,701
2024-07-4,full likelihood,1127,0.02,100,26.559,1.552,2.091,-0.001,-0.123,0.107,4.776,13960.947,1788.6409385204315,601
2024-07-5,full likelihood,1127,0.02,100,23.333,0.73,1.328,0.07,-0.232,0.176,4.199,14970.072,2418.6869683265686,801
2024-07-6,full likelihood,1127,0.02,100,19.829,1.059,2.315,0.045,-0.325,0.153,5.822,15056.543,2083.751019716263,701
2024-07-7,full likelihood,1127,0.02,100,23.107,0.807,2.221,-0.002,-0.307,0.168,6.249,15121.865,1504.159319639206,501
2024-07-8,full likelihood,1127,0.02,100,20.907,1.373,1.332,-0.144,-0.281,0.189,4.223,13939.294,1499.8461136817932,501
2024-07-9,full likelihood,1127,0.02,100,13.847,1.201,1.666,0.024,-0.227,0.198,3.038,12330.87,1784.5443687438965,601
2024-07-10,full likelihood,1127,0.02,100,13.285,1.253,2.797,0.041,-0.225,0.167,3.12,11910.358,1779.98894572258,601
2024-07-11,full likelihood,1127,0.02,100,19.918,1.786,2.661,-0.01,-0.07,0.167,1.781,10928.378,1496.9358875751495,501
2024-07-12,full likelihood,1127,0.02,100,18.884,1.714,3.166,-0.086,-0.037,0.134,2.553,11483.536,1801.0038373470306,601
2024-07-13,full likelihood,1127,0.02,100,23.473,2.41,3.285,-0.073,0.001,0.099,2.6,11637.285,1774.5174703598022,601
2024-07-14,full likelihood,1127,0.02,100,22.447,2.79,3.498,-0.077,-0.19,0.125,1.941,10643.949,305.95566391944885,101
2024-07-15,full likelihood,1127,0.02,100,26.502,2.739,3.966,-0.109,-0.027,0.118,3.137,12827.452,2368.6936740875244,801
2024-07-16,full likelihood,1127,0.02,100,37.402,2.88,4.396,-0.1,-0.087,0.11,3.192,12678.831,1790.4585020542145,601
2024-07-17,full likelihood,1127,0.02,100,34.415,1.985,3.1,-0.067,-0.077,0.124,2.978,12914.222,1200.567438364029,401
2024-07-18,full likelihood,1127,0.02,100,27.853,1.718,3.639,-0.02,-0.204,0.129,3.737,13061.772,1511.2824895381927,501
2024-07-19,full likelihood,1127,0.02,100,25.575,1.98,2.928,-0.122,-0.269,0.169,3.299,12770.457,1496.1340556144714,501
2024-07-20,full likelihood,1127,0.02,100,20.366,2.167,3.256,-0.079,-0.483,0.15,4.596,13654.585,2111.9832451343536,701
2024-07-21,full likelihood,1127,0.02,100,17.263,2.016,3.748,0.016,-0.338,0.162,3.128,11823.329,1786.1681344509125,601
2024-07-22,full likelihood,1127,0.02,100,22.236,2.092,3.273,-0.01,-0.117,0.23,3.891,13115.991,1494.923939704895,501
2024-07-23,full likelihood,1127,0.02,100,19.416,1.912,3.784,-0.001,-0.049,0.148,2.714,14913.339,2679.428446292877,901
2024-07-24,full likelihood,1127,0.02,100,16.557,1.849,3.787,-0.039,0.053,0.189,3.152,12611.164,2400.295207977295,801
2024-07-25,full likelihood,1127,0.02,100,19.576,2.774,4.705,-0.022,-0.192,0.101,2.473,12738.901,2374.4079871177673,801
2024-07-26,full likelihood,1127,0.02,100,25.615,2.26,4.429,-0.019,-0.188,0.109,3.127,13445.617,2404.4249658584595,801
2024-07-27,full likelihood,1127,0.02,100,24.883,2.413,4.304,0.041,-0.155,0.1,3.852,13030.235,2090.1260397434235,701
2024-07-28,full likelihood,1127,0.02,100,14.546,2.13,3.839,0.055,-0.01,0.074,3.541,11718.652,1501.4211378097534,501
2024-07-29,full likelihood,1127,0.02,100,13.277,4.144,5.195,0.0,-0.027,0.047,1.869,8996.428,1805.0075433254242,601
2024-07-30,full likelihood,1127,0.02,100,12.229,2.131,4.842,0.02,-0.031,0.055,3.54,11417.893,1826.4598524570465,601
2024-07-31,full likelihood,1127,0.02,100,21.644,3.254,4.498,0.013,-0.141,0.08,4.748,13037.765,1826.1193251609802,601
