day,cov_name,lat_lon_resolution,lr,stepsize,sigma,range_lat,range_lon,advec_lat,advec_lon,beta,nugget,loss,time,epoch
2024-07-1,full likelihood,1250.0,0.02,100,21.164,1.094,1.472,0.041,-0.177,0.196,4.555,14682.293,2915.2822575569153,801
2024-07-2,full likelihood,1250.0,0.02,100,21.94,1.486,2.058,-0.017,-0.262,0.139,3.153,14412.173,3228.3521354198456,901
2024-07-3,full likelihood,1250.0,0.02,100,29.421,0.707,1.01,-0.039,-0.251,0.216,4.683,16111.946,2887.0911722183228,801
2024-07-4,full likelihood,1250.0,0.02,100,27.188,1.997,2.791,-0.008,-0.128,0.079,5.325,14009.941,2131.1299517154694,601
2024-07-5,full likelihood,1250.0,0.02,100,23.623,0.745,1.441,0.071,-0.233,0.177,4.212,15048.813,2895.8544392585754,801
2024-07-6,full likelihood,1250.0,0.02,100,20.058,1.017,2.316,0.045,-0.328,0.162,5.82,15088.288,2881.401136636734,801
2024-07-7,full likelihood,1250.0,0.02,100,23.355,0.775,2.253,-0.001,-0.309,0.176,6.372,15131.494,2517.9014122486115,701
2024-07-8,full likelihood,1250.0,0.02,100,21.15,1.259,1.278,-0.143,-0.281,0.205,4.35,13946.146,2513.1427035331726,701
2024-07-9,full likelihood,1250.0,0.02,100,14.079,1.14,1.549,0.025,-0.227,0.214,3.108,12336.125,2533.361886739731,701
2024-07-10,full likelihood,1250.0,0.02,100,13.3,1.299,2.994,0.042,-0.223,0.165,3.468,11925.626,2149.191261768341,601
2024-07-11,full likelihood,1250.0,0.02,100,20.172,2.387,3.517,-0.013,-0.071,0.138,2.511,10922.717,1781.7678990364075,501
2024-07-12,full likelihood,1250.0,0.02,100,19.413,1.919,3.324,-0.092,-0.041,0.132,2.797,11488.715,1775.7917065620422,501
2024-07-13,full likelihood,1250.0,0.02,100,24.481,2.228,3.257,-0.073,0.002,0.107,2.687,11656.188,2538.7631611824036,701
2024-07-14,full likelihood,1250.0,0.02,100,21.922,3.601,4.974,-0.044,-0.139,0.084,2.862,10651.279,174.65098333358765,46
2024-07-15,full likelihood,1250.0,0.02,100,26.481,3.152,4.165,-0.071,0.012,0.085,3.065,13038.076,2841.1841163635254,801
2024-07-16,full likelihood,1250.0,0.02,100,37.448,3.055,4.053,-0.063,-0.03,0.091,3.535,12729.582,2494.883130788803,701
2024-07-17,full likelihood,1250.0,0.02,100,34.666,2.072,3.193,-0.081,-0.099,0.125,3.72,12920.857,1804.3086431026459,501
2024-07-18,full likelihood,1250.0,0.02,100,28.522,1.984,3.727,-0.018,-0.215,0.123,4.157,13059.286,1794.9432365894318,501
2024-07-19,full likelihood,1250.0,0.02,100,26.21,2.018,2.984,-0.125,-0.273,0.173,3.485,12776.418,2133.4099934101105,601
2024-07-20,full likelihood,1250.0,0.02,100,20.619,2.182,3.345,-0.075,-0.475,0.152,4.661,13686.769,2499.734427213669,701
2024-07-21,full likelihood,1250.0,0.02,100,17.588,2.414,4.578,0.007,-0.331,0.142,3.628,11818.613,2120.701033592224,601
2024-07-22,full likelihood,1250.0,0.02,100,22.838,1.93,3.062,-0.01,-0.117,0.251,3.923,13124.541,2517.113604068756,701
2024-07-23,full likelihood,1250.0,0.02,100,19.837,1.728,3.604,-0.0,-0.048,0.163,2.431,15460.478,3205.6866748332977,901
2024-07-24,full likelihood,1250.0,0.02,100,17.073,1.875,3.951,-0.039,0.058,0.192,3.094,12679.448,2913.5165090560913,801
2024-07-25,full likelihood,1250.0,0.02,100,17.402,4.93,6.648,0.031,0.091,0.18,1.058,20748.967,3920.004197359085,1101
2024-07-26,full likelihood,1250.0,0.02,100,25.197,2.263,4.971,-0.018,-0.187,0.132,2.989,13818.26,3203.1225237846375,901
2024-07-27,full likelihood,1250.0,0.02,100,25.75,2.437,4.674,0.037,-0.151,0.083,3.868,13101.271,2879.3653099536896,801
2024-07-28,full likelihood,1250.0,0.02,100,15.078,2.397,4.031,0.059,-0.013,0.064,3.743,11693.579,1801.0560874938965,501
2024-07-29,full likelihood,1250.0,0.02,100,11.585,4.94,4.846,0.003,-0.028,0.051,2.29,9030.368,2161.3618710041046,601
2024-07-30,full likelihood,1250.0,0.02,100,12.432,2.109,4.782,0.023,-0.038,0.063,3.749,11395.704,2193.8353950977325,601
2024-07-31,full likelihood,1250.0,0.02,100,21.659,3.491,5.183,0.003,-0.125,0.069,5.316,13019.955,2149.5710616111755,601
