day,cov_name,lat_lon_resolution,lr,stepsize,sigma,range_lat,range_lon,advec_lat,advec_lon,beta,nugget,loss,time,epoch
2024-07-1,Vecc_may9,1127,0.03,100,21.303,1.307,1.563,0.022,-0.144,0.198,4.769,16535.995,1683.4232053756714,701
2024-07-2,Vecc_may9,1127,0.03,100,21.674,1.265,1.447,0.004,-0.175,0.223,3.555,18189.444,1669.8979732990265,701
2024-07-3,Vecc_may9,1127,0.03,100,29.484,0.758,0.876,-0.071,-0.237,0.223,4.968,19021.481,1695.0379092693329,701
2024-07-4,Vecc_may9,1127,0.03,100,27.378,2.119,3.067,-0.014,-0.061,0.133,4.348,14589.83,974.1889414787292,501
2024-07-5,Vecc_may9,1127,0.03,100,23.583,0.924,1.381,0.11,-0.208,0.169,4.47,17871.241,1424.2256240844727,701
2024-07-6,Vecc_may9,1127,0.03,100,20.688,0.841,1.168,0.034,-0.121,0.449,6.344,16110.616,1686.0859298706055,801
2024-07-7,Vecc_may9,1127,0.03,100,23.642,1.266,2.79,0.003,-0.314,0.114,5.931,16185.015,1138.9933769702911,601
2024-07-8,Vecc_may9,1127,0.03,100,21.298,1.58,1.642,-0.189,-0.262,0.159,4.849,15045.298,1296.8924305438995,701
2024-07-9,Vecc_may9,1127,0.03,100,14.441,1.783,2.096,0.058,-0.179,0.188,3.402,13863.49,1387.0768930912018,701
2024-07-10,Vecc_may9,1127,0.03,100,14.228,1.809,3.096,0.088,-0.088,0.146,3.158,12149.24,1103.229378938675,601
2024-07-11,Vecc_may9,1127,0.03,100,20.637,3.418,5.294,-0.067,-0.115,0.094,3.337,11058.187,1131.7498154640198,601
2024-07-12,Vecc_may9,1127,0.03,100,19.456,2.146,3.105,-0.071,-0.005,0.115,2.936,12192.47,940.3421609401703,501
2024-07-13,Vecc_may9,1127,0.03,100,23.688,2.562,3.024,-0.053,0.017,0.105,3.067,12685.149,752.6306414604187,401
2024-07-14,Vecc_may9,1127,0.03,100,22.842,3.663,4.809,-0.106,-0.11,0.095,3.166,10727.582,743.6923968791962,401
2024-07-15,Vecc_may9,1127,0.03,100,26.779,2.602,3.429,-0.077,0.026,0.125,3.41,14776.469,1291.7658071517944,601
2024-07-16,Vecc_may9,1127,0.03,100,37.377,3.274,4.762,-0.096,-0.01,0.084,3.767,13218.74,1270.1015388965607,501
2024-07-17,Vecc_may9,1127,0.03,100,35.018,2.962,5.241,-0.058,-0.017,0.091,4.232,13143.505,861.3033490180969,401
2024-07-18,Vecc_may9,1127,0.03,100,28.375,3.043,3.586,-0.041,-0.171,0.105,4.595,13506.485,833.3527586460114,401
2024-07-19,Vecc_may9,1127,0.03,100,25.909,2.322,3.495,-0.157,-0.255,0.132,3.514,13458.615,945.8608767986298,501
2024-07-20,Vecc_may9,1127,0.03,100,20.725,2.113,3.131,-0.024,-0.369,0.147,4.812,14786.287,920.621640920639,501
2024-07-21,Vecc_may9,1127,0.03,100,17.443,3.945,5.298,-0.047,-0.211,0.107,4.019,12076.622,917.2933940887451,501
2024-07-22,Vecc_may9,1127,0.03,100,22.493,3.097,4.249,-0.101,-0.084,0.266,4.131,13901.723,1126.9490714073181,601
2024-07-23,Vecc_may9,1127,0.03,100,20.077,0.944,2.748,0.002,-0.051,0.213,3.19,22007.785,1653.4293735027313,901
2024-07-24,Vecc_may9,1127,0.03,100,17.146,2.079,2.884,-0.056,0.114,0.189,3.656,14681.891,1524.7788338661194,801
2024-07-25,Vecc_may9,1127,0.03,100,20.106,2.066,3.966,-0.02,-0.125,0.106,2.974,17665.704,1505.6997649669647,801
2024-07-26,Vecc_may9,1127,0.03,100,26.046,1.988,3.626,-0.014,-0.127,0.142,3.512,16495.081,1299.4994990825653,701
2024-07-27,Vecc_may9,1127,0.03,100,25.369,3.822,4.184,0.076,-0.174,0.079,3.774,14290.702,926.290773153305,501
2024-07-28,Vecc_may9,1127,0.03,100,15.317,2.865,3.971,0.005,-0.009,0.076,3.691,12300.908,1164.8297724723816,601
2024-07-29,Vecc_may9,1127,0.03,100,12.9,7.23,5.408,-0.031,-0.012,0.065,1.597,9410.987,899.609628200531,501
2024-07-30,Vecc_may9,1127,0.03,100,13.398,3.525,4.208,0.026,0.004,0.07,3.113,11836.898,1128.3152618408203,601
2024-07-31,Vecc_may9,1127,0.03,100,22.465,5.143,5.452,0.005,-0.042,0.075,5.106,13221.558,937.7505557537079,501
